"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P19","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.016,0.003,0.002,0.046,0.085,0.021
"P19","Votaría en blanco",0.013,0.029,0.015,0.046,0.039,0.099
"P19","No sabe",0.033,0.075,0.086,0.065,0.069,0.103
"P20","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.243,0.337,0.453,0.31,0.345,0.06
"P20","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba",0.608,0.345,0.182,0.163,0.156,0.297
"P20","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.027,0.059,0.059,0.148,0.147,0.017
"P20","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.052,0.102,0.135,0.139,0.116,0.362
"P20","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.01,0.042,0.038,0.066,0.022,0.021
"P20","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.008,0.003,0.003,0.049,0.085,0
"P20","Votaría en blanco",0.013,0.03,0.016,0.041,0.061,0.098
"P20","No sabe",0.039,0.082,0.114,0.084,0.068,0.145
"P21","Lo votaría",0.315,0.28,0.32,0.287,0.272,0.301
"P21","Puede que lo vote",0.19,0.312,0.251,0.21,0.179,0.354
"P21","Nunca lo votaría",0.492,0.4,0.429,0.503,0.549,0.117
"P21","No sabe",0.003,0.008,0,0,0,0.228
"P22","Lo votaría",0.663,0.337,0.2,0.11,0.125,0.296
"P22","Puede que lo vote",0.171,0.283,0.235,0.216,0.161,0.291
"P22","Nunca lo votaría",0.163,0.372,0.565,0.674,0.714,0.185
"P22","No sabe",0.003,0.008,0,0,0,0.228
"P23","Lo votaría",0.212,0.298,0.396,0.251,0.254,0.393
"P23","Puede que lo vote",0.167,0.196,0.213,0.162,0.163,0
"P23","Nunca lo votaría",0.618,0.498,0.391,0.587,0.583,0.324
"P23","No sabe",0.003,0.008,0,0,0,0.283
"P24","Lo votaría",0.093,0.064,0.118,0.108,0.199,0.291
"P24","Puede que lo vote",0.118,0.179,0.149,0.202,0.099,0.104
"P24","Nunca lo votaría",0.786,0.749,0.733,0.688,0.702,0.263
"P24","No sabe",0.003,0.008,0,0.002,0,0.342
"P25","Muy buena",0.175,0.247,0.282,0.248,0.194,0.42
"P25","Buena",0.187,0.213,0.145,0.161,0.165,0.021
"P25","Ni buena ni mala",0.399,0.349,0.362,0.209,0.199,0.16
"P25","Mala",0.107,0.082,0.104,0.163,0.164,0
"P25","Muy mala",0.106,0.059,0.074,0.211,0.268,0.061
"P25","No sabe",0.026,0.05,0.033,0.008,0.01,0.338
"P26","Muy buena",0.149,0.238,0.247,0.207,0.171,0.338
"P26","Buena",0.173,0.21,0.217,0.173,0.131,0.021
"P26","Ni buena ni mala",0.213,0.188,0.27,0.091,0.133,0.16
"P26","Mala",0.174,0.214,0.106,0.268,0.119,0.103
"P26","Muy mala",0.288,0.126,0.152,0.261,0.418,0.061
"P26","No sabe",0.003,0.024,0.008,0,0.028,0.317
"P27","Muy buena",0.602,0.177,0.137,0.058,0.111,0.42
"P27","Buena",0.183,0.329,0.15,0.177,0.173,0
"P27","Ni buena ni mala",0.116,0.272,0.431,0.195,0.13,0.056
"P27","Mala",0.058,0.122,0.187,0.408,0.197,0.125
"P27","Muy mala",0.037,0.057,0.088,0.161,0.383,0.061
"P27","No sabe",0.004,0.043,0.007,0.001,0.006,0.338
"P28","Muy buena",0.145,0.147,0.148,0.13,0.11,0.017
"P28","Buena",0.134,0.189,0.163,0.136,0.067,0.068
"P28","Ni buena ni mala",0.417,0.381,0.41,0.324,0.26,0
"P28","Mala",0.072,0.085,0.086,0.178,0.154,0
"P28","Muy mala",0.101,0.112,0.07,0.168,0.329,0.061
"P28","No sabe",0.131,0.086,0.123,0.064,0.08,0.854
"P29","Muy buena",0.077,0.035,0.035,0.041,0.051,0.017
"P29","Buena",0.153,0.157,0.095,0.107,0.12,0.026
"P29","Ni buena ni mala",0.165,0.131,0.19,0.212,0.099,0
"P29","Mala",0.208,0.151,0.189,0.164,0.123,0
"P29","Muy mala",0.345,0.514,0.461,0.476,0.6,0.103
"P29","No sabe",0.052,0.012,0.03,0,0.007,0.854
"P30","Muy buena",0.21,0.143,0.13,0.207,0.222,0.016
"P30","Buena",0.079,0.112,0.033,0.074,0.062,0
"P30","Ni buena ni mala",0.086,0.064,0.114,0.062,0.03,0.026
"P30","Mala",0.128,0.084,0.168,0.146,0.047,0.263
"P30","Muy mala",0.484,0.593,0.554,0.508,0.633,0.378
"P30","No sabe",0.013,0.004,0.001,0.003,0.006,0.317
"P31","Muy buena",0.195,0.171,0.174,0.088,0.257,0.103
"P31","Buena",0.162,0.278,0.232,0.199,0.057,0
"P31","Ni buena ni mala",0.199,0.116,0.219,0.116,0.056,0.038
"P31","Mala",0.163,0.149,0.154,0.211,0.055,0.207
"P31","Muy mala",0.265,0.283,0.212,0.386,0.572,0.336
"P31","No sabe",0.016,0.003,0.009,0,0.003,0.316
"P32","Muy buena",0.143,0.091,0.09,0.087,0.057,0.12
"P32","Buena",0.148,0.291,0.247,0.176,0.122,0
"P32","Ni buena ni mala",0.293,0.283,0.369,0.2,0.137,0.042
"P32","Mala",0.12,0.155,0.135,0.236,0.122,0
"P32","Muy mala",0.252,0.156,0.138,0.293,0.549,0.087
"P32","No sabe",0.044,0.024,0.021,0.008,0.013,0.751
"P33","Muy buena",0.136,0.026,0.024,0.07,0.021,0
"P33","Buena",0.191,0.16,0.124,0.162,0.083,0
"P33","Ni buena ni mala",0.194,0.153,0.261,0.156,0.081,0.141
"P33","Mala",0.19,0.207,0.199,0.206,0.118,0
"P33","Muy mala",0.25,0.451,0.372,0.406,0.676,0.082
"P33","No sabe",0.039,0.003,0.02,0,0.021,0.777
"P34","Muy buena",0.37,0.316,0.306,0.223,0.203,0.016
"P34","Buena",0.122,0.222,0.13,0.199,0.133,0.296
"P34","Ni buena ni mala",0.152,0.107,0.267,0.115,0.018,0.021
"P34","Mala",0.152,0.11,0.111,0.174,0.032,0
