"var","categoria","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba","A los candidatos  a gobernador y vicegobernador del Frente de Todos","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba","A los candidatos a gobernador y vicegobernador del Frente de Izquierda","Votaría en blanco","No sabe"
"P19","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.048,0.016,0.01,0.804,0.01,0,0.013,0.03
"P19","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.017,0.002,0.004,0.003,0.805,0,0,0.003
"P19","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.003,0,0.022,0,0.019,0.767,0,0.008
"P19","Votaría en blanco",0.008,0.016,0,0.038,0,0.015,0.539,0.022
"P19","No sabe",0.021,0.041,0,0.006,0.025,0,0.051,0.681
"P20","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.869,0.045,0.035,0.042,0.093,0.013,0.044,0.063
"P20","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba",0.043,0.88,0.173,0.019,0.032,0.15,0.186,0.069
"P20","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.012,0.02,0.756,0.006,0.013,0.01,0.011,0.009
"P20","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.027,0.01,0.018,0.893,0.025,0,0.016,0.021
"P20","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.009,0,0,0.007,0.727,0.01,0.008,0.014
"P20","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.001,0.005,0.013,0,0,0.76,0,0.002
"P20","Votaría en blanco",0.013,0.019,0,0.031,0.085,0.015,0.676,0.032
"P20","No sabe",0.026,0.021,0.005,0.002,0.025,0.042,0.059,0.79
"P21","Lo votaría",0.654,0.139,0.041,0.063,0.118,0.012,0.098,0.05
"P21","Puede que lo vote",0.283,0.207,0.059,0.349,0.233,0.069,0.125,0.332
"P21","Nunca lo votaría",0.053,0.649,0.885,0.486,0.628,0.885,0.66,0.482
"P21","No sabe",0.01,0.005,0.015,0.102,0.021,0.034,0.117,0.136
"P22","Lo votaría",0.14,0.755,0.207,0.027,0.149,0.016,0.126,0.087
"P22","Puede que lo vote",0.178,0.155,0.326,0.261,0.256,0.237,0.219,0.315
"P22","Nunca lo votaría",0.672,0.086,0.452,0.693,0.583,0.712,0.537,0.477
"P22","No sabe",0.01,0.004,0.015,0.019,0.012,0.035,0.118,0.121
"P23","Lo votaría",0.514,0.118,0.122,0.227,0.156,0.077,0.276,0.246
"P23","Puede que lo vote",0.293,0.154,0.07,0.169,0.091,0.008,0.034,0.152
"P23","Nunca lo votaría",0.174,0.713,0.789,0.555,0.753,0.88,0.584,0.471
"P23","No sabe",0.019,0.015,0.019,0.049,0,0.035,0.106,0.131
"P24","Lo votaría",0.077,0.109,0.474,0.063,0.035,0.024,0.014,0.032
"P24","Puede que lo vote",0.094,0.228,0.278,0.067,0.13,0.286,0.066,0.12
"P24","Nunca lo votaría",0.823,0.659,0.241,0.859,0.835,0.663,0.866,0.8
"P24","No sabe",0.006,0.004,0.007,0.011,0,0.027,0.054,0.048
"P25","Muy buena",0.546,0.065,0.055,0.143,0.083,0.013,0.078,0.116
"P25","Buena",0.228,0.174,0.055,0.157,0.09,0.04,0.09,0.212
"P25","Ni buena ni mala",0.197,0.381,0.197,0.461,0.453,0.292,0.318,0.347
"P25","Mala",0.004,0.183,0.235,0.116,0.264,0.262,0.079,0.079
"P25","Muy mala",0.01,0.146,0.449,0.106,0.088,0.383,0.293,0.138
"P25","No sabe",0.015,0.051,0.009,0.017,0.022,0.01,0.142,0.108
"P26","Muy buena",0.401,0.047,0.041,0.231,0.063,0.051,0.176,0.215
"P26","Buena",0.311,0.118,0.047,0.168,0.164,0.043,0.177,0.141
"P26","Ni buena ni mala",0.169,0.191,0.101,0.243,0.234,0.061,0.088,0.246
"P26","Mala",0.067,0.3,0.153,0.204,0.381,0.229,0.161,0.078
"P26","Muy mala",0.047,0.322,0.651,0.148,0.158,0.606,0.288,0.209
"P26","No sabe",0.005,0.022,0.007,0.006,0,0.01,0.11,0.111
"P27","Muy buena",0.12,0.481,0.209,0.085,0.097,0.072,0.148,0.145
"P27","Buena",0.128,0.306,0.24,0.155,0.157,0.059,0.169,0.237
"P27","Ni buena ni mala",0.355,0.1,0.221,0.194,0.356,0.236,0.117,0.218
"P27","Mala",0.261,0.066,0.185,0.268,0.214,0.186,0.242,0.177
"P27","Muy mala",0.129,0.022,0.139,0.284,0.169,0.436,0.268,0.139
"P27","No sabe",0.007,0.025,0.006,0.014,0.007,0.011,0.056,0.084
"P28","Muy buena",0.166,0.099,0.044,0.123,0.511,0.025,0.096,0.092
"P28","Buena",0.172,0.113,0.096,0.089,0.17,0.069,0.067,0.232
"P28","Ni buena ni mala",0.388,0.434,0.268,0.333,0.229,0.152,0.332,0.27
"P28","Mala",0.09,0.08,0.149,0.154,0.08,0.183,0.172,0.156
"P28","Muy mala",0.102,0.113,0.366,0.19,0.01,0.498,0.133,0.075
"P28","No sabe",0.082,0.161,0.077,0.111,0,0.073,0.2,0.175
"P29","Muy buena",0.03,0.042,0.13,0.019,0.028,0.049,0.025,0.078
"P29","Buena",0.023,0.243,0.342,0.017,0.038,0.13,0.024,0.053
"P29","Ni buena ni mala",0.104,0.198,0.286,0.098,0.236,0.131,0.126,0.148
"P29","Mala",0.142,0.222,0.107,0.135,0.169,0.328,0.27,0.178
"P29","Muy mala",0.677,0.241,0.13,0.688,0.529,0.351,0.498,0.495
"P29","No sabe",0.024,0.054,0.005,0.043,0,0.011,0.057,0.048
"P30","Muy buena",0.012,0.276,0.758,0.015,0.053,0.223,0.096,0.068
"P30","Buena",0,0.188,0.069,0.003,0.025,0.164,0.032,0.062
"P30","Ni buena ni mala",0.037,0.084,0.101,0.07,0.156,0.089,0.07,0.114
"P30","Mala",0.132,0.136,0.038,0.111,0.153,0.066,0.064,0.17
"P30","Muy mala",0.814,0.302,0.034,0.794,0.613,0.447,0.681,0.566
"P30","No sabe",0.005,0.014,0,0.007,0,0.011,0.057,0.02
"P31","Muy buena",0.35,0.086,0.054,0.111,0.092,0.017,0.201,0.068
"P31","Buena",0.263,0.169,0.016,0.237,0.124,0.017,0.152,0.196
"P31","Ni buena ni mala",0.171,0.11,0.053,0.272,0.15,0.03,0.1,0.201
"P31","Mala",0.093,0.22,0.116,0.138,0.207,0.106,0.1,0.178
"P31","Muy mala",0.12,0.403,0.733,0.238,0.427,0.819,0.331,0.335
"P31","No sabe",0.003,0.012,0.028,0.004,0,0.011,0.116,0.022
"P32","Muy buena",0.175,0.069,0.004,0.024,0.045,0.034,0.076,0.082
"P32","Buena",0.339,0.148,0.012,0.168,0.112,0.018,0.146,0.196
"P32","Ni buena ni mala",0.304,0.222,0.1,0.325,0.402,0.075,0.258,0.354
"P32","Mala",0.112,0.204,0.186,0.139,0.139,0.152,0.127,0.072
"P32","Muy mala",0.056,0.305,0.663,0.292,0.281,0.71,0.315,0.273
"P32","No sabe",0.014,0.052,0.035,0.052,0.021,0.011,0.078,0.023
"P33","Muy buena",0.035,0.073,0.139,0.015,0.033,0.038,0.05,0.029
"P33","Buena",0.074,0.219,0.344,0.036,0.174,0.086,0.033,0.094
"P33","Ni buena ni mala",0.101,0.271,0.235,0.155,0.066,0.201,0.169,0.205
"P33","Mala",0.214,0.182,0.112,0.138,0.186,0.124,0.216,0.216
"P33","Muy mala",0.551,0.21,0.145,0.612,0.541,0.54,0.449,0.433
"P33","No sabe",0.025,0.045,0.025,0.044,0,0.011,0.083,0.023
"P34","Muy buena",0.529,0.159,0.03,0.26,0.185,0.027,0.242,0.183
"P34","Buena",0.211,0.119,0.017,0.258,0.269,0.048,0.224,0.139
"P34","Ni buena ni mala",0.086,0.158,0.071,0.222,0.091,0.071,0.064,0.341
"P34","Mala",0.068,0.174,0.126,0.105,0.181,0.107,0.14,0.069
"P34","Muy mala",0.099,0.351,0.756,0.142,0.274,0.736,0.266,0.236
"P34","No sabe",0.007,0.039,0,0.013,0,0.011,0.064,0.032
"P35","Muy buena",0.136,0.442,0.055,0.096,0.024,0.034,0.131,0.096
"P35","Buena",0.182,0.244,0.127,0.184,0.24,0.026,0.14,0.176
"P35","Ni buena ni mala",0.321,0.133,0.199,0.263,0.262,0.106,0.146,0.305
"P35","Mala",0.18,0.085,0.343,0.212,0.335,0.347,0.207,0.221
"P35","Muy mala",0.177,0.078,0.276,0.193,0.139,0.476,0.312,0.177
"P35","No sabe",0.004,0.018,0,0.052,0,0.011,0.064,0.025
"P36","Muy buena",0.183,0.119,0.026,0.582,0.084,0.031,0.058,0.097
"P36","Buena",0.124,0.111,0.033,0.122,0.082,0.017,0.128,0.195
"P36","Ni buena ni mala",0.4,0.241,0.076,0.157,0.301,0.082,0.147,0.232
"P36","Mala",0.132,0.152,0.074,0.066,0.267,0.044,0.276,0.221
"P36","Muy mala",0.129,0.343,0.775,0.029,0.227,0.815,0.305,0.205
"P36","No sabe",0.032,0.034,0.016,0.044,0.039,0.011,0.086,0.05
"P37","Muy buena",0.186,0.05,0.049,0.031,0.12,0.035,0.028,0.101
"P37","Buena",0.274,0.095,0.031,0.16,0.191,0.137,0.184,0.138
"P37","Ni buena ni mala",0.281,0.391,0.254,0.327,0.41,0.181,0.211,0.342
"P37","Mala",0.119,0.181,0.236,0.131,0.15,0.153,0.191,0.186
"P37","Muy mala",0.101,0.16,0.412,0.274,0.129,0.483,0.308,0.128
"P37","No sabe",0.039,0.123,0.018,0.077,0,0.011,0.078,0.105
"P38","Muy buena",0.093,0.032,0.045,0.019,0.042,0.018,0.055,0.049
"P38","Buena",0.222,0.07,0.004,0.043,0.154,0.046,0.131,0.106
"P38","Ni buena ni mala",0.367,0.384,0.204,0.321,0.439,0.035,0.142,0.351
"P38","Mala",0.096,0.137,0.14,0.123,0.175,0.15,0.186,0.148
"P38","Muy mala",0.135,0.179,0.583,0.302,0.132,0.594,0.279,0.154
"P38","No sabe",0.087,0.198,0.024,0.192,0.058,0.157,0.207,0.192
"P39","Muy buena",0.138,0.054,0.036,0.049,0.105,0.051,0.04,0.057
"P39","Buena",0.173,0.108,0.06,0.037,0.114,0.041,0.169,0.119
"P39","Ni buena ni mala",0.395,0.426,0.308,0.432,0.36,0.174,0.168,0.388
"P39","Mala",0.133,0.101,0.149,0.131,0.245,0.189,0.244,0.16
"P39","Muy mala",0.066,0.163,0.379,0.3,0.119,0.479,0.198,0.126
"P39","No sabe",0.095,0.148,0.068,0.051,0.057,0.066,0.181,0.15
"P42","A Rodrigo De Loredo por Juntos por el Cambio",0.781,0.145,0.082,0.39,0.223,0.095,0.338,0.391
"P42","A Daniel Passerini por Hacemos por Cordoba",0.078,0.694,0.207,0.127,0.133,0.161,0.161,0.191
"P42","Al candidato del frente de todos",0.042,0.05,0.653,0.017,0.027,0.011,0,0.078
"P42","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.012,0.012,0.01,0.422,0.057,0,0.02,0.07
"P42","A  Juan Pablo Quinteros por Encuentro Vecinal",0.028,0.029,0.027,0.012,0.485,0,0.079,0.013
"P42","Al candidato del frente de izquierda",0.006,0.007,0,0,0.009,0.63,0.121,0.018
"P42","Votaría en blanco",0.01,0.012,0.004,0.011,0,0.029,0.207,0.012
"P42","No sabe",0.043,0.051,0.017,0.021,0.066,0.074,0.074,0.227
"P44","A Luis Juez por Juntos por el Cambio",0.697,0.117,0.083,0.335,0.095,0.012,0.226,0.179
"P44","A Daniel Passerini por Hacemos por Cordoba",0.104,0.74,0.203,0.044,0.135,0.212,0.176,0.235
"P44","Al candidato del frente de todos",0.019,0.031,0.649,0.009,0,0.011,0,0.012
"P44","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.036,0.022,0.011,0.495,0.026,0.012,0.126,0.121
"P44","A  Juan Pablo Quinteros por Encuentro Vecinal",0.065,0.018,0.017,0.029,0.633,0.016,0.04,0.024
"P44","Al candidato del frente de izquierda",0.007,0.012,0.017,0,0.013,0.646,0.058,0.075
"P44","Votaría en blanco",0.014,0.011,0.006,0.02,0.027,0,0.374,0.034
"P44","No sabe",0.058,0.049,0.014,0.068,0.071,0.091,0,0.32
"P46","Lo votaría",0.76,0.112,0.024,0.334,0.218,0.081,0.258,0.293
"P46","Puede que lo vote",0.176,0.221,0.045,0.431,0.228,0.07,0.186,0.302
"P46","Nunca lo votaría",0.056,0.644,0.931,0.222,0.538,0.799,0.479,0.351
"P46","No sabe",0.008,0.023,0,0.013,0.016,0.05,0.077,0.054
"P47","Lo votaría",0.18,0.608,0.198,0.053,0.142,0.081,0.204,0.238
"P47","Puede que lo vote",0.13,0.208,0.317,0.117,0.206,0.253,0.116,0.129
"P47","Nunca lo votaría",0.677,0.156,0.485,0.812,0.637,0.635,0.6,0.602
"P47","No sabe",0.013,0.028,0,0.018,0.015,0.031,0.08,0.031
"P48","Lo votaría",0.527,0.13,0.12,0.308,0.126,0.049,0.261,0.209
"P48","Puede que lo vote",0.295,0.136,0.066,0.189,0.122,0.086,0.103,0.169
"P48","Nunca lo votaría",0.168,0.706,0.814,0.491,0.737,0.834,0.552,0.591
"P48","No sabe",0.01,0.028,0,0.012,0.015,0.031,0.084,0.031
"P49","Lo votaría",0.199,0.056,0.036,0.076,0.375,0,0.092,0.037
"P49","Puede que lo vote",0.239,0.233,0.192,0.32,0.353,0.155,0.225,0.279
"P49","Nunca lo votaría",0.55,0.682,0.749,0.589,0.228,0.806,0.545,0.647
"P49","No sabe",0.012,0.029,0.023,0.015,0.044,0.039,0.138,0.037
"P50","Lo votaría",0.043,0.147,0.295,0.015,0.097,0.069,0.071,0.069
"P50","Puede que lo vote",0.1,0.31,0.355,0.125,0.115,0.242,0.137,0.16
"P50","Nunca lo votaría",0.851,0.517,0.34,0.852,0.769,0.634,0.668,0.725
"P50","No sabe",0.006,0.026,0.01,0.008,0.019,0.055,0.124,0.046
"P51","Luis Juez gobernador – Rodrigo De Loredo intendente por Juntos por el Cambio",0.843,0.048,0.034,0.472,0.27,0.098,0.335,0.396
"P51","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.055,0.862,0.167,0.02,0.094,0.202,0.199,0.129
"P51","A los candidatos a gobernador e intendente del Frente de Todos",0.006,0.026,0.779,0.014,0,0.043,0,0.014
"P51","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0.017,0.028,0,0.485,0.033,0,0,0.095
"P51","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.033,0.016,0,0,0.555,0,0,0.032
"P51","A los candidatos a gobernador e intendente del Frente de Izquierda",0.009,0.003,0.012,0,0.033,0.507,0.076,0.021
"P51","Votaría en blanco",0.01,0.004,0,0,0.015,0.032,0.219,0.041
"P51","No sabe",0.027,0.013,0.008,0.009,0,0.118,0.171,0.272
"P52","Rodrigo De Loredo gobernador – Luis Juez intendente por Juntos por el Cambio",0.834,0.034,0.058,0.264,0.085,0.062,0.137,0.102
"P52","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.051,0.846,0.167,0.039,0.083,0.229,0.2,0.112
"P52","A los candidatos a gobernador e intendente del Frente de Todos",0.006,0.046,0.743,0,0.018,0.069,0,0.023
"P52","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0.017,0.012,0,0.661,0.015,0,0.064,0.106
"P52","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.035,0.017,0.013,0,0.736,0.028,0.041,0.06
"P52","A los candidatos a gobernador e intendente del Frente de Izquierda",0.008,0.003,0.012,0.012,0,0.524,0.019,0.007
"P52","Votaría en blanco",0.013,0,0,0.015,0.015,0.034,0.369,0.03
"P52","No sabe",0.036,0.042,0.007,0.009,0.048,0.054,0.17,0.56
