"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","Fernandez","Macri","Lavagna","Schiaretti","Negri","Mestre","García Elorrio","Olivero"
"A Luis Juez por Juntos por el Cambio",0.319,0.323,0.316,0.256,0.285,0.369,0.429,0.308,0.317,0.335,0.302,0.334,0.094,0.453,0.272,0.234,0.609,0.535,0.221,0.117
"A Martín Llaryora por Hacemos por Córdoba",0.319,0.308,0.328,0.365,0.336,0.291,0.245,0.337,0.322,0.297,0.339,0.303,0.453,0.265,0.396,0.498,0.156,0.193,0.086,0.177
"Al candidato del Frente de Todos",0.094,0.091,0.097,0.083,0.086,0.106,0.115,0.084,0.098,0.1,0.073,0.111,0.27,0.033,0.036,0.078,0.053,0.032,0.073,0.257
"Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.1,0.135,0.068,0.174,0.108,0.049,0.04,0.103,0.097,0.1,0.109,0.093,0.02,0.126,0.086,0.078,0.086,0.106,0.162,0.065
"A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0.028,0.023,0.032,0.003,0.033,0.034,0.043,0.017,0.026,0.04,0.041,0.017,0.008,0.028,0.072,0.013,0.015,0.022,0.313,0.014
"Al candidato del Frente de Izquierda",0.029,0.032,0.027,0.033,0.032,0.027,0.018,0.026,0.026,0.035,0.032,0.026,0.042,0.013,0.017,0.011,0.01,0.009,0.055,0.291
"Votaría en blanco",0.029,0.03,0.027,0.022,0.036,0.034,0.015,0.03,0.031,0.024,0.019,0.036,0.03,0.018,0.012,0.015,0.012,0.03,0.063,0.019
"No sabe",0.082,0.058,0.105,0.064,0.084,0.09,0.095,0.095,0.083,0.069,0.085,0.08,0.083,0.064,0.109,0.073,0.059,0.073,0.027,0.06
