"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P21","Puede que lo vote",0.266,0.279,0.137,0.185
"P21","Nunca lo votaría",0.248,0.424,0.627,0.576
"P21","No sabe",0.003,0.001,0,0.044
"P22","Lo votaría",0.248,0.329,0.232,0.432
"P22","Puede que lo vote",0.246,0.215,0.189,0.165
"P22","Nunca lo votaría",0.503,0.455,0.579,0.359
"P22","No sabe",0.003,0.001,0,0.044
"P23","Lo votaría",0.39,0.31,0.2,0.255
"P23","Puede que lo vote",0.26,0.185,0.137,0.143
"P23","Nunca lo votaría",0.347,0.503,0.663,0.55
"P23","No sabe",0.003,0.002,0,0.052
"P24","Lo votaría",0.115,0.106,0.127,0.084
"P24","Puede que lo vote",0.136,0.139,0.151,0.218
"P24","Nunca lo votaría",0.744,0.754,0.721,0.64
"P24","No sabe",0.005,0.001,0.001,0.058
"P25","Positiva",0.602,0.425,0.294,0.275
"P25","Neutra",0.264,0.375,0.228,0.375
"P25","Negativa",0.111,0.187,0.454,0.226
"P25","No sabe",0.023,0.013,0.024,0.124
"P26","Positiva",0.542,0.408,0.276,0.332
"P26","Neutra",0.175,0.243,0.097,0.225
"P26","Negativa",0.273,0.344,0.622,0.333
"P26","No sabe",0.01,0.005,0.005,0.11
"P27","Positiva",0.378,0.456,0.363,0.481
"P27","Neutra",0.275,0.245,0.167,0.325
"P27","Negativa",0.343,0.291,0.445,0.137
"P27","No sabe",0.004,0.008,0.025,0.057
"P28","Positiva",0.416,0.266,0.211,0.246
"P28","Neutra",0.365,0.475,0.256,0.208
"P28","Negativa",0.156,0.194,0.45,0.143
"P28","No sabe",0.063,0.065,0.083,0.403
"P29","Positiva",0.175,0.169,0.167,0.159
"P29","Neutra",0.088,0.2,0.151,0.141
"P29","Negativa",0.718,0.608,0.678,0.54
"P29","No sabe",0.019,0.023,0.004,0.16
"P30","Positiva",0.146,0.215,0.347,0.253
"P30","Neutra",0.058,0.096,0.049,0.053
"P30","Negativa",0.79,0.688,0.603,0.612
"P30","No sabe",0.006,0.001,0.001,0.082
"P31","Positiva",0.479,0.392,0.324,0.187
"P31","Neutra",0.118,0.186,0.073,0.201
"P31","Negativa",0.4,0.419,0.603,0.516
"P31","No sabe",0.003,0.003,0,0.096
"P32","Positiva",0.531,0.3,0.158,0.213
"P32","Neutra",0.29,0.326,0.16,0.219
"P32","Negativa",0.168,0.367,0.668,0.37
"P32","No sabe",0.011,0.007,0.014,0.198
"P33","Positiva",0.239,0.165,0.216,0.166
"P33","Neutra",0.114,0.251,0.139,0.081
"P33","Negativa",0.64,0.578,0.638,0.581
"P33","No sabe",0.007,0.006,0.007,0.172
"P34","Positiva",0.616,0.452,0.388,0.264
"P34","Neutra",0.133,0.174,0.087,0.141
"P34","Negativa",0.247,0.366,0.518,0.468
"P34","No sabe",0.004,0.008,0.007,0.127
"P35","Positiva",0.469,0.42,0.298,0.463
"P35","Neutra",0.28,0.269,0.135,0.288
"P35","Negativa",0.249,0.306,0.566,0.163
"P35","No sabe",0.002,0.005,0.001,0.086
"P36","Positiva",0.329,0.287,0.26,0.335
"P36","Neutra",0.367,0.329,0.129,0.203
"P36","Negativa",0.292,0.363,0.605,0.287
"P36","No sabe",0.012,0.021,0.006,0.175
"P37","Positiva",0.532,0.273,0.115,0.165
