"var","categoria","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba","A los candidatos  a gobernador y vicegobernador del Frente de Todos","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba","A los candidatos a gobernador y vicegobernador del Frente de Izquierda","Votaría en blanco","No sabe"
"P07","Del Frente de Todos y el peronismo",0.059,0.475,0.89,0.017,0.084,0.233,0.13,0.077
"P07","De Cambiemos",0.634,0.224,0.05,0.09,0.363,0.043,0.452,0.278
"P07","De los Liberales libertarios",0.177,0.098,0.021,0.739,0.19,0,0.086,0.098
"P07","De la Izquierda",0.012,0.017,0.006,0.026,0.085,0.618,0.006,0.018
"P07","Otros",0.052,0.078,0.01,0.054,0.24,0.039,0.169,0.14
"P07","No sabe",0.066,0.108,0.023,0.074,0.038,0.067,0.157,0.389
"P08","A Alberto Fernández",0.359,0.143,0.113,0,0,0.073,0.179,0.057
"P08","A Sergio Massa",0.146,0.213,0.18,0,0.505,0.199,0.214,0.321
"P08","A algún candidato del peronismo",0.468,0.322,0.063,1,0.366,0.104,0.268,0.266
"P08","A algún candidato del kirchnerismo",0.027,0.322,0.644,0,0.129,0.624,0.339,0.356
"P09","A Alberto Fernández",0.15,0.07,0.069,0,0,0.073,0.075,0
"P09","A Sergio Massa",0.086,0.147,0.146,0,0.256,0,0.107,0.257
"P09","A algún candidato del peronismo",0.468,0.24,0.004,1,0.615,0.051,0.375,0.323
"P09","A Cristina Fernández de Kirchner",0.296,0.543,0.781,0,0.129,0.876,0.443,0.42
"P10","A Horacio Rodriguez Larreta",0.192,0.331,0.259,0,0.094,0.844,0.105,0.205
"P10","A Mauricio Macri",0.305,0.396,0.546,0.458,0.162,0.156,0.221,0.178
"P10","A Patricia Bullrich",0.441,0.224,0.195,0.542,0.339,0,0.654,0.512
"P10","A Facundo Manes",0.026,0.046,0,0,0.133,0,0,0.07
"P10","A Gerardo Morales",0.036,0.003,0,0,0.272,0,0.02,0.035
"P11","A Juntos por el Cambio",0.654,0.11,0.036,0.106,0.23,0.016,0.404,0.173
"P11","Al Frente de Todos",0.064,0.159,0.719,0,0.015,0.041,0.058,0.022
"P11","A Hacemos por Córdoba",0.097,0.581,0.075,0.158,0.042,0.047,0.233,0.146
"P11","A los liberales libertarios de Milei",0.091,0.032,0.092,0.668,0.06,0.054,0.017,0.07
"P11","A Encuentro Vecinal Córdoba",0.017,0.01,0.004,0.012,0.559,0,0.035,0.061
"P11","Al Frente de Izquierda",0.009,0.036,0.013,0.031,0.03,0.793,0.038,0.088
"P11","No sabe",0.068,0.072,0.061,0.025,0.064,0.049,0.215,0.44
"P12","A Rodrigo De Loredo con el apoyo de Mauricio Macri, Patricia Bullrich, Martín Lousteau y el radicalismo",0.705,0.456,0.753,0.465,0.426,0,0.271,0.18
"P12","A Luis Juez con el apoyo de Horacio Rodríguez Larreta",0.268,0.083,0.247,0.498,0.518,0,0.633,0.541
"P12","No sabe",0.027,0.461,0,0.037,0.056,1,0.096,0.279
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.815,0.066,0.053,0.135,0.072,0.013,0.157,0.114
"P13","A Martín Llaryora por Hacemos por Córdoba",0.062,0.844,0.152,0.033,0.051,0.093,0.36,0.184
"P13","Al candidato del Frente de Todos",0.011,0.052,0.751,0.007,0.044,0.04,0.02,0.012
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.046,0.003,0.009,0.775,0.009,0,0.009,0.007
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.017,0.003,0.008,0.025,0.671,0,0.008,0.057
"P13","Al candidato del Frente de Izquierda",0.002,0.008,0.004,0.002,0.114,0.799,0,0.009
"P13","Votaría en blanco",0.02,0.007,0,0.012,0.011,0.029,0.307,0.035
"P13","No sabe",0.027,0.017,0.023,0.011,0.028,0.026,0.139,0.582
"P15","A Luis Juez por Juntos por el Cambio",0.676,0.126,0.034,0.143,0.2,0.059,0.366,0.255
"P15","A Martín Llaryora por Hacemos por Córdoba",0.17,0.797,0.157,0.042,0.066,0.109,0.318,0.181
"P15","Al candidato del Frente de Todos",0.006,0.045,0.756,0.002,0,0.024,0,0.008
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.051,0.007,0.013,0.759,0,0,0,0.016
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0.037,0.002,0.015,0.013,0.628,0,0.008,0.022
"P15","Al candidato del Frente de Izquierda",0.002,0.006,0.004,0.02,0.106,0.762,0,0.018
"P15","Votaría en blanco",0.009,0.008,0.004,0.007,0,0.029,0.23,0.022
"P15","No sabe",0.049,0.009,0.017,0.014,0,0.017,0.078,0.478
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.825,0.098,0.062,0.136,0.241,0.078,0.339,0.196
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.076,0.771,0.076,0.019,0.006,0.058,0.284,0.085
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.006,0.046,0.83,0.004,0,0.029,0.01,0.004
"P17","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.037,0.012,0.009,0.787,0,0,0,0.009
"P17","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.021,0.007,0,0.012,0.707,0,0,0.04
"P17","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.002,0.011,0.013,0.016,0.03,0.835,0,0.013
"P17","Votaría en blanco",0.004,0.024,0.004,0.004,0,0,0.299,0.079
"P17","No sabe",0.029,0.031,0.006,0.022,0.016,0,0.068,0.574
"P18","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.903,0.05,0.054,0.075,0.088,0.019,0.118,0.093
"P18","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.038,0.835,0.075,0.022,0,0.057,0.134,0.06
"P18","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.009,0.049,0.836,0.012,0,0.046,0,0.004
"P18","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.015,0.008,0.009,0.863,0.025,0,0.097,0.003
"P18","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.012,0.004,0.007,0.008,0.834,0,0.09,0.011
"P18","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.001,0.014,0.004,0,0.008,0.869,0.011,0.012
"P18","Votaría en blanco",0.004,0.017,0.004,0.004,0.006,0,0.469,0.017
"P18","No sabe",0.018,0.023,0.011,0.016,0.039,0.009,0.081,0.8
"P19","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.852,0.028,0.011,0.133,0.185,0.041,0.326,0.21
"P19","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba",0.041,0.92,0.042,0,0.006,0.017,0.022,0.004
"P19","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.003,0.025,0.903,0,0,0.018,0,0.013
"P19","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.041,0.003,0.022,0.86,0,0,0.012,0.013
"P19","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.024,0,0.007,0.005,0.754,0,0.09,0
"P19","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.008,0,0,0,0.03,0.884,0,0.008
"P19","Votaría en blanco",0.01,0.003,0.009,0.002,0.025,0,0.522,0.023
"P19","No sabe",0.021,0.021,0.006,0,0,0.04,0.028,0.729
"P21","Lo votaría",0.681,0.133,0.014,0.092,0.094,0.014,0.03,0.049
"P21","Puede que lo vote",0.274,0.216,0.075,0.341,0.279,0.019,0.188,0.303
"P21","Nunca lo votaría",0.045,0.651,0.885,0.467,0.539,0.94,0.651,0.509
"P21","No sabe",0,0,0.026,0.1,0.088,0.027,0.131,0.139
"P22","Lo votaría",0.13,0.746,0.128,0.026,0.074,0.076,0.215,0.101
"P22","Puede que lo vote",0.182,0.17,0.325,0.267,0.261,0.159,0.235,0.269
"P22","Nunca lo votaría",0.688,0.084,0.521,0.689,0.583,0.737,0.444,0.497
"P22","No sabe",0,0,0.026,0.018,0.082,0.028,0.106,0.133
"P23","Lo votaría",0.528,0.131,0.077,0.144,0.226,0.062,0.422,0.257
"P23","Puede que lo vote",0.291,0.122,0.118,0.249,0.1,0.051,0.033,0.127
"P23","Nunca lo votaría",0.175,0.73,0.774,0.56,0.605,0.859,0.467,0.477
"P23","No sabe",0.006,0.017,0.031,0.047,0.069,0.028,0.078,0.139
"P24","Lo votaría",0.089,0.123,0.45,0.039,0.044,0.046,0.009,0.025
"P24","Puede que lo vote",0.091,0.248,0.25,0.083,0.095,0.278,0.049,0.101
"P24","Nunca lo votaría",0.817,0.626,0.286,0.872,0.852,0.657,0.896,0.816
"P24","No sabe",0.003,0.003,0.014,0.006,0.009,0.019,0.046,0.058
"P25","Muy buena",0.537,0.072,0.08,0.163,0.094,0.027,0.035,0.084
"P25","Buena",0.231,0.158,0.041,0.132,0.107,0.037,0.217,0.236
"P25","Ni buena ni mala",0.197,0.352,0.182,0.465,0.469,0.3,0.382,0.407
"P25","Mala",0.008,0.189,0.23,0.114,0.239,0.257,0.067,0.083
"P25","Muy mala",0.012,0.174,0.457,0.105,0.082,0.379,0.196,0.095
"P25","No sabe",0.015,0.055,0.01,0.021,0.009,0,0.103,0.095
"P26","Muy buena",0.4,0.046,0.028,0.148,0.148,0.078,0.328,0.236
"P26","Buena",0.304,0.118,0.056,0.207,0.133,0.045,0.147,0.125
"P26","Ni buena ni mala",0.176,0.18,0.087,0.257,0.215,0,0.051,0.281
"P26","Mala",0.051,0.282,0.19,0.222,0.38,0.26,0.201,0.115
"P26","Muy mala",0.062,0.346,0.631,0.151,0.115,0.617,0.226,0.157
"P26","No sabe",0.007,0.028,0.008,0.015,0.009,0,0.047,0.086
"P27","Muy buena",0.12,0.497,0.164,0.052,0.117,0.075,0.116,0.13
"P27","Buena",0.131,0.3,0.251,0.122,0.152,0.106,0.22,0.229
"P27","Ni buena ni mala",0.347,0.095,0.213,0.221,0.319,0.187,0.144,0.299
"P27","Mala",0.254,0.063,0.202,0.324,0.226,0.138,0.248,0.147
"P27","Muy mala",0.139,0.022,0.164,0.267,0.169,0.494,0.224,0.116
"P27","No sabe",0.009,0.023,0.006,0.014,0.017,0,0.048,0.079
"P28","Muy buena",0.17,0.105,0.053,0.105,0.553,0,0.038,0.089
"P28","Buena",0.17,0.106,0.098,0.09,0.181,0.088,0.064,0.252
"P28","Ni buena ni mala",0.364,0.447,0.259,0.317,0.179,0.134,0.476,0.295
"P28","Mala",0.108,0.065,0.174,0.157,0.078,0.122,0.201,0.122
"P28","Muy mala",0.098,0.122,0.329,0.23,0,0.572,0.101,0.076
"P28","No sabe",0.09,0.155,0.087,0.101,0.009,0.084,0.12,0.166
"P29","Muy buena",0.035,0.046,0.13,0.004,0.05,0.036,0.034,0.065
"P29","Buena",0.018,0.249,0.367,0.025,0.045,0.137,0,0.029
"P29","Ni buena ni mala",0.087,0.22,0.241,0.099,0.219,0.184,0.107,0.198
"P29","Mala",0.145,0.207,0.123,0.128,0.183,0.23,0.291,0.22
"P29","Muy mala",0.691,0.229,0.133,0.701,0.494,0.413,0.519,0.43
"P29","No sabe",0.024,0.049,0.006,0.043,0.009,0,0.049,0.058
"P30","Muy buena",0.015,0.299,0.775,0,0.054,0.286,0.065,0.023
"P30","Buena",0.013,0.176,0.064,0.003,0.027,0.123,0.045,0.05
"P30","Ni buena ni mala",0.039,0.1,0.052,0.061,0.143,0.096,0.066,0.121
"P30","Mala",0.117,0.123,0.063,0.109,0.158,0.057,0.16,0.211
"P30","Muy mala",0.809,0.292,0.046,0.82,0.609,0.438,0.615,0.57
"P30","No sabe",0.007,0.01,0,0.007,0.009,0,0.049,0.025
"P31","Muy buena",0.356,0.084,0.069,0.091,0.128,0.032,0.143,0.055
"P31","Buena",0.27,0.145,0.038,0.201,0.133,0.02,0.315,0.186
"P31","Ni buena ni mala",0.151,0.113,0.059,0.278,0.123,0.066,0.137,0.232
