"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","Fernandez","Macri","Lavagna","Schiaretti","Negri","Mestre","García Elorrio","Olivero"
"A Rodrigo De Loredo por Juntos por el Cambio",0.314,0.306,0.321,0.268,0.294,0.348,0.387,0.295,0.311,0.337,0.286,0.336,0.063,0.484,0.25,0.205,0.64,0.649,0.336,0.064
"A Martín Llaryora por Hacemos por Córdoba",0.297,0.285,0.309,0.33,0.31,0.28,0.24,0.298,0.31,0.28,0.317,0.282,0.449,0.23,0.434,0.495,0.099,0.122,0.053,0.188
"Al candidato del Frente de Todos",0.099,0.099,0.099,0.078,0.095,0.108,0.125,0.09,0.105,0.1,0.08,0.113,0.284,0.033,0.042,0.079,0.069,0.04,0.071,0.25
"Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.099,0.137,0.063,0.165,0.109,0.049,0.041,0.105,0.099,0.092,0.111,0.089,0.024,0.115,0.069,0.084,0.079,0.092,0.146,0.058
"A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.027,0.027,0.026,0.011,0.03,0.034,0.033,0.014,0.027,0.039,0.043,0.014,0.013,0.023,0.056,0.016,0.013,0.013,0.288,0.012
"Al candidato del Frente de Izquierda",0.026,0.029,0.024,0.028,0.032,0.027,0.01,0.024,0.026,0.031,0.03,0.024,0.04,0.012,0.02,0.008,0.011,0.005,0.033,0.295
"Votaría en blanco",0.038,0.039,0.037,0.04,0.04,0.037,0.031,0.052,0.033,0.029,0.031,0.043,0.041,0.025,0.036,0.023,0.021,0.021,0.048,0.042
"No sabe",0.1,0.078,0.121,0.08,0.09,0.117,0.133,0.122,0.089,0.092,0.102,0.099,0.086,0.078,0.093,0.09,0.068,0.058,0.025,0.091
