"var","categoria","Luis Juez gobernador – Rodrigo De Loredo intendente por Juntos por el Cambio","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba","A los candidatos a gobernador e intendente del Frente de Todos","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba","A los candidatos a gobernador e intendente del Frente de Izquierda","Votaría en blanco","No sabe"
"P07","Del Frente de Todos y el peronismo",0.052,0.562,0.901,0.043,0.041,0.216,0.278,0.115
"P07","De Cambiemos",0.64,0.202,0.03,0.03,0.323,0.137,0.394,0.344
"P07","De los Liberales libertarios",0.194,0.079,0.035,0.848,0.3,0,0.064,0.1
"P07","De la Izquierda",0.014,0.022,0.017,0.034,0.029,0.496,0,0.038
"P07","Otros",0.045,0.072,0,0.045,0.259,0.094,0.098,0.059
"P07","No sabe",0.055,0.063,0.017,0,0.048,0.057,0.166,0.344
"P08","A Alberto Fernández",0.194,0.132,0.074,1,0.288,0,0,0.159
"P08","A Sergio Massa",0.096,0.164,0.184,0,0,0.255,0,0.2
"P08","A algún candidato del peronismo",0.606,0.304,0.041,0,0,0.408,0.388,0.201
"P08","A algún candidato del kirchnerismo",0.104,0.4,0.701,0,0.712,0.337,0.612,0.44
"P09","A Alberto Fernández",0.194,0.055,0.029,1,0,0,0,0
"P09","A Sergio Massa",0.096,0.1,0.137,0,0,0,0,0.2
"P09","A algún candidato del peronismo",0.574,0.238,0.006,0,0,0.276,0.388,0.36
"P09","A Cristina Fernández de Kirchner",0.136,0.607,0.828,0,1,0.724,0.612,0.44
"P10","A Horacio Rodriguez Larreta",0.182,0.248,0,0,0.372,0.435,0.251,0.239
"P10","A Mauricio Macri",0.247,0.304,0.391,0.367,0.242,0,0.164,0.21
"P10","A Patricia Bullrich",0.51,0.379,0.609,0.633,0.301,0.13,0.502,0.379
"P10","A Facundo Manes",0.028,0.069,0,0,0.085,0.303,0,0.106
