"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Bullrich","Milei","Bregman","Schiaretti"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.4572,0.4418,0.4714,0.4206,0.4914,0.473,0.4146,0.534,0.4248,0.4144,0.7848,0.1492,0.476,0.3834,0.4802,0.4332,0.511,0.8926,0.1584,0.0994,0.426,0.2678
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.48,0.4996,0.4622,0.5098,0.454,0.4722,0.5034,0.4196,0.4992,0.5224,0.1854,0.7874,0.4442,0.5364,0.4762,0.532,0.4268,0.0898,0.7428,0.865,0.3406,0.6108
"En blanco",0.0628,0.0586,0.0664,0.0696,0.0546,0.0548,0.082,0.0464,0.076,0.0632,0.0298,0.0634,0.0798,0.0802,0.0436,0.0348,0.0622,0.0176,0.0988,0.0356,0.2334,0.1214
