"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.055,0.037,0.073,0.031,0.049,0.074,0.08,0.061,0.042,0.076,0.115,0.036,0.039,0.038,0.091,0.028,0.015,0.116,0.048,6
"Buena",0.09,0.101,0.079,0.117,0.073,0.086,0.099,0.084,0.106,0.066,0.126,0.062,0.141,0.036,0.199,0.048,0.048,0.157,0.363,6
"Ni buena ni mala",0.377,0.356,0.4,0.303,0.452,0.323,0.385,0.458,0.308,0.38,0.28,0.352,0.385,0.483,0.317,0.515,0.384,0.405,0.299,6
"Mala",0.089,0.101,0.077,0.086,0.086,0.119,0.057,0.069,0.099,0.106,0.098,0.106,0.047,0.063,0.068,0.106,0.114,0.062,0.091,6
"Muy mala",0.126,0.153,0.097,0.233,0.11,0.069,0.078,0.11,0.124,0.161,0.117,0.16,0.146,0.077,0.089,0.096,0.151,0.073,0.044,6
"No sabe",0.263,0.252,0.274,0.23,0.23,0.329,0.301,0.218,0.321,0.211,0.264,0.284,0.242,0.303,0.236,0.207,0.288,0.187,0.155,6
"Positiva",0.145,0.138,0.152,0.148,0.122,0.16,0.179,0.145,0.148,0.142,0.241,0.098,0.18,0.074,0.29,0.076,0.063,0.273,0.411,4
"Neutra",0.377,0.356,0.4,0.303,0.452,0.323,0.385,0.458,0.308,0.38,0.28,0.352,0.385,0.483,0.317,0.515,0.384,0.405,0.299,4
"Negativa",0.215,0.254,0.174,0.319,0.196,0.188,0.135,0.179,0.223,0.267,0.215,0.266,0.193,0.14,0.157,0.202,0.265,0.135,0.135,4
"No sabe",0.263,0.252,0.274,0.23,0.23,0.329,0.301,0.218,0.321,0.211,0.264,0.284,0.242,0.303,0.236,0.207,0.288,0.187,0.155,4
