"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A Cristina Fernández de Kirchner"
"P07","Muy buena",0.355,0.141,0.141,0.224
"P07","Buena",0.283,0.195,0.134,0.206
"P07","Ni buena ni mala",0.213,0.296,0.572,0.151
"P07","Mala",0.149,0.039,0.038,0.115
"P07","Muy mala",0,0.326,0.096,0.291
"P07","No sabe",0,0.003,0.019,0.013
"P08","Muy buena",0.163,0.1,0.006,0.079
"P08","Buena",0.045,0.02,0.024,0.04
"P08","Ni buena ni mala",0.644,0.419,0.567,0.22
"P08","Mala",0.067,0.116,0.005,0.17
"P08","Muy mala",0.01,0.225,0.167,0.28
"P08","No sabe",0.071,0.12,0.231,0.211
"P09","Muy buena",0.351,0.122,0.03,0.17
"P09","Buena",0.05,0.279,0.309,0.246
"P09","Ni buena ni mala",0.281,0.168,0.503,0.26
"P09","Mala",0.207,0.01,0.018,0.084
"P09","Muy mala",0.03,0.349,0.096,0.179
"P09","No sabe",0.081,0.072,0.044,0.061
"P10","Muy buena",0.106,0.082,0.011,0.049
"P10","Buena",0.197,0.047,0.215,0.01
"P10","Ni buena ni mala",0.421,0.309,0.224,0.296
"P10","Mala",0.071,0.164,0.267,0.182
"P10","Muy mala",0.006,0.289,0.019,0.303
"P10","No sabe",0.199,0.109,0.264,0.16
"P11","Muy buena",0.07,0.187,0.107,0.129
"P11","Buena",0.122,0.109,0.098,0.086
"P11","Ni buena ni mala",0.583,0.124,0.435,0.225
"P11","Mala",0.108,0.162,0.243,0.172
"P11","Muy mala",0.117,0.328,0.057,0.373
"P11","No sabe",0,0.09,0.06,0.015
"P12","Muy buena",0.164,0,0.006,0.005
"P12","Buena",0.036,0.149,0.01,0.022
"P12","Ni buena ni mala",0.472,0.26,0.654,0.312
"P12","Mala",0.097,0.097,0.01,0.143
"P12","Muy mala",0.014,0.285,0.052,0.228
"P12","No sabe",0.217,0.209,0.268,0.29
"P13","Muy buena",0.109,0.011,0.02,0.067
