"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P21","A otro candidato",0.417,0.205,0.153,0.106,0.07,0.042
"P21","No sabe",0.225,0.139,0.165,0.187,0.146,0.327
"P22","A Gustavo Menéndez",0.897,0.724,0.372,0.625,0.329,0.671
"P22","A Karina Menéndez",0.055,0.022,0.123,0.087,0.279,0.31
"P22","A Florencia Lizaraso",0.037,0.011,0.006,0.183,0.213,0
"P22","A Raúl Otahacé",0.011,0.233,0.35,0.033,0.032,0.019
"P22","No sabe",0,0.01,0.149,0.072,0.147,0
"P23","Frente de Todos y el peronismo",0.124,0.065,0.278,0.403,0.75,0.506
"P23","Cambiemos",0.134,0.505,0.384,0.287,0.113,0.2
"P23","Liberales",0.514,0.256,0.097,0.042,0.026,0.019
"P23","Izquierda",0.158,0.047,0.016,0.024,0.027,0
"P23","No sabe",0.07,0.127,0.225,0.244,0.084,0.275
"P25","A Alberto Fernández",0.435,0,0.147,0.269,0.131,0.675
"P25","A Sergio Massa",0.091,0.922,0.362,0.197,0.248,0.11
"P25","A algún candidato del peronismo",0.061,0,0.162,0.265,0.077,0.17
"P25","A algún candidato del kirchnerismo",0.413,0.078,0.329,0.269,0.544,0.045
"P26","A Alberto Fernández",0.435,0.922,0.118,0.194,0.079,0.651
"P26","A Sergio Massa",0.41,0,0.385,0.154,0.198,0.06
"P26","A algún candidato del peronismo",0.053,0,0.168,0.309,0.04,0.11
"P26","A Cristina Fernández de Kirchner",0.102,0.078,0.329,0.343,0.683,0.179
"P27","A Horacio Rodriguez Larreta",0.091,0.237,0.304,0.183,0.569,0.85
"P27","A Mauricio Macri",0.746,0.524,0.296,0.079,0.2,0.131
"P27","A Patricia Bullrich",0.111,0.223,0.356,0.566,0.045,0.019
"P27","A Facundo Manes",0.032,0.016,0.044,0.164,0.128,0
"P27","A Martín Lousteau",0.02,0,0,0.008,0.058,0
"P28","Seguro lo votaria",0.716,0.1,0.073,0.043,0.035,0.765
"P28","Quizás lo votaría",0.284,0.564,0.2,0.104,0.122,0.089
"P28","Nunca lo votaría",0,0.336,0.727,0.853,0.843,0.146
"P29","Muy buena",0.148,0.019,0.072,0.092,0.183,0.387
"P29","Buena",0.005,0.079,0.129,0.268,0.254,0.159
"P29","Ni buena ni mala",0.082,0.173,0.229,0.184,0.261,0.144
"P29","Mala",0.026,0.14,0.124,0.172,0.165,0.073
"P29","Muy mala",0.738,0.589,0.44,0.276,0.135,0.204
"P29","No sabe",0.001,0,0.006,0.008,0.002,0.033
"P30","Muy buena",0.268,0.169,0.161,0.119,0.028,0.218
"P30","Buena",0.19,0.263,0.151,0.082,0.009,0.059
"P30","Ni buena ni mala",0.2,0.26,0.323,0.145,0.029,0.068
"P30","Mala",0.195,0.199,0.238,0.487,0.098,0.168
"P30","Muy mala",0.147,0.04,0.117,0.16,0.81,0.42
"P30","No sabe",0,0.069,0.01,0.007,0.026,0.067
"P31","Muy buena",0.106,0.008,0.118,0.394,0.627,0.403
"P31","Buena",0.068,0.132,0.082,0.102,0.084,0.219
"P31","Ni buena ni mala",0.033,0.114,0.238,0.117,0.05,0.112
"P31","Mala",0.101,0.169,0.065,0.1,0.047,0.001
"P31","Muy mala",0.692,0.572,0.484,0.284,0.192,0.187
"P31","No sabe",0,0.005,0.013,0.003,0,0.078
"P32","Muy buena",0.194,0.242,0.218,0.11,0.097,0.202
"P32","Buena",0.168,0.292,0.221,0.143,0.011,0.183
"P32","Ni buena ni mala",0.283,0.357,0.363,0.149,0.069,0.386
"P32","Mala",0.112,0.021,0.132,0.548,0.157,0.009
"P32","Muy mala",0.239,0.088,0.048,0.039,0.664,0.109
"P32","No sabe",0.004,0,0.018,0.011,0.002,0.111
"P33","Muy buena",0.083,0.025,0.075,0.112,0.151,0.312
"P33","Buena",0.043,0.162,0.065,0.168,0.267,0.163
"P33","Ni buena ni mala",0.159,0.177,0.373,0.288,0.316,0.223
"P33","Mala",0.143,0.176,0.167,0.222,0.124,0.028
"P33","Muy mala",0.572,0.46,0.317,0.207,0.141,0.156
"P33","No sabe",0,0,0.003,0.003,0.001,0.118
"P34","Muy buena",0.36,0.418,0.264,0.079,0.041,0.028
"P34","Buena",0.208,0.158,0.249,0.207,0.016,0.129
"P34","Ni buena ni mala",0.211,0.27,0.269,0.074,0.021,0.28
"P34","Mala",0.019,0.137,0.125,0.547,0.103,0.122
"P34","Muy mala",0.154,0.017,0.091,0.091,0.793,0.324
"P34","No sabe",0.048,0,0.002,0.002,0.026,0.117
