"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.139,0.185,0.09,0.047,0.188,0.14,0.179,0.166,0.129,0.104,0.179,0.198,0.015,0.112,0.132,0.052,0.185,0.124,0.116,6
"Buena",0.18,0.185,0.176,0.186,0.145,0.206,0.227,0.208,0.175,0.132,0.194,0.189,0.214,0.132,0.178,0.163,0.251,0.085,0.058,6
"Ni buena ni mala",0.234,0.24,0.228,0.202,0.195,0.325,0.26,0.262,0.23,0.18,0.206,0.167,0.284,0.328,0.186,0.355,0.232,0.208,0.188,6
"Mala",0.152,0.101,0.208,0.132,0.165,0.14,0.177,0.123,0.168,0.178,0.145,0.208,0.156,0.09,0.153,0.067,0.13,0.161,0.355,6
"Muy mala",0.268,0.26,0.275,0.398,0.284,0.167,0.131,0.227,0.26,0.38,0.234,0.205,0.317,0.303,0.338,0.362,0.191,0.391,0.232,6
"No sabe",0.027,0.029,0.023,0.035,0.023,0.022,0.026,0.014,0.038,0.026,0.042,0.033,0.014,0.035,0.013,0.001,0.011,0.031,0.051,6
"Positiva",0.319,0.37,0.266,0.233,0.333,0.346,0.406,0.374,0.304,0.236,0.373,0.387,0.229,0.244,0.31,0.215,0.436,0.209,0.174,4
"Neutra",0.234,0.24,0.228,0.202,0.195,0.325,0.26,0.262,0.23,0.18,0.206,0.167,0.284,0.328,0.186,0.355,0.232,0.208,0.188,4
"Negativa",0.42,0.361,0.483,0.53,0.449,0.307,0.308,0.35,0.428,0.558,0.379,0.413,0.473,0.393,0.491,0.429,0.321,0.552,0.587,4
"No sabe",0.027,0.029,0.023,0.035,0.023,0.022,0.026,0.014,0.038,0.026,0.042,0.033,0.014,0.035,0.013,0.001,0.011,0.031,0.051,4
