"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"A Alberto Fernández",0.202,0.132,0.275,0.357,0.137,0.119,0.189,0.197,0.237,0.126,0.185,0.239,0.029,0.08,0.279,0.316,0.197,0.292,0
"A Sergio Massa",0.252,0.291,0.211,0.102,0.292,0.341,0.312,0.342,0.204,0.158,0.379,0.206,0.192,0.335,0.236,0.146,0.246,0.133,0
"A algún candidato del peronismo",0.105,0.116,0.094,0.032,0.188,0.068,0.094,0.06,0.149,0.105,0.088,0.077,0.058,0.23,0.128,0.066,0.081,0.289,0
"A algún candidato del kirchnerismo",0.441,0.461,0.42,0.509,0.383,0.472,0.405,0.401,0.41,0.611,0.348,0.478,0.721,0.355,0.357,0.472,0.476,0.286,1
