"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"Seguro lo votaria",0.147,0.096,0.201,0.232,0.142,0.058,0.17,0.051,0.241,0.132,0.296,0.129,0.07,0.012,0.068,0.291,0.037,0.227,0
"Quizás lo votaría",0.281,0.287,0.275,0.386,0.214,0.273,0.265,0.191,0.337,0.327,0.335,0.348,0.194,0.157,0.278,0.262,0.278,0.227,0.36
"Nunca lo votaría",0.572,0.617,0.524,0.382,0.644,0.669,0.565,0.758,0.422,0.541,0.369,0.523,0.736,0.831,0.654,0.447,0.685,0.546,0.64
