"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"Agua corriente y cloacas",0.519,0.496,0.543,0.477,0.547,0.495,0.56,0.602,0.457,0.497,0.496,0.488,0.711,0.48,0.482,0.547,0.504,0.508,0.55
"Energía eléctrica",0.103,0.118,0.088,0.094,0.109,0.101,0.106,0.121,0.077,0.126,0.091,0.119,0.124,0.032,0.178,0.077,0.102,0.096,0.169
"Red de gas natural",0.116,0.092,0.14,0.122,0.116,0.137,0.07,0.119,0.13,0.074,0.103,0.128,0.047,0.148,0.018,0.193,0.118,0.168,0
"Recolección de residuos",0.143,0.167,0.119,0.232,0.141,0.082,0.088,0.07,0.194,0.175,0.122,0.135,0.086,0.215,0.203,0.123,0.127,0.144,0.152
"Ninguno",0.119,0.127,0.11,0.075,0.087,0.185,0.176,0.088,0.142,0.128,0.188,0.13,0.032,0.125,0.119,0.06,0.149,0.084,0.129
