"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.095,0.095,0.096,0.108,0.076,0.089,0.138,0.088,0.095,0.114,0.122,0.093,0.132,0.061,0.056,0.099,0.085,0.14,0.008,6
"Buena",0.117,0.109,0.126,0.118,0.119,0.093,0.15,0.124,0.115,0.104,0.114,0.083,0.107,0.157,0.212,0.121,0.071,0.231,0.28,6
"Ni buena ni mala",0.398,0.402,0.393,0.343,0.431,0.42,0.37,0.436,0.38,0.358,0.449,0.365,0.368,0.438,0.341,0.441,0.395,0.364,0.435,6
"Mala",0.081,0.086,0.076,0.091,0.058,0.125,0.057,0.047,0.078,0.165,0.082,0.091,0.102,0.08,0.06,0.056,0.107,0.023,0.078,6
"Muy mala",0.147,0.19,0.101,0.239,0.145,0.079,0.086,0.148,0.153,0.129,0.092,0.216,0.067,0.114,0.156,0.111,0.153,0.127,0.07,6
"No sabe",0.162,0.118,0.208,0.101,0.171,0.194,0.199,0.157,0.179,0.13,0.141,0.152,0.224,0.15,0.175,0.172,0.189,0.115,0.129,6
"Positiva",0.212,0.204,0.222,0.226,0.195,0.182,0.288,0.212,0.21,0.218,0.236,0.176,0.239,0.218,0.268,0.22,0.156,0.371,0.288,4
"Neutra",0.398,0.402,0.393,0.343,0.431,0.42,0.37,0.436,0.38,0.358,0.449,0.365,0.368,0.438,0.341,0.441,0.395,0.364,0.435,4
"Negativa",0.228,0.276,0.177,0.33,0.203,0.204,0.143,0.195,0.231,0.294,0.174,0.307,0.169,0.194,0.216,0.167,0.26,0.15,0.148,4
"No sabe",0.162,0.118,0.208,0.101,0.171,0.194,0.199,0.157,0.179,0.13,0.141,0.152,0.224,0.15,0.175,0.172,0.189,0.115,0.129,4
