"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez"
"CFK","Positiva",0.413,0.4,0.427,0.431,0.323,0.468,0.535,0.406,0.424,0.405,0.441,0.449,0.362,0.364,0.333,0.431,0.659
"CFK","Neutra",0.11,0.078,0.143,0.062,0.163,0.101,0.067,0.151,0.102,0.041,0.052,0.146,0.029,0.088,0.157,0.139,0.119
"CFK","Negativa",0.464,0.52,0.407,0.507,0.509,0.429,0.325,0.421,0.467,0.551,0.499,0.394,0.571,0.543,0.504,0.414,0.215
"CFK","No sabe",0.013,0.002,0.023,0,0.005,0.002,0.073,0.022,0.007,0.003,0.008,0.011,0.038,0.005,0.006,0.016,0.007
"Patricia Bullrich","Positiva",0.33,0.355,0.306,0.29,0.35,0.366,0.295,0.379,0.292,0.316,0.363,0.273,0.404,0.433,0.369,0.258,0.114
"Patricia Bullrich","Neutra",0.154,0.172,0.136,0.14,0.181,0.149,0.115,0.152,0.19,0.074,0.129,0.142,0.076,0.129,0.279,0.209,0.119
"Patricia Bullrich","Negativa",0.492,0.448,0.535,0.57,0.44,0.444,0.562,0.42,0.506,0.61,0.496,0.553,0.441,0.438,0.346,0.518,0.727
"Patricia Bullrich","No sabe",0.024,0.025,0.023,0,0.029,0.041,0.028,0.049,0.012,0,0.012,0.032,0.079,0,0.006,0.015,0.04
"Horacio Rodriguez Larreta","Positiva",0.3,0.271,0.33,0.33,0.298,0.264,0.308,0.272,0.312,0.334,0.42,0.221,0.441,0.344,0.358,0.175,0.142
"Horacio Rodriguez Larreta","Neutra",0.224,0.233,0.214,0.178,0.241,0.245,0.225,0.283,0.217,0.11,0.17,0.205,0.154,0.322,0.263,0.257,0.174
"Horacio Rodriguez Larreta","Negativa",0.463,0.491,0.434,0.492,0.441,0.479,0.446,0.441,0.445,0.552,0.385,0.558,0.405,0.334,0.375,0.547,0.668
"Horacio Rodriguez Larreta","No sabe",0.013,0.005,0.022,0,0.02,0.012,0.021,0.004,0.026,0.004,0.025,0.016,0,0,0.004,0.021,0.016
"Alberto Fernandez","Positiva",0.295,0.212,0.382,0.27,0.229,0.342,0.444,0.335,0.292,0.221,0.322,0.361,0.301,0.216,0.26,0.207,0.446
"Alberto Fernandez","Neutra",0.202,0.193,0.211,0.273,0.208,0.132,0.171,0.174,0.236,0.181,0.171,0.202,0.121,0.133,0.166,0.381,0.257
"Alberto Fernandez","Negativa",0.495,0.593,0.394,0.457,0.556,0.509,0.375,0.491,0.46,0.583,0.495,0.428,0.567,0.646,0.568,0.412,0.287
"Alberto Fernandez","No sabe",0.008,0.002,0.013,0,0.007,0.017,0.01,0,0.012,0.015,0.012,0.009,0.011,0.005,0.006,0,0.01
"Sergio Massa","Positiva",0.28,0.229,0.333,0.294,0.215,0.308,0.387,0.299,0.269,0.266,0.341,0.339,0.209,0.224,0.341,0.139,0.411
"Sergio Massa","Neutra",0.277,0.245,0.309,0.229,0.318,0.24,0.313,0.304,0.266,0.242,0.17,0.306,0.251,0.311,0.233,0.341,0.295
"Sergio Massa","Negativa",0.432,0.523,0.34,0.477,0.457,0.444,0.264,0.387,0.451,0.488,0.478,0.34,0.54,0.465,0.423,0.499,0.279
"Sergio Massa","No sabe",0.011,0.003,0.018,0,0.01,0.008,0.036,0.01,0.014,0.004,0.011,0.015,0,0,0.003,0.021,0.015
"Javier Milei","Positiva",0.276,0.366,0.182,0.394,0.309,0.186,0.116,0.276,0.287,0.25,0.372,0.239,0.165,0.327,0.291,0.272,0.125
"Javier Milei","Neutra",0.199,0.177,0.222,0.126,0.209,0.228,0.259,0.188,0.227,0.157,0.183,0.21,0.236,0.201,0.269,0.12,0.123
"Javier Milei","Negativa",0.459,0.434,0.486,0.419,0.445,0.517,0.477,0.46,0.408,0.578,0.378,0.465,0.528,0.472,0.44,0.491,0.664
"Javier Milei","No sabe",0.066,0.023,0.11,0.061,0.037,0.069,0.148,0.076,0.078,0.015,0.067,0.086,0.071,0,0,0.117,0.088
"Mauricio Macri","Positiva",0.235,0.227,0.242,0.262,0.21,0.255,0.219,0.251,0.217,0.242,0.272,0.209,0.184,0.352,0.256,0.167,0.068
"Mauricio Macri","Neutra",0.159,0.193,0.124,0.141,0.189,0.145,0.134,0.17,0.166,0.118,0.106,0.101,0.182,0.213,0.308,0.192,0.053
"Mauricio Macri","Negativa",0.579,0.562,0.598,0.57,0.574,0.599,0.579,0.537,0.595,0.635,0.573,0.683,0.482,0.435,0.433,0.641,0.842
"Mauricio Macri","No sabe",0.027,0.018,0.036,0.027,0.027,0.001,0.068,0.042,0.022,0.005,0.049,0.007,0.152,0,0.003,0,0.037
