"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Estrato 1","Estrato 2","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"Alberto Fernandez","Positiva",0.376,0.397,0.354,0.266,0.405,0.419,0.391,0.374,0.384,0.359,0.331,0.401,0.557,0.077,0.055,0.698,0.087,0.078,0.034,0.101,0.114,0,0.278,0.11,0.35
"Alberto Fernandez","Neutra",0.193,0.16,0.225,0.226,0.176,0.179,0.218,0.248,0.164,0.143,0.189,0.195,0.216,0.08,0.206,0.17,0.083,0.165,0.556,0.494,0.019,0.118,0.356,0.259,0.247
"Alberto Fernandez","Negativa",0.408,0.429,0.389,0.501,0.384,0.395,0.35,0.337,0.444,0.478,0.468,0.374,0.197,0.839,0.739,0.105,0.828,0.752,0.41,0.405,0.79,0.882,0.362,0.425,0.399
"Alberto Fernandez","No sabe",0.023,0.014,0.032,0.007,0.035,0.007,0.041,0.041,0.008,0.02,0.012,0.03,0.03,0.004,0,0.027,0.002,0.005,0,0,0.077,0,0.004,0.206,0.004
"Horacio Rodriguez Larreta","Positiva",0.359,0.365,0.354,0.353,0.366,0.355,0.357,0.373,0.353,0.344,0.422,0.322,0.216,0.845,0.252,0.132,0.826,0.668,0.133,0.154,0.424,0.392,0.326,0.166,0.318
"Horacio Rodriguez Larreta","Neutra",0.189,0.195,0.183,0.178,0.181,0.219,0.181,0.138,0.244,0.172,0.176,0.196,0.175,0.111,0.496,0.134,0.118,0.246,0.094,0.536,0.269,0.144,0.23,0.437,0.248
"Horacio Rodriguez Larreta","Negativa",0.415,0.427,0.403,0.429,0.419,0.395,0.415,0.44,0.371,0.464,0.381,0.436,0.564,0.04,0.191,0.712,0.055,0.071,0.611,0.31,0.287,0.464,0.392,0.224,0.372
"Horacio Rodriguez Larreta","No sabe",0.037,0.013,0.06,0.04,0.034,0.031,0.047,0.049,0.032,0.02,0.021,0.046,0.045,0.004,0.061,0.022,0.001,0.015,0.162,0,0.02,0,0.052,0.173,0.062
"Sergio Massa","Positiva",0.28,0.318,0.245,0.233,0.278,0.316,0.31,0.306,0.286,0.217,0.258,0.294,0.392,0.066,0.263,0.482,0.05,0.115,0.287,0,0,0,0.326,0,0.303
"Sergio Massa","Neutra",0.237,0.209,0.263,0.168,0.249,0.242,0.302,0.233,0.241,0.235,0.178,0.271,0.295,0.11,0.123,0.306,0.1,0.189,0.212,0.216,0.112,0.314,0.373,0.052,0.271
"Sergio Massa","Negativa",0.447,0.469,0.425,0.569,0.435,0.398,0.361,0.402,0.45,0.533,0.55,0.386,0.269,0.801,0.608,0.177,0.846,0.629,0.501,0.784,0.868,0.607,0.275,0.771,0.387
"Sergio Massa","No sabe",0.036,0.004,0.067,0.03,0.038,0.044,0.027,0.059,0.023,0.015,0.014,0.049,0.044,0.023,0.006,0.035,0.004,0.067,0,0,0.02,0.079,0.026,0.177,0.039
"CFK","Positiva",0.442,0.465,0.419,0.302,0.492,0.48,0.452,0.511,0.385,0.422,0.389,0.473,0.669,0.036,0.048,0.835,0.073,0.106,0.045,0.175,0.116,0,0.362,0.266,0.358
"CFK","Neutra",0.091,0.088,0.095,0.127,0.059,0.127,0.073,0.068,0.099,0.124,0.073,0.102,0.1,0.047,0.018,0.044,0.031,0.142,0.232,0.178,0.05,0.119,0.213,0.089,0.168
"CFK","Negativa",0.454,0.445,0.462,0.571,0.431,0.38,0.456,0.405,0.505,0.444,0.526,0.411,0.219,0.913,0.916,0.12,0.894,0.726,0.723,0.647,0.814,0.881,0.42,0.445,0.468
"CFK","No sabe",0.013,0.002,0.024,0,0.018,0.013,0.019,0.016,0.011,0.01,0.012,0.014,0.012,0.004,0.018,0.001,0.002,0.026,0,0,0.02,0,0.005,0.2,0.006
"Mauricio Macri","Positiva",0.224,0.234,0.214,0.329,0.209,0.189,0.156,0.222,0.227,0.218,0.288,0.187,0.134,0.57,0.077,0.082,0.54,0.34,0.036,0.027,0.334,0.09,0.151,0,0.249
"Mauricio Macri","Neutra",0.155,0.174,0.136,0.138,0.139,0.21,0.134,0.09,0.217,0.151,0.17,0.145,0.071,0.31,0.427,0.058,0.308,0.355,0.323,0.13,0.259,0.215,0.213,0.072,0.067
"Mauricio Macri","Negativa",0.603,0.589,0.617,0.533,0.632,0.566,0.697,0.658,0.548,0.614,0.538,0.642,0.773,0.115,0.496,0.843,0.152,0.295,0.641,0.782,0.387,0.615,0.631,0.751,0.678
"Mauricio Macri","No sabe",0.018,0.003,0.033,0,0.02,0.035,0.013,0.03,0.008,0.017,0.004,0.026,0.022,0.005,0,0.017,0,0.01,0,0.061,0.02,0.08,0.005,0.177,0.006
