"var","categoria","No alcanzan para cubrir las necesidades básicas familiares","Solo alcanzan para cubrir las necesidades básicas familiares","No alcanzan para cubrir los gastos totales de la familia","Alcanzan para cubrir los gastos totales de la familia","Tenemos un pequeño excedente, pero es excepcional","Tenemos un pequeño excedente habitual que ahorramos o invertimos","Tenemos un gran excedente pero es excepcional","Tenemos un gran excedente habitual que ahorramos o invertimos","No sabe"
"P09","Porque me siento desanimado con la realidad del país",0.359,0.415,0.099,0.286,0,0,0,0,0.613
"P09","Porque estoy en desacuerdo con el gobierno, pero la oposición no me representa",0.202,0.344,0.226,0.581,0,1,1,0.889,0.264
"P09","Nunca voy a votar",0.018,0.006,0,0,0,0,0,0,0
"P09","Por miedo a la pandemia",0.342,0.146,0.521,0,0,0,0,0.111,0.123
"P09","Porque las PASO no son elecciones importantes",0.079,0.089,0.154,0.133,0,0,0,0,0
"P14","A Tolosa Paz por el Frente de Todos",0.436,0.412,0.515,0.634,0.618,0.488,0.092,0.555,0.516
"P14","A Santilli y Manes por Juntos",0.355,0.355,0.338,0.264,0.161,0.275,0.769,0.378,0.365
"P14","A del Caño por el Frente de Izquierda",0.053,0.047,0.024,0.049,0,0,0.06,0,0
"P14","A Espert por Avanza libertad",0.039,0.027,0.028,0.019,0.221,0.09,0,0.067,0
"P14","A Randazzo por ""Vamos con vos""",0.042,0.045,0.062,0.028,0,0.147,0,0,0
"P14","A Hotton por “+Valores”",0.003,0.032,0.019,0,0,0,0,0,0
"P14","Votaría en blanco o anularía",0.072,0.082,0.014,0.006,0,0,0.079,0,0.119
"P16","A Karina Isabel Menendez por el Frente de todos",0.431,0.413,0.423,0.623,0.606,0.48,0.103,0.641,0.466
"P16","A David Mauricio Zencich por Juntos",0.363,0.362,0.328,0.257,0.171,0.278,0.734,0.286,0.334
"P16","A Flavia Luz Tesone por el Frente de Izquierda",0.052,0.05,0.068,0.052,0,0,0.07,0,0
