"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Estrato 1","Estrato 2","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"Diego Santilli y Facundo Manes por “Juntos”",0.361,0.382,0.342,0.409,0.352,0.326,0.369,0.304,0.412,0.372,0.43,0.321,0.178,0.879,0.447,0.111,0.911,0.675,0.155,0.044,0.362,0,0.225,0.051,0.345
"Victoria Tolosa Paz por el Frente de todos",0.414,0.456,0.373,0.275,0.437,0.48,0.457,0.483,0.368,0.368,0.389,0.428,0.6,0.046,0.236,0.8,0.071,0.187,0.349,0.062,0.175,0,0.254,0.117,0.299
"Nicolás del Caño por el Frente de Izquierda",0.03,0.027,0.033,0.079,0.026,0.006,0.006,0.024,0.009,0.091,0.058,0.014,0.025,0.008,0.056,0.01,0,0.006,0.041,0.769,0,0.336,0.008,0,0.059
"José Luis Espert por “Avanza Libertad”",0.054,0.041,0.067,0.101,0.046,0.026,0.054,0.033,0.065,0.077,0.039,0.063,0.046,0.046,0.094,0,0.01,0.049,0.183,0,0.445,0.341,0.09,0.227,0.079
"Florencio Randazzo por “Vamos con vos”",0.032,0.025,0.038,0.028,0.034,0.03,0.034,0.045,0.028,0.011,0.012,0.044,0.042,0.002,0.024,0.012,0,0.02,0.126,0.075,0,0,0.15,0.035,0.054
"Cynthia Hotton por “+Valores”",0.009,0.004,0.014,0,0.012,0.018,0.001,0.008,0.011,0.007,0.018,0.004,0.004,0.005,0.071,0,0.004,0.015,0,0,0,0.256,0.081,0,0.002
"Ninguna en particular",0.053,0.045,0.06,0.108,0.039,0.04,0.025,0.018,0.085,0.054,0.036,0.062,0.045,0.013,0.072,0.021,0.004,0.038,0.146,0,0.018,0.067,0.031,0.236,0.138
"No sabe",0.047,0.02,0.073,0,0.054,0.074,0.054,0.085,0.022,0.02,0.018,0.064,0.06,0.001,0,0.046,0,0.01,0,0.05,0,0,0.161,0.334,0.024
