"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Estrato 1","Estrato 2","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"A Tolosa Paz por el Frente de Todos",0.462,0.487,0.434,0.363,0.481,0.497,0.513,0.537,0.425,0.377,0.393,0.501,0.681,0.064,0.079,0.846,0.099,0.075,0,0.023,0.262,0.065,0.428,0.3,0.414
"A Santilli y Manes por Juntos",0.339,0.35,0.328,0.326,0.339,0.348,0.347,0.325,0.328,0.395,0.385,0.313,0.161,0.854,0.454,0.089,0.879,0.791,0.063,0.022,0.332,0.389,0.249,0,0.27
"A del Caño por el Frente de Izquierda",0.044,0.035,0.053,0.062,0.046,0.042,0.01,0.047,0.024,0.084,0.077,0.025,0.044,0.008,0.105,0.045,0.008,0.009,0.01,0.683,0,0.082,0.057,0,0.055
"A Espert por Avanza libertad",0.042,0.049,0.035,0.032,0.05,0.05,0.023,0.016,0.067,0.043,0.06,0.032,0.029,0.039,0.126,0.003,0.004,0.088,0.038,0,0.397,0.196,0.113,0,0.058
"A Randazzo por ""Vamos con vos""",0.043,0.055,0.031,0.045,0.044,0.03,0.061,0.034,0.05,0.048,0.036,0.047,0.033,0.011,0.217,0,0.006,0.005,0.889,0.272,0,0,0.097,0.011,0.054
"A Hotton por “+Valores”",0.011,0.006,0.017,0.026,0.004,0.011,0.006,0,0.023,0.008,0.005,0.015,0.013,0.004,0,0.002,0.004,0,0,0,0.009,0.216,0.033,0,0.033
"Votaría en blanco o anularía",0.059,0.018,0.102,0.146,0.036,0.022,0.04,0.041,0.083,0.045,0.044,0.067,0.039,0.02,0.019,0.015,0,0.032,0,0,0,0.052,0.023,0.689,0.116
