"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Estrato 1","Estrato 2","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"Diego Santilli y Facundo Manes por “Juntos”",0.385,0.447,0.326,0.349,0.36,0.433,0.447,0.434,0.332,0.4,0.429,0.36,0.511,0.136,0.167,0.642,0.142,0.2,0.517,0.318,0.135,0.066,0.143,0.166,0.363
"Victoria Tolosa Paz por el Frente de todos",0.417,0.438,0.396,0.512,0.408,0.38,0.343,0.344,0.461,0.468,0.405,0.423,0.268,0.8,0.604,0.177,0.782,0.695,0.425,0.473,0.764,0.842,0.418,0.251,0.385
"Nicolás del Caño por el Frente de Izquierda",0.018,0.013,0.022,0.008,0.025,0.003,0.035,0.024,0.011,0.018,0.012,0.021,0.02,0.013,0.021,0.013,0.012,0,0,0,0,0,0.042,0,0.043
"José Luis Espert por “Avanza Libertad”",0.03,0.037,0.024,0.052,0.024,0.015,0.04,0.01,0.05,0.031,0.05,0.019,0.036,0,0.032,0.045,0.002,0.015,0,0.12,0.002,0,0,0.096,0.032
"Florencio Randazzo por “Vamos con vos”",0.025,0.029,0.022,0.031,0.012,0.023,0.063,0.036,0.024,0.006,0.011,0.034,0.025,0.009,0.014,0.043,0.011,0.015,0.038,0,0,0,0.038,0,0.014
"Cynthia Hotton por “+Valores”",0.011,0,0.021,0.008,0.018,0.008,0,0.015,0.008,0.009,0.008,0.012,0.017,0,0,0.003,0,0,0.003,0,0,0,0.027,0,0.044
"Ninguna en particular",0.059,0.016,0.101,0.04,0.083,0.043,0.044,0.048,0.073,0.055,0.065,0.056,0.053,0.032,0.162,0.037,0.029,0.037,0.017,0.021,0.051,0.092,0.24,0.044,0.089
"No sabe",0.055,0.02,0.088,0,0.07,0.095,0.028,0.089,0.041,0.013,0.02,0.075,0.07,0.01,0,0.04,0.022,0.038,0,0.068,0.048,0,0.092,0.443,0.03
