"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Estrato 1","Estrato 2","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"A Karina Isabel Menendez por el Frente de todos",0.445,0.451,0.438,0.334,0.468,0.484,0.494,0.53,0.402,0.364,0.368,0.49,0.666,0.063,0.047,0.818,0.1,0.072,0,0.022,0.248,0.066,0.37,0.391,0.404
"A David Mauricio Zencich por Juntos",0.341,0.351,0.332,0.324,0.344,0.349,0.35,0.319,0.339,0.395,0.388,0.314,0.161,0.849,0.457,0.092,0.875,0.783,0.067,0.022,0.31,0.375,0.212,0,0.282
"A Flavia Luz Tesone por el Frente de Izquierda",0.051,0.047,0.054,0.086,0.048,0.044,0.011,0.049,0.036,0.089,0.093,0.026,0.055,0.008,0.107,0.063,0.008,0.009,0.003,0.69,0,0.083,0.052,0,0.056
"A Martín Maximiliano Diaz por Avanza libertad",0.045,0.053,0.036,0.031,0.051,0.058,0.024,0.02,0.068,0.041,0.059,0.036,0.029,0.041,0.13,0.004,0.004,0.093,0.042,0,0.416,0.191,0.123,0,0.06
"A Domingo Palma por “Vamos con vos""",0.044,0.051,0.037,0.043,0.05,0.024,0.058,0.03,0.055,0.045,0.037,0.048,0.034,0.013,0.228,0.006,0.006,0.022,0.888,0.266,0,0,0.078,0.013,0.048
"A Juan Domingo Ochoa por Union Celeste y Blanco",0.011,0.005,0.017,0.026,0.005,0.009,0.007,0,0.022,0.009,0.004,0.015,0.013,0,0,0.002,0,0,0,0,0.01,0.233,0.032,0,0.033
"A Gustavo Javier Marchesani por Vocación Social",0.001,0.002,0.001,0,0.004,0,0,0.003,0.001,0,0.004,0,0,0,0,0,0,0,0,0,0.016,0,0.014,0,0
"A Claudio Alejandro Ferrari por Republicano Federal",0.009,0.016,0.002,0.026,0.002,0.001,0.014,0.018,0.004,0.002,0.004,0.012,0.012,0,0,0.004,0,0,0,0,0,0,0.083,0,0.009
"Votaría en blanco o anularía",0.053,0.024,0.083,0.13,0.028,0.031,0.042,0.031,0.073,0.055,0.043,0.059,0.03,0.026,0.031,0.011,0.007,0.021,0,0,0,0.052,0.036,0.596,0.108
