"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco"
"P26","Totalmente seguro",0.704,0.723,0.65,0.603,0.492,0.493
"P26","Bastante seguro",0.111,0.122,0.189,0.167,0.146,0.134
"P26","Algo seguro",0.105,0.104,0.096,0.171,0.162,0.124
"P26","Para nada seguro",0.08,0.051,0.065,0.059,0.2,0.249
"P27","Tiene Decidido que va a ir a votar",0.905,0.93,0.899,0.886,0.745,0.774
"P27","Tiene dudas sobre si va a ir a  votar",0.08,0.051,0.09,0.059,0.124,0.054
"P27","Tiene Decidido que no va a ir a votar",0.015,0.019,0.011,0.055,0.131,0.172
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.838,0.071,0.106,0.456,0.184,0.213
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.087,0.848,0.362,0.092,0.49,0.132
"P28","En blanco",0.027,0.033,0.333,0.057,0.217,0.341
"P28","No sabe",0.048,0.048,0.199,0.395,0.109,0.314
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.309,0.822,0.121,0.454,0.47,0.325
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.088,0.123,0.815,0.082,0.216,0.204
"P29","En blanco",0.391,0.019,0.033,0.404,0.262,0.195
"P29","No sabe",0.212,0.036,0.031,0.06,0.052,0.276
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.786,0.178,0.103,0.444,0.098,0.115
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.054,0.275,0.815,0.153,0.414,0.219
"P30","En blanco",0.074,0.345,0.057,0.369,0.401,0.355
"P30","No sabe",0.086,0.202,0.025,0.034,0.087,0.311
"P38","Inflación",0.398,0.316,0.398,0.349,0.198,0.105
"P38","Desempleo",0.108,0.047,0.057,0.049,0.07,0.279
"P38","Corrupción",0.097,0.426,0.335,0.28,0.448,0.407
"P38","Inseguridad",0.113,0.126,0.114,0.045,0.011,0
"P38","Precio del dólar",0.064,0.002,0.017,0.007,0,0
"P38","Pobreza",0.099,0.017,0.031,0.18,0.19,0.052
"P38","Narcotráfico",0.004,0.008,0,0,0,0
"P38","Tarifas",0.004,0.006,0.003,0,0,0
"P38","Otro",0.09,0.029,0.035,0.09,0.083,0.157
"P38","No sabe",0.023,0.023,0.01,0,0,0
