"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.176,0.091,0.647,0.548
"P10","Juntos por el Cambio",0.683,0.209,0.052,0.118
"P10","De los liberales libertarios",0.06,0.615,0.109,0.08
"P10","De la Izquierda",0.033,0.011,0.101,0.048
"P10","Hacemos por nuestro país",0.03,0.043,0.017,0.021
"P10","Otro",0.005,0.015,0.014,0.059
"P10","En blanco",0.002,0.011,0.027,0.013
"P10","No sabe",0.011,0.005,0.033,0.113
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.157,0.08,0.649,0.572
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.685,0.179,0.039,0.119
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.054,0.67,0.046,0.063
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.042,0.014,0.125,0.032
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.041,0.034,0.077,0.027
"P13","En blanco",0.013,0.014,0.021,0.055
"P13","No sabe",0.008,0.009,0.043,0.132
"P16","Union por la Patria",0.194,0.101,0.613,0.598
"P16","Cambiemos",0.692,0.392,0.108,0.141
"P16","Liberales",0.046,0.442,0.087,0.022
"P16","Izquierda",0.04,0.01,0.102,0.029
"P16","No sabe",0.028,0.055,0.09,0.21
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.187,0.093,0.63,0.563
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.675,0.285,0.109,0.188
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.066,0.493,0.066,0.041
"P17","La candidata a Jefe de Gobierno de la izquierda",0.037,0.002,0.09,0.023
"P17","En blanco",0.023,0.075,0.054,0.096
"P17","No sabe",0.012,0.052,0.051,0.089
"P26","Totalmente seguro",0.715,0.683,0.708,0.579
"P26","Bastante seguro",0.143,0.173,0.11,0.065
"P26","Algo seguro",0.107,0.107,0.11,0.154
"P26","Para nada seguro",0.035,0.037,0.072,0.202
"P27","Tiene Decidido que va a ir a votar",0.943,0.899,0.882,0.845
"P27","Tiene dudas sobre si va a ir a  votar",0.037,0.086,0.081,0.103
"P27","Tiene Decidido que no va a ir a votar",0.02,0.015,0.037,0.052
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.242,0.077,0.74,0.616
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.693,0.482,0.028,0.063
"P28","En blanco",0.017,0.298,0.161,0.026
"P28","No sabe",0.048,0.143,0.071,0.295
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.341,0.054,0.668,0.512
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.22,0.781,0.039,0.089
"P30","En blanco",0.291,0.111,0.281,0.013
"P30","No sabe",0.148,0.054,0.012,0.386
"P38","Inflación",0.313,0.37,0.41,0.365
"P38","Desempleo",0.066,0.064,0.052,0.138
"P38","Corrupción",0.382,0.343,0.159,0.144
"P38","Inseguridad",0.118,0.117,0.06,0.124
"P38","Precio del dólar",0.012,0.023,0.038,0.045
"P38","Pobreza",0.041,0.02,0.143,0.088
"P38","Narcotráfico",0.004,0.002,0.006,0.014
"P38","Tarifas",0.004,0.002,0.01,0
"P38","Otro",0.047,0.05,0.1,0.021
"P38","No sabe",0.013,0.009,0.022,0.061
"P10_imputada","Unión por la Patria",0.177,0.091,0.662,0.579
"P10_imputada","Juntos por el Cambio",0.692,0.211,0.066,0.176
"P10_imputada","De los liberales libertarios",0.061,0.618,0.109,0.103
"P10_imputada","De la Izquierda",0.033,0.011,0.101,0.048
"P10_imputada","Hacemos por nuestro país",0.03,0.043,0.017,0.021
"P10_imputada","Otro",0.005,0.015,0.015,0.059
"P10_imputada","En blanco",0.002,0.011,0.03,0.014
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.159,0.082,0.669,0.624
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.69,0.186,0.054,0.175
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.055,0.67,0.05,0.08
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.042,0.014,0.125,0.032
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.041,0.034,0.077,0.027
"P13_imputada","En blanco",0.013,0.014,0.025,0.062
"P16_imputada","Union por la Patria",0.196,0.104,0.658,0.673
"P16_imputada","Cambiemos",0.714,0.411,0.148,0.255
"P16_imputada","Liberales",0.049,0.466,0.091,0.03
"P16_imputada","Izquierda",0.041,0.019,0.103,0.042
"P17_imputada","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.187,0.105,0.67,0.571
"P17_imputada","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.686,0.306,0.115,0.208
"P17_imputada","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.066,0.512,0.07,0.049
"P17_imputada","Los candidatos a Jefe de Gobierno de la izquierda",0.037,0.002,0.09,0.046
"P17_imputada","En blanco",0.024,0.075,0.055,0.126
