"var","categoria","Union por la Patria","Cambiemos","Liberales","Izquierda","No sabe"
"P10","Unión por la Patria",0.706,0.068,0.065,0.248,0.131
"P10","Juntos por el Cambio",0.125,0.725,0.114,0.16,0.169
"P10","De los liberales libertarios",0.101,0.138,0.745,0.081,0.156
"P10","De la Izquierda",0.041,0.016,0.038,0.476,0.029
"P10","Hacemos por nuestro país",0.011,0.027,0.012,0.019,0.095
"P10","Otro",0.001,0.009,0.003,0.016,0.128
"P10","En blanco",0.004,0.005,0.018,0,0.109
"P10","No sabe",0.011,0.012,0.005,0,0.183
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.68,0.091,0.1,0.129,0.129
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.118,0.705,0.104,0.07,0.098
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.127,0.137,0.764,0.043,0.166
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.039,0.007,0.005,0.697,0.052
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.013,0.036,0.015,0.018,0.199
"P13","En blanco",0.005,0.012,0.009,0,0.114
"P13","No sabe",0.018,0.012,0.003,0.043,0.242
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.718,0.066,0.118,0.161,0.145
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.137,0.814,0.121,0.04,0.082
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.102,0.076,0.668,0.108,0.076
"P17","La candidata a Jefe de Gobierno de la izquierda",0.012,0.003,0.011,0.575,0.022
"P17","En blanco",0.013,0.025,0.054,0.019,0.377
"P17","No sabe",0.018,0.016,0.028,0.097,0.298
"P26","Totalmente seguro",0.716,0.707,0.752,0.668,0.278
"P26","Bastante seguro",0.099,0.152,0.152,0.145,0.186
"P26","Algo seguro",0.111,0.102,0.062,0.122,0.153
"P26","Para nada seguro",0.074,0.039,0.034,0.065,0.383
"P27","Tiene Decidido que va a ir a votar",0.934,0.924,0.921,0.968,0.669
"P27","Tiene dudas sobre si va a ir a  votar",0.05,0.055,0.07,0.009,0.242
"P27","Tiene Decidido que no va a ir a votar",0.016,0.021,0.009,0.023,0.089
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.82,0.084,0.117,0.464,0.238
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.084,0.82,0.286,0.166,0.232
"P28","En blanco",0.051,0.04,0.405,0.068,0.153
"P28","No sabe",0.045,0.056,0.192,0.302,0.377
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.363,0.724,0.147,0.498,0.235
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.1,0.217,0.756,0.062,0.24
"P29","En blanco",0.342,0.033,0.084,0.377,0.221
"P29","No sabe",0.195,0.026,0.013,0.063,0.304
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.825,0.154,0.092,0.398,0.213
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.074,0.345,0.787,0.134,0.293
"P30","En blanco",0.048,0.329,0.078,0.395,0.233
"P30","No sabe",0.053,0.172,0.043,0.073,0.261
"P38","Inflación",0.38,0.323,0.419,0.314,0.294
"P38","Desempleo",0.09,0.05,0.06,0.096,0.151
"P38","Corrupción",0.132,0.406,0.36,0.371,0.267
"P38","Inseguridad",0.128,0.116,0.079,0.039,0.036
"P38","Precio del dólar",0.046,0.014,0.024,0,0
"P38","Pobreza",0.099,0.03,0.007,0.154,0.051
"P38","Narcotráfico",0.001,0.007,0,0,0.016
"P38","Tarifas",0.004,0.006,0,0,0.01
"P38","Otro",0.09,0.032,0.044,0.026,0.159
"P38","No sabe",0.03,0.016,0.007,0,0.016
