"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P10","Unión por la Patria",0.704,0.044,0.106,0.052
"P10","Juntos por el Cambio",0.104,0.743,0.075,0.135
"P10","De los liberales libertarios",0.064,0.159,0.705,0.421
"P10","De la Izquierda",0.063,0.008,0.056,0.127
"P10","Hacemos por nuestro país",0.03,0.022,0.019,0.069
"P10","Otro",0.006,0.004,0.007,0.079
"P10","En blanco",0.003,0.009,0.021,0.037
"P10","No sabe",0.026,0.011,0.011,0.08
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.701,0.046,0.057,0.087
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.085,0.72,0.118,0.148
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.081,0.169,0.662,0.382
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.067,0.008,0.022,0.165
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.025,0.042,0.078,0.043
"P13","En blanco",0.013,0.005,0.05,0.05
"P13","No sabe",0.028,0.01,0.013,0.125
"P16","Union por la Patria",0.703,0.046,0.122,0.115
"P16","Cambiemos",0.13,0.816,0.178,0.256
"P16","Liberales",0.06,0.095,0.588,0.292
"P16","Izquierda",0.059,0.013,0.025,0.113
"P16","No sabe",0.048,0.03,0.087,0.224
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.651,0.069,0.15,0.139
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.135,0.755,0.125,0.245
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.092,0.115,0.576,0.301
"P17","La candidata a Jefe de Gobierno de la izquierda",0.064,0.009,0.006,0.083
"P17","En blanco",0.037,0.029,0.11,0.091
"P17","No sabe",0.021,0.023,0.033,0.141
"P26","Totalmente seguro",0.724,0.727,0.65,0.491
"P26","Bastante seguro",0.099,0.158,0.146,0.147
"P26","Algo seguro",0.126,0.08,0.159,0.161
"P26","Para nada seguro",0.051,0.035,0.045,0.201
"P27","Tiene Decidido que va a ir a votar",0.926,0.931,0.833,0.814
"P27","Tiene dudas sobre si va a ir a  votar",0.053,0.052,0.133,0.138
"P27","Tiene Decidido que no va a ir a votar",0.021,0.017,0.034,0.048
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.394,0.707,0.072,0.24
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.069,0.273,0.704,0.397
"P29","En blanco",0.362,0.009,0.205,0.107
"P29","No sabe",0.175,0.011,0.019,0.256
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.826,0.117,0.036,0.133
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.042,0.4,0.703,0.49
"P30","En blanco",0.076,0.316,0.203,0.19
"P30","No sabe",0.056,0.167,0.058,0.187
"P38","Inflación",0.4,0.336,0.273,0.314
"P38","Desempleo",0.093,0.048,0.09,0.087
"P38","Corrupción",0.138,0.406,0.393,0.335
"P38","Inseguridad",0.097,0.124,0.072,0.116
"P38","Precio del dólar",0.056,0.002,0,0.033
"P38","Pobreza",0.111,0.021,0.083,0.037
"P38","Narcotráfico",0.004,0.007,0,0
"P38","Tarifas",0.003,0.005,0,0.005
"P38","Otro",0.073,0.036,0.08,0.053
"P38","No sabe",0.025,0.015,0.009,0.02
"P10_imputada","Unión por la Patria",0.716,0.046,0.11,0.072
"P10_imputada","Juntos por el Cambio",0.116,0.751,0.082,0.173
"P10_imputada","De los liberales libertarios",0.067,0.161,0.705,0.438
"P10_imputada","De la Izquierda",0.063,0.008,0.056,0.127
"P10_imputada","Hacemos por nuestro país",0.03,0.022,0.019,0.069
"P10_imputada","Otro",0.006,0.004,0.007,0.079
"P10_imputada","En blanco",0.002,0.008,0.021,0.042
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.717,0.046,0.061,0.117
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.097,0.727,0.118,0.19
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.081,0.172,0.666,0.43
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.067,0.008,0.022,0.165
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.025,0.042,0.078,0.043
"P13_imputada","En blanco",0.013,0.005,0.055,0.055
"P16_imputada","Union por la Patria",0.727,0.051,0.162,0.138
"P16_imputada","Cambiemos",0.151,0.836,0.195,0.402
"P16_imputada","Liberales",0.063,0.099,0.618,0.313
"P16_imputada","Izquierda",0.059,0.014,0.025,0.147
"P17_imputada","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.667,0.069,0.155,0.173
"P17_imputada","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.139,0.773,0.129,0.282
"P17_imputada","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.092,0.117,0.6,0.322
"P17_imputada","Los candidatos a Jefe de Gobierno de la izquierda",0.065,0.009,0.006,0.102
"P17_imputada","En blanco",0.037,0.032,0.11,0.121
