"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.3,0.274,0.322,0.319,0.371,0.243,0.216,0.324,0.271,0.311,0.743,0.121,0.4,0.816,0.783,0.048,0.204,0.058
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.481,0.481,0.481,0.311,0.408,0.614,0.648,0.358,0.509,0.505,0.101,0.711,0.22,0.102,0.125,0.904,0.629,0.293
"En blanco",0.114,0.139,0.093,0.224,0.127,0.051,0.041,0.151,0.138,0.084,0.08,0.084,0.184,0.055,0.068,0.027,0.046,0.434
"No sabe",0.105,0.106,0.104,0.146,0.094,0.092,0.095,0.167,0.082,0.1,0.076,0.084,0.196,0.027,0.024,0.021,0.121,0.215
