"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Unión por la Patria",0.241,0.235,0.246,0.243,0.303,0.197,0.178,0.255,0.203,0.263,0.576,0.112,0.244,0.649,0.604,0.054,0.177,0.081
"Juntos por el Cambio",0.418,0.367,0.461,0.225,0.338,0.567,0.619,0.308,0.422,0.455,0.153,0.608,0.215,0.198,0.108,0.829,0.579,0.061
"De los liberales libertarios",0.223,0.293,0.165,0.381,0.226,0.142,0.125,0.29,0.238,0.189,0.161,0.222,0.353,0.108,0.163,0.097,0.114,0.743
"De la Izquierda",0.047,0.04,0.053,0.064,0.058,0.041,0.018,0.05,0.06,0.037,0.048,0.011,0.094,0.023,0.075,0.008,0.044,0.03
"Hacemos por nuestro país",0.028,0.03,0.026,0.037,0.032,0.018,0.021,0.039,0.027,0.024,0.025,0.025,0.024,0.014,0.035,0,0.054,0.028
"Otro",0.018,0.014,0.021,0.022,0.015,0.015,0.02,0.029,0.019,0.013,0.019,0.007,0.015,0.003,0.015,0.005,0.015,0.028
"En blanco",0.025,0.021,0.028,0.028,0.028,0.02,0.019,0.029,0.031,0.019,0.018,0.015,0.055,0.005,0,0.007,0.017,0.029
