"var","categoria","Union por la Patria","Cambiemos","Liberales","Izquierda"
"P26","Totalmente seguro",0.691,0.669,0.723,0.661
"P26","Bastante seguro",0.097,0.158,0.156,0.145
"P26","Algo seguro",0.114,0.108,0.065,0.113
"P26","Para nada seguro",0.098,0.065,0.056,0.081
"P27","Tiene Decidido que va a ir a votar",0.914,0.9,0.915,0.971
"P27","Tiene dudas sobre si va a ir a  votar",0.067,0.07,0.076,0.008
"P27","Tiene Decidido que no va a ir a votar",0.019,0.03,0.009,0.021
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.799,0.091,0.116,0.42
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.087,0.785,0.286,0.161
"P28","En blanco",0.063,0.042,0.403,0.062
"P28","No sabe",0.051,0.082,0.195,0.357
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.347,0.7,0.151,0.462
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.097,0.213,0.751,0.115
"P29","En blanco",0.348,0.043,0.082,0.342
"P29","No sabe",0.208,0.044,0.016,0.081
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.804,0.152,0.098,0.385
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.072,0.335,0.788,0.191
"P30","En blanco",0.058,0.329,0.073,0.358
"P30","No sabe",0.066,0.184,0.041,0.066
"P38","Inflación",0.369,0.327,0.411,0.289
"P38","Desempleo",0.097,0.058,0.056,0.085
"P38","Corrupción",0.131,0.397,0.377,0.357
"P38","Inseguridad",0.129,0.11,0.074,0.034
"P38","Precio del dólar",0.043,0.013,0.022,0
"P38","Pobreza",0.097,0.03,0.013,0.136
"P38","Narcotráfico",0.004,0.007,0,0
"P38","Tarifas",0.004,0.007,0,0
"P38","Otro",0.095,0.036,0.041,0.099
"P38","No sabe",0.031,0.015,0.006,0
