"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco","No sabe"
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.732,0.101,0.081,0.117,0.007,0.099,0.017,0.143
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.107,0.791,0.117,0.065,0.045,0.091,0.019,0.183
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.105,0.064,0.723,0.118,0.209,0.287,0.267,0.042
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.024,0.019,0.013,0.593,0,0.119,0,0
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.015,0.018,0.037,0.058,0.599,0.045,0.045,0.105
"P13","En blanco",0.007,0.003,0.009,0.035,0.115,0.238,0.148,0.079
"P13","No sabe",0.01,0.004,0.02,0.014,0.025,0.121,0.504,0.448
"P16","Union por la Patria",0.749,0.081,0.12,0.231,0.113,0.014,0.075,0.118
"P16","Cambiemos",0.126,0.826,0.286,0.162,0.491,0.266,0.148,0.246
"P16","Liberales",0.041,0.044,0.524,0.127,0.076,0.03,0.191,0.03
"P16","Izquierda",0.043,0.017,0.015,0.431,0.03,0.045,0,0
"P16","No sabe",0.041,0.032,0.055,0.049,0.29,0.645,0.586,0.606
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.66,0.095,0.118,0.358,0.247,0.049,0.063,0.12
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.125,0.799,0.255,0.094,0.338,0.454,0.184,0.27
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.094,0.056,0.545,0.119,0.125,0,0.052,0.021
"P17","La candidata a Jefe de Gobierno de la izquierda",0.045,0.009,0.004,0.325,0,0,0.063,0.022
"P17","En blanco",0.043,0.023,0.06,0.012,0.057,0.407,0.463,0.163
"P17","No sabe",0.033,0.018,0.018,0.092,0.233,0.09,0.175,0.404
"P26","Totalmente seguro",0.695,0.76,0.657,0.705,0.344,0.441,0.402,0.076
"P26","Bastante seguro",0.134,0.129,0.157,0.11,0.295,0.06,0.052,0.124
"P26","Algo seguro",0.113,0.074,0.135,0.096,0.239,0.19,0.05,0.243
"P26","Para nada seguro",0.058,0.037,0.051,0.089,0.122,0.309,0.496,0.557
"P27","Tiene Decidido que va a ir a votar",0.92,0.934,0.895,0.855,0.925,0.705,0.723,0.577
"P27","Tiene dudas sobre si va a ir a  votar",0.052,0.055,0.088,0.099,0.075,0.125,0.177,0.247
"P27","Tiene Decidido que no va a ir a votar",0.028,0.011,0.017,0.046,0,0.17,0.1,0.176
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.844,0.076,0.087,0.444,0.315,0.142,0.065,0.341
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.086,0.869,0.348,0.095,0.359,0.15,0.371,0.232
"P28","En blanco",0.048,0.021,0.365,0.149,0.075,0.063,0.213,0.057
"P28","No sabe",0.022,0.034,0.2,0.312,0.251,0.645,0.351,0.37
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.341,0.818,0.134,0.422,0.481,0.166,0.135,0.264
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.098,0.139,0.762,0.078,0.38,0.305,0.319,0.058
"P29","En blanco",0.376,0.019,0.073,0.392,0.08,0.157,0.423,0.227
"P29","No sabe",0.185,0.024,0.031,0.108,0.059,0.372,0.123,0.451
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.803,0.166,0.104,0.436,0.163,0.163,0.081,0.256
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.064,0.294,0.761,0.057,0.503,0.353,0.373,0.118
"P30","En blanco",0.066,0.35,0.101,0.426,0.245,0.145,0.443,0.217
"P30","No sabe",0.067,0.19,0.034,0.081,0.089,0.339,0.103,0.409
"P38","Inflación",0.406,0.327,0.368,0.162,0.388,0.142,0.143,0.263
"P38","Desempleo",0.087,0.048,0.088,0.064,0,0.351,0.058,0.058
"P38","Corrupción",0.137,0.423,0.307,0.315,0.407,0.146,0.555,0.377
"P38","Inseguridad",0.12,0.117,0.107,0.074,0.028,0.129,0.049,0.04
"P38","Precio del dólar",0.041,0.005,0.033,0.05,0,0,0,0
"P38","Pobreza",0.096,0.019,0.05,0.238,0.12,0,0,0.061
"P38","Narcotráfico",0.001,0.008,0,0,0,0,0,0.037
"P38","Tarifas",0.004,0.005,0.003,0,0,0,0.064,0
"P38","Otro",0.082,0.033,0.034,0.089,0.057,0.232,0,0.129
"P38","No sabe",0.026,0.015,0.01,0.008,0,0,0.131,0.035
