"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Moreira","Grosso","López Medrano","D Alessandro","Sardella","Zona 1","Zona 2","Zona 3"
"Sergio Massa a presidente por Unión por la Patria.",0.389,0.382,0.394,0.316,0.35,0.475,0.419,0.396,0.382,0.392,0.6,0.569,0.273,0.169,0.044,0.399,0.396,0.368
"Patricia Bullrich a presidenta por Juntos por el Cambio",0.262,0.237,0.285,0.232,0.203,0.303,0.35,0.246,0.283,0.247,0.127,0.131,0.501,0.544,0.281,0.278,0.315,0.184
"Javier Milei a presidente por la Libertad Avanza",0.281,0.299,0.265,0.322,0.376,0.19,0.182,0.273,0.286,0.281,0.223,0.231,0.211,0.273,0.655,0.247,0.237,0.371
"Los candidatos a presidente de la Izquierda",0.031,0.03,0.032,0.097,0.017,0.02,0.01,0.021,0.031,0.043,0.026,0.035,0.004,0.002,0.011,0.016,0.024,0.056
"Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.028,0.038,0.019,0.022,0.049,0.007,0.018,0.054,0.014,0.02,0.021,0.012,0.002,0.012,0.009,0.048,0.022,0.011
"En blanco",0.009,0.014,0.005,0.011,0.005,0.005,0.021,0.01,0.004,0.017,0.003,0.022,0.009,0,0,0.012,0.006,0.01
