"var","categoria","Axel Kicillof a gobernador por Unión por la Patria.","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","El candidato a gobernador de la Izquierda","En blanco","No sabe"
"P05","Mucho",0.502,0.348,0.559,0.343,0.227,0.282
"P05","Bastante",0.28,0.312,0.238,0.395,0.035,0.416
"P05","Poco",0.151,0.317,0.179,0.232,0.313,0.214
"P05","Nada",0.067,0.015,0.012,0.03,0.425,0.082
"P05","No sabe",0,0.008,0.012,0,0,0.006
"P06","Siempre",0.053,0.213,0.198,0.065,0.127,0.107
"P06","Casi siempre",0.417,0.287,0.244,0.16,0.65,0.294
"P06","Casi nunca",0.443,0.381,0.347,0.313,0.053,0.573
"P06","Nunca, pero esta es una excepción",0.087,0.119,0.211,0.462,0.17,0.026
"P10","Unión por la Patria",0.657,0.042,0.198,0.079,0.568,0.066
"P10","Juntos por el Cambio",0.066,0.737,0.325,0.033,0.081,0.233
"P10","De los Liberales libertarios",0.132,0.163,0.388,0.133,0.044,0.028
"P10","De la Izquierda",0.059,0.017,0.013,0.703,0,0
"P10","Hacemos por nuestro país",0.002,0.006,0.004,0,0,0.043
"P10","En blanco",0.057,0.009,0,0,0,0.024
"P10","No sabe",0.027,0.026,0.072,0.052,0.307,0.606
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.484,0.266,0.123,0.047,0.398,0.169
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.131,0.549,0.422,0.013,0.044,0.221
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.234,0.171,0.403,0.228,0.445,0.045
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.038,0.003,0,0.688,0,0
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.003,0.003,0.004,0,0.057,0.042
"P13","En blanco",0.013,0.004,0,0,0.056,0.013
"P13","No sabe",0.097,0.004,0.048,0.024,0,0.51
"P17","Sergio Massa a presidente por Unión por la Patria.",0.63,0.064,0.284,0.108,0.65,0.16
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.071,0.675,0.221,0.033,0.057,0.296
"P17","Javier Milei a presidente por la Libertad Avanza",0.128,0.249,0.495,0.339,0.293,0.014
"P17","Los candidatos a presidente de la Izquierda",0.081,0.003,0,0.459,0,0
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.066,0.009,0,0.046,0,0.165
"P17","En blanco",0.019,0,0,0.015,0,0.013
"P17","No sabe",0.005,0,0,0,0,0.352
"P23","Fernando Moreira a intendente por Unión por la Patria.",0.536,0.154,0.137,0.626,0.677,0.177
"P23","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.158,0.678,0.491,0.022,0.265,0.313
"P23","Hernán Sardella a intendente por la Libertad Avanza",0.047,0.117,0.23,0,0,0.017
"P23","El candidato del Frente de Izquierda",0.135,0.032,0,0.352,0,0
"P23","En blanco",0.036,0.015,0,0,0.058,0
"P23","No sabe",0.088,0.004,0.142,0,0,0.493
"P26","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.22,0.565,0.521,0.066,0.358,0.289
"P26","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.125,0.146,0.182,0.154,0.093,0.179
"P26","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.325,0.24,0.156,0.363,0.519,0.227
"P26","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.179,0.012,0.076,0.373,0,0
"P26","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.069,0.003,0.005,0.02,0,0
"P26","No sabe",0.082,0.034,0.06,0.024,0.03,0.305
"P27","Totalmente seguro.",0.678,0.702,0.768,0.336,0.382,0.207
"P27","Bastante seguro",0.201,0.215,0.133,0.312,0,0.257
"P27","Algo seguro",0.079,0.077,0.09,0.352,0.321,0.374
"P27","Para nada seguro",0.042,0.006,0.009,0,0.297,0.162
"P28","Tiene Decidido que va a ir a votar.",0.948,0.946,0.942,0.694,0.498,0.85
"P28","Tiene dudas sobre si va a ir a  votar",0.047,0.012,0.017,0.306,0.502,0.116
"P28","Tiene Decidido que no va a ir a votar",0.005,0.042,0.041,0,0,0.034
"P29","No estaba enterado del tema",0.288,0.141,0.3,0.248,0,0.07
"P29","Un tema de la vida privada de él",0.22,0.01,0.118,0.389,0.066,0.03
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.339,0.224,0.241,0.271,0.361,0.126
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.083,0.331,0.118,0.027,0.46,0.31
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.07,0.294,0.207,0.045,0.084,0.403
"P29","No sabe",0,0,0.016,0.02,0.029,0.061
"P30","Si",0.694,0.871,0.89,0.893,0.292,0.695
"P30","No",0.306,0.129,0.11,0.107,0.708,0.305
"P31","Sergio Massa",0.753,0.057,0.432,0.279,0.373,0.159
"P31","Patria Bullrich",0.097,0.599,0.208,0.042,0.03,0.335
"P31","Javier Milei",0.057,0.139,0.27,0.195,0.379,0.139
"P31","Myriam Bregman",0.068,0.023,0.063,0.484,0,0.244
"P31","Juan Schiaretti",0.025,0.182,0.027,0,0.218,0.123
"P32","Ha aumentado significativamente",0.306,0.017,0.009,0,0.189,0.044
"P32","Ha aumentado ligeramente",0.093,0.116,0.202,0.114,0,0.067
"P32","Se mantiene igual",0.35,0.197,0.191,0.202,0.43,0.162
"P32","Ha disminuido ligeramente",0.081,0.445,0.086,0,0.282,0.19
"P32","Ha disminuido significativamente",0.17,0.225,0.512,0.684,0.099,0.537
"P33","No, ninguna dificultad",0.634,0.104,0.097,0.206,0,0.349
"P33","Alguna dificultad ocasional",0.253,0.262,0.349,0.292,0.355,0.231
"P33","Sí, dificultades frecuentes",0.113,0.634,0.554,0.502,0.645,0.42
"P34","Sí, absolutamente",0.715,0.17,0.298,0.727,0.921,0.499
"P34","Sí, en cierta medida",0.196,0.571,0.416,0.273,0.028,0.309
"P34","No, en absoluto",0.089,0.259,0.286,0,0.051,0.192
"P35","Reducir la inflación",0.419,0.416,0.503,0.654,0,0.527
"P35","Implementar reformas fiscales",0.088,0.022,0.14,0.057,0,0.14
"P35","Establecer políticas de control de precios",0.323,0.131,0.089,0.036,0.75,0.14
"P35","Reducir el gasto público",0.141,0.402,0.237,0.235,0.227,0.072
"P35","Estimular la inversión extranjera",0.029,0.029,0.014,0.018,0.023,0.085
"P35","Aumentar los subsidios a los servicios públicos",0,0,0.017,0,0,0.036
"P36","Muy positiva",0.467,0.032,0.288,0.029,0,0.168
"P36","Positiva",0.177,0.266,0.106,0.062,0.104,0.261
"P36","Neutral",0.137,0.412,0.276,0.253,0.446,0.263
"P36","Algo negativa",0.126,0.115,0.104,0.196,0.08,0.047
"P36","Negativa",0.028,0.051,0.016,0.024,0.183,0.015
"P36","No sabe",0.065,0.124,0.21,0.436,0.187,0.246
"P37","Muy positiva",0.541,0.091,0.237,0.682,0.672,0.294
"P37","Positiva",0.325,0.213,0.142,0.03,0,0.301
"P37","Neutral",0.07,0.356,0.34,0,0.083,0.361
"P37","Algo negativa",0.014,0.213,0.022,0,0.045,0
"P37","Negativa",0.03,0.088,0.2,0.015,0,0
"P37","No sabe",0.02,0.039,0.059,0.273,0.2,0.044
"P38","Muy positiva",0.522,0.063,0.139,0.064,0.561,0.199
"P38","Positiva",0.214,0.066,0.038,0.097,0.073,0.245
"P38","Neutral",0.194,0.376,0.33,0,0.202,0.288
"P38","Algo negativa",0.004,0.243,0.046,0,0.107,0.038
"P38","Negativa",0.046,0.14,0.174,0.01,0.057,0.205
"P38","No sabe",0.02,0.112,0.273,0.829,0,0.025
"P39","Muy positiva",0.639,0.25,0.361,0.406,0.094,0.296
"P39","Positiva",0.152,0.152,0.133,0.584,0.077,0.171
"P39","Neutral",0.136,0.268,0.139,0,0.753,0.345
"P39","Algo negativa",0.018,0.243,0.12,0,0.076,0.027
"P39","Negativa",0.038,0.049,0.222,0.01,0,0.134
"P39","No sabe",0.017,0.038,0.025,0,0,0.027
"P40","Muy positiva",0.553,0.13,0.254,0.617,0.034,0.071
"P40","Positiva",0.133,0.268,0.064,0.095,0.077,0.275
"P40","Neutral",0.132,0.268,0.226,0,0.75,0.461
"P40","Algo negativa",0.101,0.263,0.007,0,0,0
"P40","Negativa",0.046,0.049,0.213,0.01,0.079,0.051
"P40","No sabe",0.035,0.022,0.236,0.278,0.06,0.142
"P41","Lo votaría",0.853,0.008,0.122,0.559,0.369,0.075
"P41","Puede que lo vote",0.074,0.011,0.019,0.112,0.536,0.386
"P41","Nunca lo votaría",0.065,0.912,0.711,0.329,0.061,0.248
"P41","No sabe",0.008,0.069,0.148,0,0.034,0.291
"P42","Lo votaría",0.297,0.583,0.122,0.018,0,0.135
"P42","Puede que lo vote",0.071,0.269,0.17,0.545,0.061,0.233
"P42","Nunca lo votaría",0.627,0.131,0.56,0.437,0.826,0.547
"P42","No sabe",0.005,0.017,0.148,0,0.113,0.085
"P43","Lo votaría",0.103,0.263,0.601,0.291,0,0
"P43","Puede que lo vote",0.108,0.246,0.229,0,0.603,0.044
"P43","Nunca lo votaría",0.781,0.469,0.15,0.709,0.397,0.851
"P43","No sabe",0.008,0.022,0.02,0,0,0.105
"P44","Si",0.513,0.309,0.452,0.388,0.219,0.379
"P44","No",0.487,0.691,0.548,0.612,0.781,0.621
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.63,0.064,0.284,0.108,0.65,0.16
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.071,0.675,0.221,0.033,0.057,0.296
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.128,0.249,0.495,0.339,0.293,0.014
