"var","categoria","Muy positiva","Positiva","Neutral","Algo negativa","Negativa","No sabe"
"P05","Mucho",0.682,0.511,0.454,0.54,0.453,0.38
"P05","Bastante",0.264,0.362,0.315,0.25,0.254,0.335
"P05","Poco",0.05,0.121,0.16,0.164,0.174,0.191
"P05","Nada",0.004,0.002,0.066,0.007,0.119,0.051
"P05","No sabe",0,0.004,0.005,0.039,0,0.043
"P06","Siempre",0.219,0.199,0.204,0.072,0.17,0.105
"P06","Casi siempre",0.37,0.314,0.373,0.3,0.261,0.465
"P06","Casi nunca",0.305,0.325,0.286,0.4,0.398,0.159
"P06","Nunca, pero esta es una excepción",0.106,0.162,0.137,0.228,0.171,0.271
"P10","Unión por la Patria",0.649,0.612,0.223,0.159,0.06,0.356
"P10","Juntos por el Cambio",0.161,0.199,0.399,0.366,0.42,0.31
"P10","De los Liberales libertarios",0.116,0.076,0.245,0.239,0.218,0.154
"P10","De la Izquierda",0.021,0.037,0.031,0.075,0.079,0.047
"P10","Hacemos por nuestro país",0,0.041,0.059,0.069,0.101,0
"P10","En blanco",0.005,0.007,0.004,0.005,0.02,0.041
"P10","No sabe",0.048,0.028,0.039,0.087,0.102,0.092
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.519,0.53,0.228,0.228,0.208,0.323
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.175,0.151,0.398,0.311,0.335,0.205
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.279,0.275,0.318,0.306,0.161,0.3
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.016,0.025,0.015,0.057,0.101,0.047
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.005,0.002,0.014,0.085,0.065
"P13","En blanco",0.004,0.007,0.008,0.02,0.019,0
"P13","No sabe",0.007,0.007,0.031,0.064,0.091,0.06
"P16","Si",0.264,0.352,0.411,0.348,0.179,0.342
"P16","No",0.736,0.648,0.589,0.652,0.821,0.658
"P17","Sergio Massa a presidente por Unión por la Patria.",0.564,0.314,0.229,0.155,0.221,0.11
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.107,0.38,0.371,0.409,0.571,0.355
"P17","Javier Milei a presidente por la Libertad Avanza",0.321,0.288,0.345,0.179,0.105,0.324
"P17","Los candidatos a presidente de la Izquierda",0,0.014,0.004,0.011,0,0.184
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.004,0.023,0.236,0.022,0
"P17","En blanco",0,0,0.002,0.01,0.052,0
"P17","No sabe",0.008,0,0.026,0,0.029,0.027
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.634,0.261,0.134,0.306,0.213,0.122
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.059,0.539,0.551,0.383,0.522,0.322
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.262,0.105,0.18,0.169,0.083,0.266
"P20","El candidato a gobernador de la Izquierda",0.009,0.02,0.055,0.106,0.04,0.184
"P20","En blanco",0,0.014,0.039,0.018,0.124,0.032
"P20","No sabe",0.036,0.061,0.041,0.018,0.018,0.074
"P23","Fernando Moreira a intendente por Unión por la Patria.",0.458,0.304,0.261,0.209,0.398,0.386
"P23","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.272,0.483,0.475,0.357,0.505,0.325
"P23","Hernán Sardella a intendente por la Libertad Avanza",0.021,0,0.213,0.328,0.068,0.051
"P23","El candidato del Frente de Izquierda",0.154,0.179,0.006,0.106,0,0
"P23","En blanco",0.028,0.034,0.017,0,0,0.005
"P23","No sabe",0.067,0,0.028,0,0.029,0.233
"P26","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.254,0.253,0.496,0.559,0.57,0.405
"P26","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.226,0.221,0.202,0.297,0.192,0.211
"P26","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.338,0.427,0.185,0.092,0.166,0.215
"P26","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.106,0.076,0.051,0.052,0.052,0.031
"P26","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.044,0.013,0.027,0,0,0
"P26","No sabe",0.032,0.01,0.039,0,0.02,0.138
"P27","Totalmente seguro.",0.855,0.59,0.75,0.707,0.813,0.573
"P27","Bastante seguro",0.102,0.297,0.046,0.179,0.054,0.273
"P27","Algo seguro",0.037,0.074,0.157,0.027,0.115,0.144
"P27","Para nada seguro",0.006,0.039,0.047,0.087,0.018,0.01
"P28","Tiene Decidido que va a ir a votar.",0.977,0.947,0.915,0.875,0.862,0.852
"P28","Tiene dudas sobre si va a ir a  votar",0.021,0.03,0.035,0.125,0.138,0.084
"P28","Tiene Decidido que no va a ir a votar",0.002,0.023,0.05,0,0,0.064
"P29","No estaba enterado del tema",0.258,0.143,0.175,0.312,0.022,0.128
"P29","Un tema de la vida privada de él",0.148,0.087,0.037,0.094,0.068,0.084
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.391,0.547,0.234,0.112,0.227,0.31
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.076,0.095,0.262,0.323,0.205,0.163
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.113,0.105,0.291,0.159,0.478,0.225
"P29","No sabe",0.014,0.023,0.001,0,0,0.09
"P30","Si",0.864,0.814,0.788,0.695,0.72,0.788
"P30","No",0.136,0.186,0.212,0.305,0.28,0.212
"P31","Sergio Massa",0.713,0.503,0.216,0.236,0.183,0.436
"P31","Patria Bullrich",0.083,0.254,0.328,0.393,0.285,0.24
"P31","Javier Milei",0.118,0.114,0.253,0.28,0.339,0.168
"P31","Myriam Bregman",0.067,0.092,0.089,0.04,0.069,0.083
"P31","Juan Schiaretti",0.019,0.037,0.114,0.051,0.124,0.073
"P32","Ha aumentado significativamente",0.189,0.15,0.021,0.095,0.097,0.067
"P32","Ha aumentado ligeramente",0.213,0.141,0.203,0.222,0.166,0.226
"P32","Se mantiene igual",0.303,0.348,0.317,0.156,0.144,0.207
"P32","Ha disminuido ligeramente",0.138,0.162,0.248,0.238,0.122,0.261
"P32","Ha disminuido significativamente",0.157,0.199,0.211,0.289,0.471,0.239
"P33","No, ninguna dificultad",0.498,0.415,0.181,0.278,0.164,0.225
"P33","Alguna dificultad ocasional",0.257,0.324,0.304,0.378,0.341,0.409
"P33","Sí, dificultades frecuentes",0.245,0.261,0.515,0.344,0.495,0.366
"P34","Sí, absolutamente",0.708,0.526,0.308,0.417,0.312,0.444
"P34","Sí, en cierta medida",0.203,0.399,0.393,0.289,0.245,0.401
"P34","No, en absoluto",0.089,0.075,0.299,0.294,0.443,0.155
"P35","Reducir la inflación",0.657,0.403,0.303,0.295,0.227,0.425
"P35","Implementar reformas fiscales",0.05,0.188,0.101,0.055,0.129,0.153
"P35","Establecer políticas de control de precios",0.201,0.174,0.176,0.072,0.063,0.183
"P35","Reducir el gasto público",0.066,0.174,0.372,0.561,0.473,0.179
"P35","Estimular la inversión extranjera",0.024,0.022,0.043,0.017,0.103,0.011
"P35","Aumentar los subsidios a los servicios públicos",0.002,0.039,0.005,0,0.005,0.049
"P37","Muy positiva",0.816,0.417,0.21,0.077,0.08,0.412
"P37","Positiva",0.096,0.396,0.147,0.242,0.223,0.143
"P37","Neutral",0.033,0.09,0.509,0.242,0.121,0.06
"P37","Algo negativa",0.003,0.076,0.1,0.325,0.233,0
"P37","Negativa",0.037,0.01,0.022,0.07,0.343,0.154
"P37","No sabe",0.015,0.011,0.012,0.044,0,0.231
"P38","Muy positiva",0.602,0.22,0.13,0.035,0.029,0.177
"P38","Positiva",0.231,0.374,0.151,0.064,0.142,0.096
"P38","Neutral",0.078,0.229,0.444,0.562,0.097,0.25
"P38","Algo negativa",0.005,0.062,0.128,0.166,0.119,0.028
"P38","Negativa",0.06,0.084,0.116,0.147,0.601,0.061
"P38","No sabe",0.024,0.031,0.031,0.026,0.012,0.388
"P39","Muy positiva",0.758,0.466,0.305,0.137,0.201,0.395
"P39","Positiva",0.143,0.288,0.174,0.266,0.138,0.261
"P39","Neutral",0.046,0.168,0.272,0.348,0.228,0.137
"P39","Algo negativa",0.018,0.051,0.168,0.204,0.054,0.034
"P39","Negativa",0.029,0.017,0.061,0.045,0.367,0.058
"P39","No sabe",0.006,0.01,0.02,0,0.012,0.115
"P40","Muy positiva",0.629,0.479,0.22,0.255,0.065,0.246
"P40","Positiva",0.202,0.267,0.216,0.205,0.192,0.134
"P40","Neutral",0.086,0.175,0.341,0.29,0.281,0.18
"P40","Algo negativa",0.034,0.034,0.152,0.183,0.115,0.051
"P40","Negativa",0.028,0.034,0.027,0.023,0.341,0.051
"P40","No sabe",0.021,0.011,0.044,0.044,0.006,0.338
"P41","Lo votaría",0.743,0.568,0.15,0.153,0.112,0.492
"P41","Puede que lo vote",0.045,0.077,0.113,0.088,0.102,0.018
"P41","Nunca lo votaría",0.206,0.34,0.713,0.715,0.786,0.371
"P41","No sabe",0.006,0.015,0.024,0.044,0,0.119
"P42","Lo votaría",0.2,0.2,0.4,0.419,0.411,0.277
"P42","Puede que lo vote",0.042,0.1,0.202,0.138,0.176,0.152
"P42","Nunca lo votaría",0.721,0.692,0.386,0.427,0.362,0.447
"P42","No sabe",0.037,0.008,0.012,0.016,0.051,0.124
"P43","Lo votaría",0.128,0.18,0.304,0.403,0.264,0.23
"P43","Puede que lo vote",0.061,0.087,0.241,0.095,0.176,0.041
"P43","Nunca lo votaría",0.78,0.732,0.436,0.488,0.529,0.656
"P43","No sabe",0.031,0.001,0.019,0.014,0.031,0.073
"P44","Si",0.552,0.457,0.348,0.369,0.185,0.29
"P44","No",0.448,0.543,0.652,0.631,0.815,0.71
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.555,0.49,0.248,0.175,0.185,0.325
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.113,0.158,0.39,0.347,0.357,0.253
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.309,0.316,0.303,0.328,0.156,0.263
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.015,0.028,0.014,0.005,0.101,0.047
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.002,0.009,0.085,0.091,0.065
"PRESIDENTE","En blanco",0.004,0,0.007,0.02,0.019,0
"PRESIDENTE","No sabe",0.004,0.006,0.029,0.04,0.091,0.047
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.573,0.471,0.22,0.211,0.189,0.322
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.104,0.206,0.439,0.343,0.349,0.242
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.289,0.263,0.262,0.303,0.151,0.243
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.018,0.031,0.026,0.052,0.111,0.046
"GOBERNADOR","En blanco",0.004,0.006,0.014,0.041,0.112,0.082
"GOBERNADOR","No sabe",0.012,0.023,0.039,0.05,0.088,0.065
"INTENDENTE","Fernando Moreira a intendente por Unión por la Patria.",0.536,0.474,0.253,0.198,0.221,0.368
"INTENDENTE","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.151,0.23,0.417,0.335,0.349,0.288
"INTENDENTE","Hernán Sardella a intendente por la Libertad Avanza",0.231,0.216,0.271,0.345,0.148,0.16
"INTENDENTE","El candidato del Frente de Izquierda",0.05,0.06,0.015,0.052,0.101,0
"INTENDENTE","En blanco",0.011,0.014,0.013,0.029,0.09,0.069
"INTENDENTE","No sabe",0.021,0.006,0.031,0.041,0.091,0.115
"CORTA_PRESIDENTE","Si",0.16,0.159,0.175,0.223,0.085,0.094
"CORTA_PRESIDENTE","No",0.84,0.841,0.825,0.777,0.915,0.906
"CORTA_GOBERNADOR","Si",0.155,0.144,0.186,0.105,0.13,0.127
"CORTA_GOBERNADOR","No",0.845,0.856,0.814,0.895,0.87,0.873
"CORTA_INTENDENTE","Si",0.184,0.176,0.241,0.185,0.09,0.259
"CORTA_INTENDENTE","No",0.816,0.824,0.759,0.815,0.91,0.741
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.521,0.53,0.23,0.287,0.214,0.38
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.174,0.157,0.402,0.311,0.42,0.208
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.285,0.276,0.341,0.311,0.161,0.3
"P13_imputada","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.016,0.025,0.015,0.057,0.101,0.047
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.005,0.002,0.014,0.085,0.065
"P13_imputada","En blanco",0.004,0.007,0.01,0.02,0.019,0
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.567,0.314,0.236,0.155,0.221,0.11
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.107,0.38,0.386,0.409,0.571,0.368
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.321,0.288,0.345,0.179,0.134,0.338
"P17_imputada","Los candidatos a presidente de la Izquierda",0,0.014,0.007,0.011,0,0.184
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.005,0.004,0.023,0.236,0.022,0
"P17_imputada","En blanco",0,0,0.003,0.01,0.052,0
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.634,0.261,0.141,0.324,0.213,0.135
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.074,0.56,0.584,0.383,0.54,0.369
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.283,0.144,0.181,0.169,0.083,0.266
"P20_imputada","El candidato a gobernador de la Izquierda",0.009,0.021,0.055,0.106,0.04,0.184
"P20_imputada","En blanco",0,0.014,0.039,0.018,0.124,0.046
"P23_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.472,0.304,0.265,0.209,0.427,0.427
