"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Moreira","Grosso","López Medrano","D Alessandro","Sardella","Zona 1","Zona 2","Zona 3"
"Axel Kicillof a gobernador por Unión por la Patria.",0.394,0.39,0.398,0.327,0.391,0.446,0.401,0.409,0.367,0.424,0.619,0.61,0.257,0.174,0.057,0.412,0.389,0.378
"Néstor Grindetti a gobernador por Juntos por el Cambio",0.264,0.234,0.29,0.217,0.208,0.305,0.36,0.238,0.292,0.245,0.122,0.105,0.594,0.573,0.286,0.293,0.301,0.188
"Carolina Piparo a gobernadora por la Libertad Avanza",0.281,0.31,0.256,0.342,0.35,0.214,0.178,0.288,0.288,0.26,0.224,0.268,0.135,0.245,0.638,0.23,0.261,0.364
"El candidato a gobernador de la Izquierda",0.034,0.037,0.031,0.092,0.019,0.025,0.019,0.022,0.036,0.046,0.02,0.007,0.004,0.002,0.01,0.034,0.025,0.045
"En blanco",0.027,0.029,0.025,0.022,0.032,0.01,0.042,0.043,0.017,0.025,0.015,0.01,0.01,0.006,0.009,0.031,0.024,0.025
