"var","categoria","Unión por la Patria","Juntos por el Cambio","De los Liberales libertarios","De la Izquierda","Hacemos por nuestro país","En blanco","No sabe"
"P05","Mucho",0.6,0.436,0.529,0.538,0.572,0.265,0.282
"P05","Bastante",0.267,0.336,0.199,0.241,0.353,0.179,0.335
"P05","Poco",0.099,0.181,0.148,0.197,0.067,0.215,0.303
"P05","Nada",0.031,0.042,0.084,0.024,0.008,0.322,0.078
"P05","No sabe",0.003,0.005,0.04,0,0,0.019,0.002
"P06","Siempre",0.199,0.198,0.173,0.147,0.194,0.156,0.114
"P06","Casi siempre",0.355,0.362,0.235,0.319,0.196,0.23,0.263
"P06","Casi nunca",0.302,0.279,0.419,0.343,0.392,0.6,0.193
"P06","Nunca, pero esta es una excepción",0.144,0.161,0.173,0.191,0.218,0.014,0.43
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.62,0.322,0.072,0.095,0,0.037,0.177
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.06,0.555,0.311,0.121,0.19,0.022,0.124
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.302,0.091,0.563,0.162,0.577,0.033,0.117
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0,0.034,0.574,0,0,0.04
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.01,0,0.02,0.222,0.193,0.023
"P13","En blanco",0.004,0.004,0.007,0,0.011,0.482,0
"P13","No sabe",0.014,0.018,0.013,0.028,0,0.233,0.519
"P16","Si",0.262,0.44,0.451,0.577,0.103,0.623,0.53
"P16","No",0.738,0.56,0.549,0.423,0.897,0.377,0.47
"P17","Sergio Massa a presidente por Unión por la Patria.",0.786,0.124,0.119,0.078,0.12,0,0.294
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.109,0.665,0.092,0.238,0.668,0.117,0.159
"P17","Javier Milei a presidente por la Libertad Avanza",0.029,0.195,0.784,0.229,0.113,0.048,0.08
"P17","Los candidatos a presidente de la Izquierda",0.005,0,0,0.391,0,0.591,0.014
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.052,0.007,0,0.054,0.099,0.037,0.16
"P17","En blanco",0.016,0,0,0.01,0,0.166,0
"P17","No sabe",0.003,0.009,0.005,0,0,0.041,0.293
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.704,0.059,0.207,0.308,0.12,0.801,0.09
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.044,0.639,0.247,0.085,0.254,0.115,0.085
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.174,0.239,0.499,0.057,0.143,0,0.2
"P20","El candidato a gobernador de la Izquierda",0.013,0.004,0.031,0.55,0,0,0.026
"P20","En blanco",0.047,0.006,0.005,0,0,0,0.08
"P20","No sabe",0.018,0.053,0.011,0,0.483,0.084,0.519
"P23","Fernando Moreira a intendente por Unión por la Patria.",0.489,0.149,0.307,0.508,0.122,0.149,0.207
"P23","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.132,0.713,0.371,0.194,0.24,0.7,0.228
"P23","Hernán Sardella a intendente por la Libertad Avanza",0.085,0.085,0.246,0.019,0.141,0,0.065
"P23","El candidato del Frente de Izquierda",0.138,0.028,0.003,0.279,0,0,0.018
"P23","En blanco",0.038,0.01,0,0,0,0.113,0
"P23","No sabe",0.118,0.015,0.073,0,0.497,0.038,0.482
"P26","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.167,0.52,0.739,0.328,0.442,0.162,0.257
"P26","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.215,0.254,0.181,0.141,0.375,0.232,0.145
"P26","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.431,0.153,0.054,0.168,0.114,0.064,0.126
"P26","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.112,0.021,0.006,0.213,0.018,0.09,0.123
"P26","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.035,0.011,0.003,0.074,0,0.034,0.047
"P26","No sabe",0.04,0.041,0.017,0.076,0.051,0.418,0.302
"P27","Totalmente seguro.",0.768,0.744,0.802,0.584,0.443,0.169,0.554
"P27","Bastante seguro",0.131,0.149,0.125,0.164,0.183,0.414,0.139
"P27","Algo seguro",0.066,0.087,0.064,0.173,0.313,0.233,0.075
"P27","Para nada seguro",0.035,0.02,0.009,0.079,0.061,0.184,0.232
"P28","Tiene Decidido que va a ir a votar.",0.94,0.921,0.947,0.844,0.826,0.765,0.637
"P28","Tiene dudas sobre si va a ir a  votar",0.036,0.057,0.051,0.124,0,0.165,0.306
"P28","Tiene Decidido que no va a ir a votar",0.024,0.022,0.002,0.032,0.174,0.07,0.057
"P29","No estaba enterado del tema",0.172,0.14,0.165,0.298,0.347,0,0.199
"P29","Un tema de la vida privada de él",0.163,0.023,0.13,0.175,0,0.045,0.173
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.557,0.214,0.185,0.129,0.215,0,0.083
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.061,0.299,0.198,0.061,0.267,0.746,0.208
