"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Moreira","Grosso","López Medrano","D Alessandro","Sardella","Zona 1","Zona 2","Zona 3"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.382,0.366,0.396,0.259,0.357,0.471,0.434,0.409,0.362,0.385,0.577,0.512,0.345,0.2,0.035,0.396,0.384,0.363
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.267,0.239,0.29,0.3,0.219,0.276,0.311,0.251,0.282,0.259,0.126,0.157,0.51,0.531,0.294,0.262,0.311,0.221
"Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.287,0.333,0.247,0.315,0.358,0.221,0.21,0.285,0.292,0.279,0.267,0.289,0.122,0.253,0.647,0.263,0.25,0.357
"A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.036,0.034,0.038,0.095,0.033,0.018,0.011,0.021,0.041,0.047,0.019,0.036,0.004,0.011,0.011,0.038,0.028,0.044
"Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.015,0.015,0.016,0.027,0.018,0.003,0.014,0.022,0.01,0.016,0.006,0.003,0,0.005,0.013,0.022,0.018,0.005
"En blanco",0.013,0.013,0.013,0.004,0.015,0.011,0.02,0.012,0.013,0.014,0.005,0.003,0.019,0,0,0.019,0.009,0.01
