"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Moreira","Grosso","López Medrano","D Alessandro","Sardella","Zona 1","Zona 2","Zona 3"
"Sergio Massa a presidente por Unión por la Patria.",0.377,0.369,0.385,0.316,0.333,0.467,0.404,0.391,0.362,0.389,0.592,0.523,0.273,0.169,0.044,0.391,0.392,0.344
"Patricia Bullrich a presidenta por Juntos por el Cambio",0.246,0.222,0.266,0.182,0.199,0.282,0.345,0.219,0.27,0.235,0.127,0.131,0.487,0.539,0.24,0.27,0.292,0.164
"Javier Milei a presidente por la Libertad Avanza",0.276,0.298,0.258,0.307,0.375,0.187,0.179,0.273,0.286,0.264,0.223,0.231,0.211,0.273,0.651,0.244,0.229,0.37
"Los candidatos a presidente de la Izquierda",0.031,0.03,0.031,0.097,0.016,0.019,0.01,0.021,0.031,0.041,0.025,0.035,0.004,0.002,0.011,0.017,0.023,0.056
"Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.027,0.038,0.017,0.022,0.049,0.007,0.015,0.054,0.013,0.019,0.02,0.012,0.002,0.012,0.009,0.048,0.02,0.009
"En blanco",0.009,0.014,0.005,0.011,0.005,0.005,0.021,0.01,0.004,0.017,0.003,0.022,0.009,0,0,0.012,0.006,0.01
"No sabe",0.034,0.029,0.038,0.065,0.023,0.033,0.026,0.032,0.034,0.035,0.01,0.046,0.014,0.005,0.045,0.018,0.038,0.047
