"var","categoria","Con políticas de shock, mano dura y castigando a los corruptos y ladrones","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar","Con políticas de desarrollo que permitan el crecimiento con inclusión social","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares","No sabe"
"P05","Mucho",0.485,0.55,0.585,0.293,0.673,0.4
"P05","Bastante",0.248,0.338,0.32,0.373,0.168,0.15
"P05","Poco",0.175,0.102,0.09,0.281,0.025,0.273
"P05","Nada",0.07,0.002,0.005,0.043,0.134,0.173
"P05","No sabe",0.022,0.008,0,0.01,0,0.004
"P06","Siempre",0.187,0.123,0.213,0.16,0.209,0.092
"P06","Casi siempre",0.306,0.329,0.361,0.369,0.531,0.23
"P06","Casi nunca",0.327,0.335,0.301,0.318,0.129,0.437
"P06","Nunca, pero esta es una excepción",0.18,0.213,0.125,0.153,0.131,0.241
"P10","Unión por la Patria",0.174,0.399,0.713,0.647,0.595,0.286
"P10","Juntos por el Cambio",0.368,0.32,0.171,0.085,0.125,0.2
"P10","De los Liberales libertarios",0.344,0.15,0.04,0.017,0.02,0.055
"P10","De la Izquierda",0.036,0.027,0.029,0.13,0.133,0.056
"P10","Hacemos por nuestro país",0.037,0.055,0.015,0.008,0,0.029
"P10","En blanco",0.004,0.011,0.003,0.013,0.015,0.074
"P10","No sabe",0.037,0.038,0.029,0.1,0.112,0.3
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.222,0.408,0.526,0.6,0.519,0.339
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.42,0.168,0.136,0.119,0.017,0.166
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.298,0.339,0.279,0.142,0.262,0.189
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.021,0.021,0.024,0.126,0.089,0.057
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.011,0.014,0.015,0,0,0.097
"P13","En blanco",0.008,0.007,0.003,0.013,0,0.024
"P13","No sabe",0.02,0.043,0.017,0,0.113,0.128
"P16","Si",0.356,0.246,0.359,0.416,0.346,0.404
"P16","No",0.644,0.754,0.641,0.584,0.654,0.596
"P17","Sergio Massa a presidente por Unión por la Patria.",0.223,0.166,0.489,0.448,0.584,0.394
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.339,0.375,0.322,0.24,0.168,0.257
"P17","Javier Milei a presidente por la Libertad Avanza",0.422,0.331,0.106,0.178,0.054,0.039
"P17","Los candidatos a presidente de la Izquierda",0.003,0.007,0.069,0.049,0.041,0.136
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.007,0.109,0,0.051,0.125,0.017
"P17","En blanco",0,0.006,0.012,0.034,0,0
"P17","No sabe",0.006,0.006,0.002,0,0.028,0.157
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.169,0.26,0.395,0.571,0.871,0.369
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.431,0.299,0.288,0.036,0.034,0.153
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.336,0.316,0.159,0.204,0.054,0.225
"P20","El candidato a gobernador de la Izquierda",0.008,0.051,0.07,0.189,0.041,0.017
"P20","En blanco",0.019,0.013,0.043,0,0,0.009
"P20","No sabe",0.037,0.061,0.045,0,0,0.227
"P23","Fernando Moreira a intendente por Unión por la Patria.",0.215,0.216,0.489,0.345,0.309,0.404
"P23","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.561,0.508,0.241,0.23,0.188,0.174
"P23","Hernán Sardella a intendente por la Libertad Avanza",0.159,0.21,0.072,0,0,0.01
"P23","El candidato del Frente de Izquierda",0,0.006,0.134,0.293,0.257,0.017
"P23","En blanco",0.018,0.016,0.01,0,0.246,0
"P23","No sabe",0.047,0.044,0.054,0.132,0,0.395
"P27","Totalmente seguro.",0.816,0.613,0.708,0.805,0.815,0.57
"P27","Bastante seguro",0.1,0.235,0.122,0.103,0,0.26
"P27","Algo seguro",0.035,0.13,0.14,0.043,0.042,0.107
"P27","Para nada seguro",0.049,0.022,0.03,0.049,0.143,0.063
"P28","Tiene Decidido que va a ir a votar.",0.95,0.833,0.924,0.934,0.826,0.885
"P28","Tiene dudas sobre si va a ir a  votar",0.042,0.106,0.06,0.035,0.115,0.065
"P28","Tiene Decidido que no va a ir a votar",0.008,0.061,0.016,0.031,0.059,0.05
"P29","No estaba enterado del tema",0.19,0.19,0.139,0.139,0.126,0.196
"P29","Un tema de la vida privada de él",0.084,0.119,0.127,0.122,0.118,0.223
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.188,0.29,0.576,0.468,0.472,0.229
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.236,0.18,0.096,0.118,0.142,0.122
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.281,0.201,0.053,0.153,0.134,0.198
"P29","No sabe",0.021,0.02,0.009,0,0.008,0.032
"P30","Si",0.754,0.787,0.798,0.655,0.88,0.656
"P30","No",0.246,0.213,0.202,0.345,0.12,0.344
"P31","Sergio Massa",0.269,0.454,0.648,0.61,0.502,0.545
"P31","Patria Bullrich",0.29,0.333,0.143,0.033,0.177,0.199
"P31","Javier Milei",0.342,0.087,0.039,0.11,0,0.053
"P31","Myriam Bregman",0.021,0.059,0.135,0.232,0.186,0.035
"P31","Juan Schiaretti",0.078,0.067,0.035,0.015,0.135,0.168
"P32","Ha aumentado significativamente",0.087,0.193,0.1,0.263,0.021,0.021
"P32","Ha aumentado ligeramente",0.167,0.247,0.181,0.116,0.236,0.195
"P32","Se mantiene igual",0.23,0.219,0.346,0.235,0.453,0.323
"P32","Ha disminuido ligeramente",0.212,0.146,0.163,0.141,0.02,0.295
"P32","Ha disminuido significativamente",0.304,0.195,0.21,0.245,0.27,0.166
"P33","No, ninguna dificultad",0.226,0.335,0.413,0.415,0.385,0.381
