"var","categoria","Fernando Moreira a intendente por Unión por la Patria.","Mauricio D’Alessandro a intendente por Juntos por el Cambio","Hernán Sardella a intendente por la Libertad Avanza","El candidato del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.395,0.386,0.587,0.477,0.625,0.568
"P05","Bastante",0.332,0.315,0.249,0.178,0.244,0.166
"P05","Poco",0.234,0.23,0.154,0.345,0.131,0.158
"P05","Nada",0.039,0.063,0,0,0,0.08
"P05","No sabe",0,0.006,0.01,0,0,0.028
"P06","Siempre",0.097,0.249,0.072,0.018,0,0.065
"P06","Casi siempre",0.408,0.24,0.392,0.207,0.437,0.368
"P06","Casi nunca",0.363,0.352,0.371,0.717,0.521,0.42
"P06","Nunca, pero esta es una excepción",0.132,0.159,0.165,0.058,0.042,0.147
"P10","Unión por la Patria",0.462,0.094,0.224,0.582,0.644,0.35
"P10","Juntos por el Cambio",0.172,0.612,0.27,0.145,0.206,0.052
"P10","De los Liberales libertarios",0.197,0.178,0.438,0.007,0,0.149
"P10","De la Izquierda",0.1,0.028,0.011,0.245,0,0
"P10","Hacemos por nuestro país",0.003,0.004,0.009,0,0,0.037
"P10","En blanco",0.011,0.039,0,0,0.15,0.009
"P10","No sabe",0.055,0.045,0.048,0.021,0,0.403
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.372,0.189,0.231,0.586,0.255,0.286
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.159,0.534,0.389,0.145,0.206,0.122
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.325,0.21,0.301,0.064,0.362,0.219
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.095,0.002,0.01,0.205,0,0
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.007,0.002,0.009,0,0,0.037
"P13","En blanco",0.008,0.002,0.012,0,0.177,0
"P13","No sabe",0.034,0.061,0.048,0,0,0.336
"P17","Sergio Massa a presidente por Unión por la Patria.",0.516,0.103,0.227,0.603,0.644,0.461
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.169,0.504,0.27,0.145,0.3,0.084
"P17","Javier Milei a presidente por la Libertad Avanza",0.191,0.337,0.383,0.15,0.056,0.148
"P17","Los candidatos a presidente de la Izquierda",0.1,0.037,0,0.035,0,0
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.014,0.011,0.12,0.057,0,0.137
"P17","En blanco",0.008,0.002,0,0.01,0,0.034
"P17","No sabe",0.002,0.006,0,0,0,0.136
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.543,0.119,0.131,0.612,0.655,0.281
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.154,0.507,0.326,0.144,0.262,0.014
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.114,0.305,0.533,0,0,0.373
"P20","El candidato a gobernador de la Izquierda",0.097,0.003,0,0.244,0,0
"P20","En blanco",0.054,0.016,0,0,0.083,0
"P20","No sabe",0.038,0.05,0.01,0,0,0.332
"P26","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.277,0.561,0.558,0.002,0.404,0.237
