"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Moreira","Grosso","López Medrano","D Alessandro","Sardella","Zona 1","Zona 2","Zona 3"
"Si",0.247,0.274,0.224,0.297,0.269,0.21,0.206,0.246,0.242,0.257,0.214,0.302,0.243,0.312,0.132,0.303,0.187,0.25
"No",0.753,0.726,0.776,0.703,0.731,0.79,0.794,0.754,0.758,0.743,0.786,0.698,0.757,0.688,0.868,0.697,0.813,0.75
