"var","categoria","Ha aumentado significativamente","Ha aumentado ligeramente","Se mantiene igual","Ha disminuido ligeramente","Ha disminuido significativamente"
"P05","Mucho",0.574,0.563,0.515,0.452,0.488
"P05","Bastante",0.208,0.386,0.366,0.237,0.243
"P05","Poco",0.183,0.05,0.074,0.274,0.155
"P05","Nada",0.03,0.001,0.044,0.022,0.092
"P05","No sabe",0.005,0,0.001,0.015,0.022
"P06","Siempre",0.198,0.14,0.216,0.142,0.178
"P06","Casi siempre",0.281,0.377,0.349,0.323,0.299
"P06","Casi nunca",0.35,0.356,0.245,0.405,0.291
"P06","Nunca, pero esta es una excepción",0.171,0.127,0.19,0.13,0.232
"P10","Unión por la Patria",0.657,0.517,0.448,0.322,0.235
"P10","Juntos por el Cambio",0.121,0.241,0.245,0.413,0.322
"P10","De los Liberales libertarios",0.096,0.166,0.135,0.19,0.258
"P10","De la Izquierda",0.012,0.011,0.059,0.015,0.077
"P10","Hacemos por nuestro país",0.083,0.053,0.028,0,0.025
"P10","En blanco",0.007,0,0.008,0.028,0.014
"P10","No sabe",0.024,0.012,0.077,0.032,0.069
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.551,0.365,0.422,0.402,0.256
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.128,0.181,0.19,0.328,0.343
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.257,0.398,0.297,0.216,0.259
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.045,0.035,0.002,0.057
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.053,0.006,0.017,0.023,0.004
"P13","En blanco",0.004,0,0.012,0.009,0.013
"P13","No sabe",0.007,0.005,0.027,0.02,0.068
"P16","Si",0.27,0.223,0.316,0.367,0.409
"P16","No",0.73,0.777,0.684,0.633,0.591
"P17","Sergio Massa a presidente por Unión por la Patria.",0.55,0.361,0.431,0.176,0.213
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.024,0.365,0.289,0.453,0.354
"P17","Javier Milei a presidente por la Libertad Avanza",0.206,0.215,0.229,0.356,0.321
"P17","Los candidatos a presidente de la Izquierda",0,0.042,0.008,0,0.08
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.2,0.017,0.014,0.007,0.006
"P17","En blanco",0,0,0.012,0,0.004
"P17","No sabe",0.02,0,0.017,0.008,0.022
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.866,0.236,0.438,0.12,0.169
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.053,0.313,0.264,0.707,0.239
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.018,0.368,0.172,0.093,0.367
"P20","El candidato a gobernador de la Izquierda",0,0.056,0.049,0,0.131
"P20","En blanco",0.043,0,0.044,0.034,0.008
"P20","No sabe",0.02,0.027,0.033,0.046,0.086
"P23","Fernando Moreira a intendente por Unión por la Patria.",0.335,0.376,0.524,0.211,0.176
"P23","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.075,0.357,0.292,0.675,0.451
"P23","Hernán Sardella a intendente por la Libertad Avanza",0.199,0.146,0.139,0.045,0.085
"P23","El candidato del Frente de Izquierda",0.2,0.034,0.017,0.019,0.166
"P23","En blanco",0.008,0.087,0.008,0.024,0.004
"P23","No sabe",0.183,0,0.02,0.026,0.118
"P26","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.272,0.342,0.33,0.453,0.476
"P26","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.353,0.294,0.183,0.182,0.178
"P26","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.21,0.248,0.335,0.235,0.221
"P26","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.154,0.044,0.063,0.056,0.072
"P26","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.004,0.027,0.036,0.002,0.023
"P26","No sabe",0.007,0.045,0.053,0.072,0.03
"P27","Totalmente seguro.",0.728,0.765,0.743,0.743,0.664
"P27","Bastante seguro",0.168,0.102,0.148,0.133,0.183
"P27","Algo seguro",0.061,0.105,0.098,0.082,0.082
"P27","Para nada seguro",0.043,0.028,0.011,0.042,0.071
"P28","Tiene Decidido que va a ir a votar.",0.949,0.927,0.919,0.964,0.831
"P28","Tiene dudas sobre si va a ir a  votar",0.044,0.029,0.044,0.036,0.144
"P28","Tiene Decidido que no va a ir a votar",0.007,0.044,0.037,0,0.025
"P29","No estaba enterado del tema",0.441,0.15,0.182,0.113,0.119
"P29","Un tema de la vida privada de él",0.146,0.123,0.127,0.038,0.099
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.309,0.407,0.406,0.314,0.211
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.031,0.155,0.119,0.288,0.233
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.049,0.147,0.134,0.244,0.329
"P29","No sabe",0.024,0.018,0.032,0.003,0.009
"P30","Si",0.611,0.748,0.791,0.817,0.781
"P30","No",0.389,0.252,0.209,0.183,0.219
"P31","Sergio Massa",0.905,0.418,0.499,0.3,0.281
"P31","Patria Bullrich",0.086,0.319,0.192,0.3,0.253
"P31","Javier Milei",0,0.114,0.192,0.207,0.256
"P31","Myriam Bregman",0,0.103,0.077,0.091,0.093
"P31","Juan Schiaretti",0.009,0.046,0.04,0.102,0.117
"P33","No, ninguna dificultad",0.846,0.378,0.317,0.184,0.114
"P33","Alguna dificultad ocasional",0.091,0.474,0.297,0.415,0.22
"P33","Sí, dificultades frecuentes",0.063,0.148,0.386,0.401,0.666
"P34","Sí, absolutamente",0.784,0.498,0.546,0.385,0.367
"P34","Sí, en cierta medida",0.136,0.308,0.323,0.414,0.33
"P34","No, en absoluto",0.08,0.194,0.131,0.201,0.303
"P35","Reducir la inflación",0.466,0.368,0.483,0.384,0.388
"P35","Implementar reformas fiscales",0.129,0.163,0.118,0.101,0.073
"P35","Establecer políticas de control de precios",0.232,0.188,0.199,0.154,0.063
"P35","Reducir el gasto público",0.07,0.24,0.178,0.319,0.421
"P35","Estimular la inversión extranjera",0.041,0.023,0.022,0.034,0.048
"P35","Aumentar los subsidios a los servicios públicos",0.062,0.018,0,0.008,0.007
"P36","Muy positiva",0.45,0.278,0.281,0.181,0.175
"P36","Positiva",0.258,0.132,0.233,0.153,0.161
"P36","Neutral",0.049,0.259,0.289,0.319,0.231
"P36","Algo negativa",0.088,0.113,0.057,0.123,0.126
"P36","Negativa",0.075,0.071,0.044,0.053,0.173
"P36","No sabe",0.08,0.147,0.096,0.171,0.134
"P37","Muy positiva",0.706,0.404,0.443,0.298,0.295
"P37","Positiva",0.157,0.211,0.258,0.127,0.184
"P37","Neutral",0.041,0.184,0.195,0.275,0.212
"P37","Algo negativa",0.016,0.104,0.033,0.163,0.124
"P37","Negativa",0.029,0.03,0.028,0.1,0.161
"P37","No sabe",0.051,0.067,0.043,0.037,0.024
"P38","Muy positiva",0.573,0.234,0.317,0.138,0.157
"P38","Positiva",0.095,0.232,0.304,0.189,0.092
"P38","Neutral",0.157,0.348,0.178,0.342,0.296
"P38","Algo negativa",0,0.026,0.092,0.14,0.072
"P38","Negativa",0.142,0.063,0.071,0.129,0.257
"P38","No sabe",0.033,0.097,0.038,0.062,0.126
"P39","Muy positiva",0.621,0.393,0.492,0.38,0.381
"P39","Positiva",0.123,0.242,0.293,0.144,0.158
"P39","Neutral",0.146,0.224,0.129,0.246,0.163
"P39","Algo negativa",0,0.073,0.046,0.185,0.091
"P39","Negativa",0.086,0.022,0.024,0.032,0.181
"P39","No sabe",0.024,0.046,0.016,0.013,0.026
"P40","Muy positiva",0.545,0.426,0.417,0.243,0.279
"P40","Positiva",0.236,0.131,0.274,0.24,0.158
"P40","Neutral",0.114,0.232,0.193,0.266,0.23
"P40","Algo negativa",0.017,0.135,0.017,0.153,0.104
"P40","Negativa",0.064,0.002,0.042,0.035,0.138
"P40","No sabe",0.024,0.074,0.057,0.063,0.091
"P41","Lo votaría",0.772,0.489,0.479,0.308,0.222
"P41","Puede que lo vote",0.056,0.065,0.145,0.023,0.051
"P41","Nunca lo votaría",0.172,0.436,0.355,0.609,0.684
"P41","No sabe",0,0.01,0.021,0.06,0.043
"P42","Lo votaría",0.305,0.327,0.192,0.391,0.312
"P42","Puede que lo vote",0.042,0.121,0.101,0.136,0.197
"P42","Nunca lo votaría",0.653,0.535,0.68,0.421,0.429
"P42","No sabe",0,0.017,0.027,0.052,0.062
"P43","Lo votaría",0.15,0.211,0.185,0.264,0.319
"P43","Puede que lo vote",0.085,0.134,0.08,0.128,0.171
"P43","Nunca lo votaría",0.765,0.64,0.711,0.557,0.481
"P43","No sabe",0,0.015,0.024,0.051,0.029
"P44","Si",0.476,0.502,0.423,0.357,0.317
"P44","No",0.524,0.498,0.577,0.643,0.683
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.549,0.391,0.447,0.338,0.269
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.067,0.206,0.195,0.329,0.331
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.273,0.349,0.277,0.274,0.294
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0,0.044,0.035,0.002,0.041
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.1,0.008,0.019,0.026,0.003
"PRESIDENTE","En blanco",0.004,0,0.01,0.009,0.009
"PRESIDENTE","No sabe",0.007,0.002,0.017,0.022,0.053
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.621,0.366,0.45,0.319,0.251
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.076,0.195,0.186,0.406,0.304
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.226,0.38,0.266,0.186,0.296
"GOBERNADOR","El candidato a gobernador de la Izquierda",0,0.048,0.045,0.002,0.063
