"var","categoria","Sergio Massa","Patria Bullrich","Javier Milei","Myriam Bregman","Juan Schiaretti"
"P05","Mucho",0.625,0.437,0.436,0.42,0.399
"P05","Bastante",0.259,0.369,0.267,0.432,0.143
"P05","Poco",0.103,0.134,0.167,0.119,0.379
"P05","Nada",0.013,0.054,0.091,0.015,0.079
"P05","No sabe",0,0.006,0.039,0.014,0
"P06","Siempre",0.185,0.177,0.216,0.103,0.07
"P06","Casi siempre",0.353,0.355,0.236,0.378,0.201
"P06","Casi nunca",0.301,0.302,0.37,0.288,0.461
"P06","Nunca, pero esta es una excepción",0.161,0.166,0.178,0.231,0.268
"P10","Unión por la Patria",0.724,0.069,0.102,0.553,0.11
"P10","Juntos por el Cambio",0.13,0.737,0.112,0.065,0.302
"P10","De los Liberales libertarios",0.057,0.1,0.584,0.097,0.289
"P10","De la Izquierda",0.019,0.017,0.082,0.162,0.018
"P10","Hacemos por nuestro país",0.027,0.042,0.024,0.05,0.036
"P10","En blanco",0.003,0.005,0.006,0.005,0.108
"P10","No sabe",0.04,0.03,0.09,0.068,0.137
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.565,0.297,0.11,0.428,0.158
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.123,0.452,0.306,0.086,0.311
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.269,0.191,0.495,0.239,0.221
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.014,0.001,0.035,0.158,0.103
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.005,0.017,0.004,0.037,0.101
"P13","En blanco",0.006,0.011,0.006,0,0.035
"P13","No sabe",0.018,0.031,0.044,0.052,0.071
"P16","Si",0.276,0.405,0.311,0.362,0.453
"P16","No",0.724,0.595,0.689,0.638,0.547
"P17","Sergio Massa a presidente por Unión por la Patria.",0.635,0.076,0.137,0.366,0.146
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.127,0.675,0.032,0.149,0.687
"P17","Javier Milei a presidente por la Libertad Avanza",0.164,0.223,0.795,0.129,0.099
"P17","Los candidatos a presidente de la Izquierda",0.004,0.004,0,0.303,0
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.059,0.008,0.008,0.015,0.01
"P17","En blanco",0,0.004,0.017,0.01,0
"P17","No sabe",0.011,0.01,0.011,0.028,0.058
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.596,0.098,0.111,0.249,0.087
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.05,0.667,0.298,0.094,0.703
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.269,0.166,0.416,0.182,0.074
"P20","El candidato a gobernador de la Izquierda",0.04,0.008,0.069,0.32,0
"P20","En blanco",0.023,0.002,0.059,0,0.061
"P20","No sabe",0.022,0.059,0.047,0.155,0.075
"P23","Fernando Moreira a intendente por Unión por la Patria.",0.371,0.152,0.299,0.587,0.3
"P23","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.242,0.73,0.373,0.071,0.435
