clave	texto
encuesta_especial	Tracking diario CABA - Corte 221 - Voto Anterior C/R completo
bajada_encuesta_especial	Encuesta Continua Económica, política y social
bajada_encuesta_especial_fecha	22/11/2023
ficha_Población objeto de estudio	Población mayor de 16 años.
ficha_Unidad de muestreo	Télefonos celulares de empresas Personal, Movistar y Claro, complementados con un 13% de teléfonos fijos para optimizar cobertura geográfica.
ficha_Ámbito	Ciudad Autónoma de Buenos Aires.
ficha_Técnicas de recolección de información	ECA - Encuesta Contínua Automática con voz humana.
ficha_Diseño muestral	Muestreo dinámico aleatorio con captura de datos en tiempo real y de manera continua (sin rellamada y con reposición) implicando una ventana móvil de siete días.
ficha_Tamaño muestral	La captura de datos se llevó a cabo del 13/11/2023 al 19/11/2023. Abarca 4.634 casos efectivos, acumulando 334.526 de estimaciones totales.
ficha_Calibración de la muestra	En función de datos paramétricos censales de sexo, edad y nivel educativo.
ficha_Margen de error	+/- 2.41 %
