codigo,texto,label,paleta
P07,Si las elecciones presidenciales fueran mañana ¿Al candidato de qué espacio político votaría,Intención de voto elecciones presidenciales,politica
P08,¿A cúal de los siguientes dirigentes del Frente de Todos y el peronismo preferiría ud. votar,Preferencia de voto a candidatos del FdT (Solo para votantes del FdT),politica
P09,"Y si en cambio, los candidatos del Frente de Todos y el peronismo fuesen los siguientes ¿A cúal preferiría ud. votar",Preferencia de voto a candidatos del FdT (Solo para votantes del FdT),politica
P10,¿A cúal de los siguientes dirigentes de Juntos por el Cambio preferiría ud. votar,Preferencia de voto a candidatos del Juntos por el Cambio (Solo para votantes del JxC),politica
P11,¿A qué espacio político votaría en las elecciones a gobernador de este año,Intención de voto a espacio político para gobernador,politica
P12,¿A quién votaria Ud. si hubiese una interna a gobernador entre diferentes candidatos de Juntos por el Cambio,Intención de voto a gobernador dentro de la interna de Juntos por el Cambio,politica
P13,¿A cuál de los siguientes candidatos votaría Ud. en las próximas elecciones a gobernador,Intención de voto 1,politica
P14,¿A cuál de los siguientes candidatos votaría Ud en las próximas elecciones a gobernador,Intención de voto 2,politica
P15,Y si en cambio fueran los siguientes ¿A qué candidato votaría para gobernador,,politica
P16,Y si en cambio fueran los siguientes ¿A qué candidato votaría para gobernador,,politica
P17,Ahora le preguntaremos por candidatos a gobernador y vice gobernador ¿A cúal de las siguientes fórmulas votaría en las próximas elecciones,,politica
P18,Y entre estos candidatos a gobernador y vice ¿Qué formula votaría en las próximas elecciones,,politica
P19,Y si los candidatos fueran los siguientes ¿Cúal de las siguientes fórmulas votaría en las próximas elecciones,,politica
P20,"Por último, entre estos candidatos a gobernador y vice ¿ A cúales votaría en las próximas elecciones",,politica
P21,"Si Rodrigo De Loredo fuese candidato a gobernador, Ud…",,votaria
P22,"Si Martin Llaryora fuese candidato a gobernador, Ud…",,votaria
P23,"Si Luis Juez fuese candidato a gobernador, Ud…",,votaria
P24,"Si Gabriela Estévez fuese candidato a gobernadora, Ud…",,votaria
P25,¿Qué imagen tiene de Rodrigo De Loredo,Imagen de Rodrigo De Loredo,imagen
P26,¿Qué imagen tiene de Luis Juez,Imagen de Luis Juez,imagen
P27,¿Qué imagen tiene de Martín Llaryora,Imagen de Martín Llaryora,imagen
P28,¿Qué imagen tiene de Aurelio García Elorrio,Imagen de Aurelio García Elorrio,imagen
P29,¿ Qué imagen tiene de Alberto Fernández ,Imagen de Alberto Fernández ,imagen
P30,¿Qué imagen tiene de Cristina Fernández de Kirchner,Imagen de Cristina Fernández de Kirchner,imagen
P31,¿Qué imagen tiene de Mauricio Macri,Imagen de Mauricio Macri,imagen
P32,¿Qué imagen tiene de Horacio Rodriguez Larreta,Imagen de Horacio Rodriguez Larreta,imagen
P33,¿Qué imagen tiene de Sergio Massa,Imagen de Sergio Massa,imagen
P34,¿Qué imagen tiene de Patricia Bullrich,Imagen de Patricia Bullrich,imagen
P35,¿Qué imagen tiene de Juan Schiaretti,Imagen de Juan Schiaretti,imagen
P36,¿Qué imagen tiene de Javier Milei,Imagen de Javier Milei,imagen
P37,¿Qué imagen tiene de Martín Lousteau,Imagen de Martín Lousteau,imagen
P38,¿Qué imagen tiene de Gerardo Morales,Imagen de Gerardo Morales,imagen
P39,¿Qué imagen tiene de Facundo Manes,Imagen de Facundo Manes,imagen
P40,¿En qué parte de la provincia de Córdoba vota,Voto Cordoba,
P41,Ahora le vamos a hacer una pregunta sobre las elecciones a intendente de la ciudad de Córdoba del año 2019. ¿Recuerda usted a que candidato votó,Donde voto cordoba,
P42,Y en el caso de las elecciones municipales: ¿A cuál de los siguientes candidatos votaría Ud. en las elecciones a Intendente de la Ciudad de Cordoba,Intencion de voto para intentente,politica
P43,Y en el caso de las elecciones municipales: ¿A cuál de los siguientes candidatos votaría Ud. en las elecciones a Intendente de la Ciudad de Cordoba,Intencion de voto para intentente,politica
P44,Y si los candidatos a intendente de la Ciudad de Córdoba fueran los siguientes ¿A cúal votaría,Intencion de voto para intentente,politica
P45,Y si los candidatos a intendente de la Ciudad de Córdoba fueran los siguientes ¿A cúal votaría,Intencion de voto para intentente,politica
P46,"Si Rodrigo De Loredo fuese candidato a intendente, Ud…",,votaria
P47,"Si Daniel Passerini fuese candidato a intendente, Ud…",,votaria
P48,"Si Luis Juez fuese candidato a intendente, Ud…",,votaria
P49,"Si Juan Pablo Quinteros fuese candidato a intendente, Ud…",,votaria
P50,"Si Olga Riutort fuese candidata a intendenta, Ud…",,votaria
P51,¿A cuál se los siguientes candidatos para gobernador e intendente votaría ud. si las elecciones fuesen simultáneas,Intención de voto para para elecciones simultaneas de intentente y gobernador,politica
P52,Y si estos fueran los candidatos para gobernador e intendente ¿A cuáles votaría,Intención de voto para para elecciones simultaneas de intentente y gobernador,politica
