"var","categoria","Si","Puede ser","No"
"P06","Victoria Tolosa Paz para diputada nacional y Walter Enrique Acuña para concejal por el “Frente de todos”",0.338,0.111,0.093
"P06","Diego Santilli para diputado nacional y Guido Giana para concejal por “Juntos”",0.182,0.206,0.226
"P06","Facundo Manes para diputado nacional y Ruben Eduardo Mobilio para concejal por “Juntos”",0.046,0.026,0.066
"P06","Florencio Randazzo para diputado nacional y Maico Müller para concejal por “Vamos con vos”",0.061,0.093,0.034
"P06","A la lista de Anibal Regueiro para concejal por “Peronenses Primero”",0.068,0.01,0
"P06","A la lista de José Luis Espert para diputado nacional por “Avanza Libertad”",0.044,0.006,0.089
"P06","A los candidatos de la izquierda",0.054,0,0
"P06","Otros Candidatos",0.08,0.161,0.197
"P06","En blanco o anularía",0.046,0.198,0.219
"P06","Cortaría Boleta",0.081,0.189,0.076
"P10","Toloza Paz por el Frente de todos",0.366,0.154,0.091
"P10","Diego Santilli dentro de la interna de Juntos por el cambio",0.206,0.262,0.268
"P10","Facundo Manes dentro de la interna de Juntos por el cambio",0.063,0.032,0.068
"P10","Florencio Randazzo por el frente ""Vamos con vos.""",0.067,0.103,0.034
"P10","José Luis Espert por los liberales",0.049,0.031,0.106
"P10","A los candidatos de la izquierda",0.06,0,0
"P10","Otros candidatos",0.117,0.184,0.205
"P10","Votaría en blanco o anularía",0.072,0.234,0.228
"P11","Walter Enrique Acuña por el “Frente de Todos”",0.384,0.114,0.094
"P11","Guido Giana dentro de la interna “Juntos”",0.209,0.258,0.295
"P11","Ruben Eduardo Mobilio dentro de la interna por “Juntos”",0.057,0.032,0.083
"P11","Maico Müller dentro de la interna de “vamos con vos”",0.072,0.097,0.032
"P11","Anibal Regueiro por “Peronenses Primero”",0.083,0.011,0
"P11","Otro candidato",0.134,0.221,0.254
"P11","En blanco o anularía",0.061,0.267,0.242
"P18","Si",0.867,0.747,0.712
"P18","No",0.133,0.253,0.288
"P19","Muy buena",0.384,0.377,0.12
"P19","Buena",0.16,0.079,0.1
"P19","Ni buena ni mala",0.123,0.274,0.272
"P19","Mala",0.082,0.124,0.056
"P19","Muy mala",0.24,0.146,0.353
"P19","No sabe",0.011,0,0.099
"P20","Muy buena",0.37,0.211,0.24
"P20","Buena",0.079,0.193,0
"P20","Ni buena ni mala",0.123,0.328,0.1
"P20","Mala",0.071,0.096,0.243
"P20","Muy mala",0.307,0.145,0.308
"P20","No sabe",0.05,0.027,0.109
"P21","Muy buena",0.148,0.24,0.153
"P21","Buena",0.051,0.036,0.016
"P21","Ni buena ni mala",0.148,0.068,0.217
"P21","Mala",0.179,0.46,0.107
"P21","Muy mala",0.453,0.181,0.507
"P21","No sabe",0.021,0.015,0
"P22","Muy buena",0.194,0.252,0.153
"P22","Buena",0.114,0.018,0.164
"P22","Ni buena ni mala",0.176,0.502,0.074
"P22","Mala",0.175,0.041,0.19
"P22","Muy mala",0.27,0.022,0.33
"P22","No sabe",0.071,0.165,0.089
