"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Victoria Tolosa Paz para diputada nacional y Walter Enrique Acuña para concejal por el “Frente de todos”",0.338,0.399,0.267,0.264,0.342,0.424,0.369,0.311,0.353,0.352,0.485,0.036,0.122
"Diego Santilli para diputado nacional y Guido Giana para concejal por “Juntos”",0.182,0.179,0.186,0.089,0.229,0.14,0.36,0.237,0.143,0.175,0.105,0.561,0.102
"Facundo Manes para diputado nacional y Ruben Eduardo Mobilio para concejal por “Juntos”",0.046,0.036,0.058,0.03,0.052,0.08,0,0.043,0.039,0.076,0.01,0.175,0.126
"Florencio Randazzo para diputado nacional y Maico Müller para concejal por “Vamos con vos”",0.061,0.043,0.083,0.063,0.032,0.143,0.013,0.124,0.025,0.029,0.082,0.035,0.036
"A la lista de Anibal Regueiro para concejal por “Peronenses Primero”",0.068,0.05,0.087,0.078,0.058,0.032,0.151,0.071,0.065,0.067,0.045,0.076,0
"A la lista de José Luis Espert para diputado nacional por “Avanza Libertad”",0.044,0.076,0.007,0.091,0.035,0.004,0.018,0.018,0.058,0.061,0.003,0.045,0.426
"A los candidatos de la izquierda",0.054,0.085,0.018,0.126,0.04,0,0,0,0.107,0.017,0.081,0,0
"Otros Candidatos",0.08,0.06,0.104,0.047,0.106,0.081,0.073,0.091,0.079,0.061,0.073,0.012,0.148
"En blanco o anularía",0.046,0.03,0.064,0.039,0.049,0.071,0,0.06,0.024,0.079,0.043,0,0
"Cortaría Boleta",0.081,0.042,0.126,0.173,0.057,0.025,0.016,0.045,0.107,0.083,0.073,0.06,0.04
