"var","categoria","Walter Enrique Acuña por el “Frente de Todos”","Guido Giana dentro de la interna “Juntos”","Ruben Eduardo Mobilio dentro de la interna por “Juntos”","Maico Müller dentro de la interna de “vamos con vos”","Anibal Regueiro por “Peronenses Primero”","Otro candidato","En blanco o anularía"
"P05","Si",0.891,0.625,0.678,0.72,0.974,0.553,0.347
"P05","Puede ser",0.055,0.16,0.079,0.201,0.026,0.19,0.316
"P05","No",0.054,0.215,0.243,0.079,0,0.257,0.337
"P10","Toloza Paz por el Frente de todos",0.996,0,0,0,1,0,0
"P10","Diego Santilli dentro de la interna de Juntos por el cambio",0,1,0.045,0,0,0,0
"P10","Facundo Manes dentro de la interna de Juntos por el cambio",0.004,0,0.955,0,0,0,0
"P10","Florencio Randazzo por el frente ""Vamos con vos.""",0,0,0,1,0,0,0
"P10","José Luis Espert por los liberales",0,0,0,0,0,0.021,0
"P10","A los candidatos de la izquierda",0,0,0,0,0,0,0
"P10","Otros candidatos",0,0,0,0,0,0.979,0
"P10","Votaría en blanco o anularía",0,0,0,0,0,0,1
"P18","Si",0.92,0.803,0.909,0.78,0.566,0.792,1
"P18","No",0.08,0.197,0.091,0.22,0.434,0.208,0
"P19","Muy buena",0.618,0.195,0,0.499,0.578,0.294,0.168
"P19","Buena",0.162,0.059,0.024,0.255,0.054,0.099,0
"P19","Ni buena ni mala",0.179,0.133,0.21,0,0.083,0.114,0.535
"P19","Mala",0.034,0.131,0.073,0.097,0.057,0.13,0.085
"P19","Muy mala",0.007,0.482,0.693,0.149,0.228,0.312,0.206
"P19","No sabe",0,0,0,0,0,0.051,0.006
"P20","Muy buena",0.598,0.111,0.025,0.277,0.602,0.318,0.302
"P20","Buena",0.079,0.123,0,0.254,0.113,0.008,0
"P20","Ni buena ni mala",0.181,0.025,0,0.346,0,0.112,0.586
"P20","Mala",0.024,0.132,0.072,0,0.026,0.183,0.011
"P20","Muy mala",0.023,0.597,0.903,0.123,0.227,0.328,0.101
"P20","No sabe",0.095,0.012,0,0,0.032,0.051,0
"P21","Muy buena",0.008,0.441,0.226,0,0.464,0.252,0
"P21","Buena",0.001,0.119,0.172,0.052,0.051,0.009,0
"P21","Ni buena ni mala",0.05,0.213,0.315,0.119,0,0.194,0.196
"P21","Mala",0.228,0.18,0.059,0.211,0.098,0.18,0.402
"P21","Muy mala",0.674,0.039,0.228,0.618,0.387,0.335,0.402
"P21","No sabe",0.039,0.008,0,0,0,0.03,0
"P22","Muy buena",0.016,0.579,0.296,0,0.62,0.183,0.03
"P22","Buena",0.072,0.132,0.288,0.077,0,0.039,0
"P22","Ni buena ni mala",0.243,0.041,0.216,0.299,0.056,0.303,0.303
"P22","Mala",0.193,0.184,0.031,0.286,0.191,0.13,0.059
"P22","Muy mala",0.407,0.055,0.145,0.338,0.06,0.243,0.329
"P22","No sabe",0.069,0.009,0.024,0,0.073,0.102,0.279
