"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Toloza Paz por el Frente de todos",0.292,0.353,0.227,0.201,0.321,0.374,0.337,0.241,0.311,0.391,0.433,0.029,0.137
"Diego Santilli dentro de la interna de Juntos por el cambio",0.224,0.247,0.199,0.161,0.246,0.194,0.414,0.259,0.2,0.2,0.132,0.654,0.047
"Facundo Manes dentro de la interna de Juntos por el cambio",0.06,0.05,0.07,0.043,0.07,0.09,0.011,0.052,0.053,0.109,0.023,0.17,0.175
"Florencio Randazzo por el frente ""Vamos con vos.""",0.066,0.035,0.099,0.048,0.022,0.17,0.13,0.127,0.024,0.024,0.091,0.028,0.018
"José Luis Espert por los liberales",0.056,0.067,0.044,0.112,0.03,0.014,0.051,0.06,0.05,0.062,0.002,0.05,0.257
"A los candidatos de la izquierda",0.042,0.071,0.011,0.095,0.027,0,0,0,0.087,0.015,0.066,0,0
"Otros candidatos",0.141,0.112,0.172,0.191,0.146,0.078,0.057,0.116,0.181,0.07,0.141,0.054,0.291
"Votaría en blanco o anularía",0.119,0.065,0.178,0.149,0.138,0.08,0,0.145,0.094,0.129,0.112,0.015,0.075
