"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Toloza Paz por el Frente de todos",0.332,0.41,0.251,0.241,0.378,0.402,0.321,0.287,0.346,0.405,0.475,0.032,0.112
"Diego Santilli dentro de la interna de Juntos por el cambio",0.215,0.206,0.224,0.136,0.24,0.186,0.424,0.265,0.177,0.202,0.117,0.663,0.086
"Facundo Manes dentro de la interna de Juntos por el cambio",0.058,0.039,0.078,0.034,0.081,0.079,0.012,0.065,0.039,0.1,0.024,0.183,0.157
"Florencio Randazzo por el frente ""Vamos con vos.""",0.073,0.043,0.103,0.057,0.026,0.165,0.133,0.141,0.029,0.026,0.093,0.03,0.032
"José Luis Espert por los liberales",0.046,0.078,0.013,0.078,0.037,0.005,0.052,0.028,0.056,0.066,0.003,0.045,0.465
"A los candidatos de la izquierda",0.05,0.087,0.013,0.114,0.034,0,0,0,0.104,0.016,0.075,0,0
"Otros candidatos",0.128,0.092,0.165,0.173,0.125,0.092,0.058,0.117,0.153,0.075,0.137,0.047,0.148
"Votaría en blanco o anularía",0.098,0.045,0.153,0.167,0.079,0.071,0,0.097,0.096,0.11,0.076,0,0
