"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","0652A","0655A","652","653","654","655","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Axel Kicillof a gobernador por Unión por la Patria",0.358,0.342,0.375,0.232,0.417,0.41,0.327,0.349,0.342,0.423,0.411,0.385,0.331,0.301,0.31,0.303,0.551,0.097,0.189,0.078,0.54
"Néstor Grindetti a gobernador por Juntos por el Cambio",0.302,0.332,0.273,0.322,0.21,0.374,0.426,0.23,0.364,0.28,0.321,0.378,0.211,0.407,0.278,0.044,0.108,0.609,0.547,0.344,0.181
"Carolina Piparo a gobernadora por la Libertad Avanza",0.251,0.234,0.267,0.308,0.28,0.153,0.222,0.302,0.231,0.199,0.187,0.19,0.298,0.276,0.337,0.41,0.265,0.278,0.181,0.557,0.15
"El candidato a gobernador de la Izquierda",0.044,0.052,0.036,0.041,0.074,0.009,0.015,0.057,0.035,0.041,0.037,0.017,0.043,0.006,0.04,0.243,0.028,0,0.073,0.021,0.047
"En blanco",0.045,0.04,0.049,0.097,0.019,0.054,0.01,0.062,0.028,0.057,0.044,0.03,0.117,0.01,0.035,0,0.048,0.016,0.01,0,0.082
