"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","0652A","0655A","652","653","654","655","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Tiene Decidido que va a ir a votar",0.863,0.858,0.867,0.864,0.842,0.905,0.847,0.772,0.918,0.91,0.877,0.816,0.799,0.857,0.895,0.983,0.853,0.888,0.924,0.962,0.813
"Tiene dudas sobre si va a ir a  votar",0.08,0.089,0.071,0.07,0.089,0.059,0.11,0.143,0.039,0.056,0.069,0.104,0.163,0.094,0.014,0.017,0.086,0.099,0.06,0.012,0.104
"Tiene Decidido que no va a ir a votar",0.057,0.053,0.062,0.066,0.069,0.036,0.043,0.085,0.043,0.034,0.054,0.08,0.038,0.049,0.091,0,0.061,0.013,0.016,0.026,0.083
