"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","0652A","0655A","652","653","654","655","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Siempre",0.191,0.199,0.184,0.22,0.157,0.201,0.218,0.251,0.139,0.192,0.209,0.162,0.193,0.275,0.122,0.152,0.263,0.242,0.156,0.208,0.16
"Casi siempre",0.249,0.256,0.241,0.116,0.27,0.346,0.313,0.198,0.267,0.324,0.227,0.314,0.195,0.262,0.254,0.278,0.278,0.295,0.399,0.233,0.278
"Casi nunca",0.338,0.311,0.364,0.33,0.382,0.309,0.267,0.324,0.368,0.285,0.364,0.336,0.389,0.265,0.372,0.174,0.255,0.314,0.29,0.401,0.33
"Nunca, pero esta es una excepción",0.222,0.234,0.211,0.334,0.191,0.144,0.202,0.227,0.226,0.199,0.2,0.188,0.223,0.198,0.252,0.396,0.204,0.149,0.155,0.158,0.232
