"var","categoria","Si","No"
"P05","Mucho",0.342,0.408
"P05","Bastante",0.234,0.317
"P05","Poco",0.253,0.159
"P05","Nada",0.136,0.074
"P05","No sabe",0.035,0.042
"P06","Siempre",0.182,0.193
"P06","Casi siempre",0.26,0.314
"P06","Casi nunca",0.381,0.312
"P06","Nunca, pero esta es una excepción",0.177,0.181
"P09","Unión por la Patria",0.226,0.351
"P09","Juntos por el Cambio",0.186,0.236
"P09","De los Liberales libertarios",0.25,0.245
"P09","De la Izquierda",0.071,0.055
"P09","Hacemos por nuestro país",0.017,0.025
"P09","Otro",0.078,0.021
"P09","En blanco",0.064,0.014
"P09","No sabe",0.108,0.053
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria",0.137,0.397
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.207,0.234
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.202,0.274
"P12","Raul Othacehé a intendente por el frente vecinal crecer",0.171,0.001
"P12","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.053,0.026
"P12","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.001,0.016
"P12","En blanco",0.048,0.019
"P12","No sabe",0.181,0.033
"P15","Si",1,0.361
"P15","No",0,0.639
"P16","Sergio Massa a presidente por Unión por la Patria",0.394,0.338
"P16","Patricia Bullrich a presidenta por Juntos por el Cambio",0.209,0.271
"P16","Javier Milei a presidente por la Libertad Avanza",0.218,0.265
"P16","Los candidatos a presidente de la Izquierda",0.058,0.034
"P16","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.034,0.031
"P16","En blanco",0.008,0.023
"P16","No sabe",0.079,0.038
"P19","Axel Kicillof a gobernador por Unión por la Patria",0.339,0.335
"P19","Néstor Grindetti a gobernador por Juntos por el Cambio",0.277,0.291
"P19","Carolina Piparo a gobernadora por la Libertad Avanza",0.214,0.237
"P19","El candidato a gobernador de la Izquierda",0.073,0.024
"P19","En blanco",0.054,0.039
"P19","No sabe",0.043,0.074
"P22","Gustavo Menéndez a intendente por Unión por la Patria",0.268,0.256
"P22","Zencich a intendente por Juntos por el Cambio",0.211,0.323
"P22","Eduardo Varela a intendente por la Libertad Avanza",0.126,0.127
"P22","Raul Othacehé a intendente por el frente vecinal crecer",0.225,0.112
"P22","El candidato a intendente de la Izquierda",0.047,0.037
"P22","En blanco",0.022,0.032
"P22","No sabe",0.101,0.113
"P25","Totalmente seguro",0.523,0.64
"P25","Bastante seguro",0.185,0.186
"P25","Algo seguro",0.069,0.092
"P25","Para nada seguro",0.223,0.082
"P26","Tiene Decidido que va a ir a votar",0.832,0.868
"P26","Tiene dudas sobre si va a ir a  votar",0.092,0.078
"P26","Tiene Decidido que no va a ir a votar",0.076,0.054
"P27","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.422,0.462
"P27","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.126,0.115
"P27","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.192,0.259
"P27","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.177,0.061
"P27","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.033,0.022
"P27","No sabe",0.05,0.081
"P28","Lo votaría",0.273,0.379
"P28","Puede que lo vote",0.161,0.095
"P28","Nunca lo votaría",0.422,0.472
"P28","No sabe",0.144,0.054
"P29","Lo votaría",0.321,0.242
"P29","Puede que lo vote",0.169,0.121
"P29","Nunca lo votaría",0.423,0.556
"P29","No sabe",0.087,0.081
"P30","Lo votaría",0.204,0.296
"P30","Puede que lo vote",0.193,0.112
"P30","Nunca lo votaría",0.514,0.539
"P30","No sabe",0.089,0.053
"P31","Lo votaría",0.336,0.152
"P31","Puede que lo vote",0.133,0.109
"P31","Nunca lo votaría",0.401,0.657
"P31","No sabe",0.13,0.082
"P32","Si",0.448,0.372
"P32","No",0.552,0.628
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria",0.406,0.398
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.205,0.234
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.204,0.275
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.057,0.025
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.037,0.016
"PRESIDENTE","En blanco",0.008,0.02
"PRESIDENTE","No sabe",0.083,0.032
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria",0.334,0.394
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.271,0.24
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.22,0.265
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.074,0.023
"GOBERNADOR","En blanco",0.058,0.03
"GOBERNADOR","No sabe",0.043,0.048
"CORTA_GOBERNADOR","Si",0.819,0.116
"CORTA_GOBERNADOR","No",0.181,0.884
"INTENDENTE","Gustavo Menéndez a intendente por Unión por la Patria",0.266,0.363
"INTENDENTE","Zencich a intendente por Juntos por el Cambio",0.204,0.255
"INTENDENTE","Eduardo Varela a intendente por la Libertad Avanza",0.135,0.224
"INTENDENTE","Raul Othacehé a intendente por el frente vecinal crecer",0.232,0.042
"INTENDENTE","El candidato a intendente de la Izquierda",0.044,0.028
"INTENDENTE","En blanco",0.019,0.026
"INTENDENTE","No sabe",0.1,0.062
"CORTA_INTENDENTE","Si",0.685,0.185
"CORTA_INTENDENTE","No",0.315,0.815
