"var","categoria","Si","No"
"P05","Mucho",0.366,0.423
"P05","Bastante",0.289,0.312
"P05","Poco",0.217,0.139
"P05","Nada",0.104,0.07
"P05","No sabe",0.024,0.056
"P06","Siempre",0.206,0.177
"P06","Casi siempre",0.292,0.314
"P06","Casi nunca",0.33,0.322
"P06","Nunca, pero esta es una excepción",0.172,0.187
"P09","Unión por la Patria",0.244,0.405
"P09","Juntos por el Cambio",0.238,0.215
"P09","De los Liberales libertarios",0.264,0.228
"P09","De la Izquierda",0.053,0.064
"P09","Hacemos por nuestro país",0.031,0.015
"P09","Otro",0.05,0.015
"P09","En blanco",0.036,0.013
"P09","No sabe",0.084,0.045
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria",0.259,0.426
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.238,0.22
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.242,0.277
"P12","Raul Othacehé a intendente por el frente vecinal crecer",0.071,0.002
"P12","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.041,0.021
"P12","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.02,0.006
"P12","En blanco",0.033,0.017
"P12","No sabe",0.096,0.031
"P25","Totalmente seguro",0.596,0.642
"P25","Bastante seguro",0.172,0.198
"P25","Algo seguro",0.092,0.086
"P25","Para nada seguro",0.14,0.074
"P26","Tiene Decidido que va a ir a votar",0.858,0.867
"P26","Tiene dudas sobre si va a ir a  votar",0.081,0.079
"P26","Tiene Decidido que no va a ir a votar",0.061,0.054
"P27","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.481,0.433
"P27","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.109,0.123
"P27","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.183,0.305
"P27","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.115,0.05
"P27","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.031,0.018
"P27","No sabe",0.081,0.071
"P28","Lo votaría",0.249,0.461
"P28","Puede que lo vote",0.174,0.046
"P28","Nunca lo votaría",0.479,0.449
"P28","No sabe",0.098,0.044
"P29","Lo votaría",0.299,0.217
"P29","Puede que lo vote",0.18,0.083
"P29","Nunca lo votaría",0.429,0.627
"P29","No sabe",0.092,0.073
"P30","Lo votaría",0.25,0.307
"P30","Puede que lo vote",0.179,0.078
"P30","Nunca lo votaría",0.497,0.569
"P30","No sabe",0.074,0.046
"P31","Lo votaría",0.24,0.133
"P31","Puede que lo vote",0.113,0.113
"P31","Nunca lo votaría",0.54,0.679
"P31","No sabe",0.107,0.075
"P32","Si",0.4,0.37
"P32","No",0.6,0.63
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria",0.369,0.427
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.239,0.219
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.245,0.277
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.042,0.021
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.035,0.006
"PRESIDENTE","En blanco",0.017,0.019
"PRESIDENTE","No sabe",0.053,0.031
"CORTA_PRESIDENTE","Si",0.412,0
"CORTA_PRESIDENTE","No",0.588,1
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria",0.334,0.428
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.275,0.218
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.237,0.276
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.043,0.022
"GOBERNADOR","En blanco",0.046,0.025
"GOBERNADOR","No sabe",0.065,0.031
"CORTA_GOBERNADOR","Si",0.526,0
"CORTA_GOBERNADOR","No",0.474,1
"INTENDENTE","Gustavo Menéndez a intendente por Unión por la Patria",0.253,0.428
"INTENDENTE","Zencich a intendente por Juntos por el Cambio",0.28,0.218
"INTENDENTE","Eduardo Varela a intendente por la Libertad Avanza",0.13,0.278
"INTENDENTE","Raul Othacehé a intendente por el frente vecinal crecer",0.157,0.002
"INTENDENTE","El candidato a intendente de la Izquierda",0.041,0.021
"INTENDENTE","En blanco",0.027,0.022
"INTENDENTE","No sabe",0.112,0.031
"CORTA_INTENDENTE","Si",0.583,0
"CORTA_INTENDENTE","No",0.417,1
