"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"CORTA_GOBERNADOR","Si",0.247,0.379,0.184,0.255
"CORTA_GOBERNADOR","No",0.753,0.621,0.816,0.745
"INTENDENTE","Gustavo Menéndez a intendente por Unión por la Patria",0.207,0.131,0.479,0.283
"INTENDENTE","Zencich a intendente por Juntos por el Cambio",0.633,0.206,0.084,0.081
"INTENDENTE","Eduardo Varela a intendente por la Libertad Avanza",0.066,0.393,0.24,0.279
"INTENDENTE","Raul Othacehé a intendente por el frente vecinal crecer",0.065,0.105,0.068,0.076
"INTENDENTE","El candidato a intendente de la Izquierda",0,0.048,0.042,0.02
"INTENDENTE","En blanco",0.003,0,0.031,0.06
"INTENDENTE","No sabe",0.026,0.117,0.056,0.201
"CORTA_INTENDENTE","Si",0.225,0.422,0.225,0.201
"CORTA_INTENDENTE","No",0.775,0.578,0.775,0.799
