"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","0652A","0655A","652","653","654","655","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Si",0.202,0.17,0.234,0.223,0.215,0.16,0.195,0.257,0.16,0.196,0.222,0.186,0.155,0.297,0.132,0.21,0.164,0.14,0.254,0.11,0.365
"No",0.798,0.83,0.766,0.777,0.785,0.84,0.805,0.743,0.84,0.804,0.778,0.814,0.845,0.703,0.868,0.79,0.836,0.86,0.746,0.89,0.635
