"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","0652A","0655A","652","653","654","655","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Axel Kicillof a gobernador por Unión por la Patria",0.378,0.378,0.378,0.224,0.391,0.51,0.395,0.418,0.326,0.435,0.431,0.349,0.397,0.313,0.322,0.387,0.719,0.097,0.196,0.031,0.43
"Néstor Grindetti a gobernador por Juntos por el Cambio",0.244,0.213,0.273,0.271,0.167,0.265,0.388,0.191,0.295,0.216,0.245,0.297,0.144,0.327,0.261,0.13,0.085,0.638,0.549,0.101,0.197
"Carolina Piparo a gobernadora por la Libertad Avanza",0.257,0.291,0.224,0.347,0.315,0.139,0.122,0.265,0.26,0.231,0.266,0.227,0.234,0.256,0.278,0.298,0.141,0.23,0.144,0.783,0.152
"El candidato a gobernador de la Izquierda",0.031,0.038,0.025,0.019,0.056,0.015,0.008,0.047,0.019,0.031,0.014,0.023,0.027,0.025,0.028,0.158,0.015,0.005,0.05,0.015,0.061
"En blanco",0.043,0.038,0.049,0.091,0.026,0.031,0.03,0.043,0.041,0.053,0.024,0.076,0.099,0.018,0.037,0,0.02,0.009,0.015,0.061,0.101
"No sabe",0.047,0.042,0.051,0.048,0.045,0.04,0.057,0.036,0.059,0.034,0.02,0.028,0.099,0.061,0.074,0.027,0.02,0.021,0.046,0.009,0.059
