"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","0652A","0655A","652","653","654","655","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Gustavo Menéndez a intendente por Unión por la Patria",0.361,0.365,0.358,0.238,0.348,0.487,0.411,0.455,0.297,0.339,0.435,0.311,0.368,0.301,0.324,0.305,0.804,0.087,0.142,0.067,0.133
"Zencich a intendente por Juntos por el Cambio",0.262,0.22,0.303,0.283,0.216,0.266,0.352,0.226,0.296,0.245,0.214,0.318,0.247,0.336,0.296,0.178,0.095,0.644,0.677,0.099,0.168
"Eduardo Varela a intendente por la Libertad Avanza",0.219,0.262,0.176,0.291,0.26,0.143,0.096,0.189,0.237,0.235,0.264,0.183,0.156,0.19,0.242,0.232,0.068,0.192,0.112,0.759,0.135
"Raul Othacehé a intendente por el frente vecinal crecer",0.092,0.085,0.099,0.135,0.082,0.062,0.096,0.095,0.094,0.081,0.058,0.124,0.131,0.092,0.045,0.192,0.016,0.047,0.054,0.06,0.496
"El candidato a intendente de la Izquierda",0.036,0.044,0.029,0.015,0.062,0.022,0.023,0.024,0.037,0.058,0.01,0.037,0.06,0.059,0.035,0.068,0.013,0.028,0.007,0.012,0.035
"En blanco",0.03,0.024,0.035,0.038,0.032,0.02,0.022,0.011,0.039,0.042,0.019,0.027,0.038,0.022,0.058,0.025,0.004,0.002,0.008,0.003,0.033
