"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza","Raul Othacehé a intendente por el frente vecinal crecer","Los candidatos a presidente, gobernador e intendente de la Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco"
"P05","Mucho",0.435,0.362,0.438,0.256,0.302,0.13,0.261
"P05","Bastante",0.317,0.267,0.328,0.149,0.421,0.325,0.135
"P05","Poco",0.144,0.247,0.148,0.299,0.165,0,0.082
"P05","Nada",0.072,0.076,0.073,0.085,0.067,0.545,0.306
"P05","No sabe",0.032,0.048,0.013,0.211,0.045,0,0.216
"P06","Siempre",0.199,0.235,0.193,0.247,0.167,0.018,0.014
"P06","Casi siempre",0.34,0.299,0.284,0.3,0.246,0.147,0.185
"P06","Casi nunca",0.258,0.27,0.393,0.356,0.371,0.761,0.54
"P06","Nunca, pero esta es una excepción",0.203,0.196,0.13,0.097,0.216,0.074,0.261
"P09","Unión por la Patria",0.682,0.146,0.065,0.229,0.127,0.049,0.051
"P09","Juntos por el Cambio",0.111,0.679,0.046,0.045,0.146,0,0
"P09","De los Liberales libertarios",0.066,0.075,0.711,0.222,0.025,0,0.087
"P09","De la Izquierda",0.008,0.018,0.105,0.216,0.508,0.033,0
"P09","Hacemos por nuestro país",0.017,0.01,0.005,0.01,0.101,0.71,0
"P09","Otro",0.022,0.013,0.012,0.236,0.093,0.208,0.081
"P09","En blanco",0.02,0.011,0.003,0.028,0,0,0.418
"P09","No sabe",0.074,0.048,0.053,0.014,0,0,0.363
"P16_imputada","Sergio Massa a presidente por Unión por la Patria",0.798,0.165,0.11,0.629,0.322,0.027,0.117
"P16_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.089,0.663,0.192,0.065,0.01,0,0.062
"P16_imputada","Javier Milei a presidente por la Libertad Avanza",0.091,0.164,0.698,0.063,0.066,0,0.156
"P16_imputada","Los candidatos a presidente de la Izquierda",0.012,0.008,0,0.087,0.549,0,0.321
"P16_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0,0,0.138,0.053,0.973,0.022
"P16_imputada","En blanco",0.01,0,0,0.018,0,0,0.322
"P19_imputada","Axel Kicillof a gobernador por Unión por la Patria",0.745,0.11,0.126,0.699,0.187,0.43,0.115
