"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","0652A","0655A","652","653","654","655","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria",0.339,0.343,0.336,0.182,0.346,0.484,0.374,0.39,0.279,0.395,0.385,0.306,0.339,0.284,0.303,0.379,0.706,0.077,0.166,0.029,0.221
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.228,0.204,0.251,0.272,0.138,0.25,0.376,0.19,0.268,0.198,0.22,0.289,0.149,0.267,0.269,0.129,0.1,0.595,0.589,0.062,0.148
"Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.26,0.297,0.224,0.302,0.334,0.15,0.143,0.237,0.286,0.238,0.264,0.24,0.251,0.267,0.28,0.251,0.107,0.259,0.13,0.822,0.237
"Raul Othacehé a intendente por el frente vecinal crecer",0.044,0.026,0.062,0.089,0.034,0.02,0.03,0.057,0.04,0.025,0.024,0.086,0.071,0.02,0.023,0.064,0.004,0.003,0.044,0.07,0.259
"Los candidatos a presidente, gobernador e intendente de la Izquierda",0.031,0.048,0.013,0.034,0.039,0.027,0.004,0.037,0.029,0.021,0.013,0.02,0.042,0.08,0.022,0.044,0.014,0.036,0.007,0.008,0.042
"Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.013,0.003,0.022,0.026,0.01,0.005,0.009,0.016,0.009,0.019,0.007,0.006,0.054,0.003,0.009,0,0.024,0,0.01,0,0.032
"En blanco",0.024,0.022,0.026,0.031,0.025,0.025,0.006,0.019,0.024,0.036,0.025,0.017,0.018,0.022,0.051,0,0.007,0.002,0.007,0.003,0.024
"No sabe",0.061,0.057,0.066,0.064,0.074,0.039,0.058,0.054,0.065,0.068,0.062,0.036,0.076,0.057,0.043,0.133,0.038,0.028,0.047,0.006,0.037
