"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","0652A","0655A","652","653","654","655","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Sergio Massa a presidente por Unión por la Patria",0.359,0.365,0.353,0.281,0.401,0.394,0.307,0.501,0.245,0.376,0.457,0.31,0.306,0.388,0.208,0.35,0.623,0.145,0.139,0.094,0.44
"Patricia Bullrich a presidenta por Juntos por el Cambio",0.248,0.231,0.265,0.175,0.228,0.326,0.306,0.193,0.294,0.236,0.259,0.324,0.256,0.285,0.173,0.037,0.129,0.579,0.431,0.149,0.164
"Javier Milei a presidente por la Libertad Avanza",0.248,0.275,0.22,0.284,0.255,0.167,0.296,0.183,0.301,0.234,0.168,0.238,0.248,0.239,0.38,0.437,0.117,0.271,0.271,0.737,0.24
"Los candidatos a presidente de la Izquierda",0.043,0.067,0.02,0.061,0.051,0.029,0.014,0.03,0.048,0.057,0.066,0.014,0.054,0.006,0.071,0,0.027,0,0.006,0.02,0.064
"Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.032,0.01,0.054,0.076,0.024,0.017,0.005,0.058,0.018,0.019,0.015,0.023,0.069,0.001,0.024,0.138,0.072,0,0.076,0,0.01
"En blanco",0.017,0.011,0.023,0.037,0.014,0.005,0.012,0.004,0.026,0.019,0.005,0.006,0,0.031,0.068,0.024,0.015,0,0,0,0.008
"No sabe",0.053,0.041,0.065,0.086,0.027,0.062,0.06,0.031,0.068,0.059,0.03,0.085,0.067,0.05,0.076,0.014,0.017,0.005,0.077,0,0.074
