"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","0652A","0655A","652","653","654","655","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Sergio Massa a presidente por Unión por la Patria",0.378,0.375,0.381,0.33,0.412,0.409,0.307,0.501,0.28,0.394,0.457,0.373,0.314,0.404,0.246,0.35,0.638,0.145,0.157,0.094,0.499
"Patricia Bullrich a presidenta por Juntos por el Cambio",0.261,0.234,0.289,0.175,0.24,0.352,0.324,0.206,0.304,0.259,0.273,0.338,0.256,0.301,0.203,0.037,0.128,0.584,0.478,0.149,0.173
"Javier Milei a presidente por la Libertad Avanza",0.257,0.282,0.231,0.285,0.257,0.187,0.322,0.197,0.306,0.244,0.184,0.244,0.248,0.245,0.387,0.451,0.12,0.271,0.283,0.737,0.246
"Los candidatos a presidente de la Izquierda",0.053,0.084,0.022,0.097,0.053,0.029,0.014,0.03,0.066,0.062,0.066,0.014,0.113,0.006,0.072,0,0.027,0,0.006,0.02,0.064
"Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.032,0.011,0.054,0.076,0.024,0.017,0.009,0.057,0.018,0.022,0.015,0.026,0.069,0.001,0.024,0.138,0.072,0,0.076,0,0.01
"En blanco",0.019,0.014,0.023,0.037,0.014,0.006,0.024,0.009,0.026,0.019,0.005,0.005,0,0.043,0.068,0.024,0.015,0,0,0,0.008
