"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","0652A","0655A","652","653","654","655","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Sergio Massa a presidente por Unión por la Patria",0.392,0.399,0.386,0.258,0.398,0.524,0.403,0.508,0.291,0.421,0.461,0.327,0.407,0.383,0.304,0.397,0.755,0.123,0.175,0.035,0.388
"Patricia Bullrich a presidenta por Juntos por el Cambio",0.229,0.183,0.273,0.229,0.179,0.249,0.344,0.172,0.283,0.204,0.218,0.286,0.2,0.269,0.228,0.127,0.093,0.629,0.509,0.054,0.185
"Javier Milei a presidente por la Libertad Avanza",0.261,0.308,0.216,0.336,0.315,0.146,0.159,0.217,0.299,0.255,0.251,0.243,0.239,0.239,0.322,0.318,0.095,0.22,0.184,0.828,0.238
"Los candidatos a presidente de la Izquierda",0.031,0.043,0.018,0.025,0.046,0.023,0.007,0.032,0.026,0.037,0.027,0.021,0.034,0.025,0.045,0.046,0.015,0.005,0.007,0.015,0.081
"Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.019,0.005,0.034,0.046,0.012,0.008,0.01,0.031,0.009,0.021,0.007,0.015,0.053,0.004,0.009,0.066,0.027,0,0.055,0,0.033
"En blanco",0.027,0.024,0.03,0.055,0.02,0.008,0.027,0.012,0.04,0.025,0.005,0.061,0.025,0.024,0.046,0.014,0.008,0.002,0.007,0.062,0.021
"No sabe",0.041,0.038,0.043,0.051,0.03,0.042,0.05,0.028,0.052,0.037,0.031,0.047,0.042,0.056,0.046,0.032,0.007,0.021,0.063,0.006,0.054
